Aaron Carter vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
962,Raboot,-10,-28,-54,-51,-35,16,7882
963,Cinderace,5,2,-39,-41,-20,41,5312
964,Sobble,-25,-74,-74,-36,-55,-8,15962
965,Drizzile,-10,-54,-59,-11,-40,12,8362
966,Inteleon,-5,-29,-49,19,-30,42,6292
967,Skwovet,-5,-59,-59,-71,-60,-53,18437
968,Greedent,45,-19,-19,-51,-20,-58,9112
969,Rookidee,-37,-67,-79,-73,-60,-21,21469
970,Corvisquire,-7,-47,-59,-63,-40,-1,11309
971,Corviknight,23,-27,-9,-53,-10,-11,4369
972,Blipbug,-50,-94,-94,-81,-50,-33,30322
973,Dottler,-25,-79,-34,-56,-5,-48,13487
974,Orbeetle,-15,-69,-4,-26,25,12,6447
975,Nickit,-35,-86,-86,-59,-43,-28,22131
976,Thievul,-5,-56,-56,-19,-3,12,6811
977,Gossifleur,-35,-74,-54,-66,-35,-68,19822
978,Eldegoss,-15,-64,-24,-26,25,-18,6522
979,Wooloo,-33,-74,-59,-66,-50,-30,17802
980,Dubwool,-3,-34,-14,-46,-5,10,3602
981,Chewtle,-25,-50,-64,-68,-57,-34,16250
982,Drednaw,15,1,-24,-58,-27,-4,4911
983,Yamper,-16,-69,-64,-66,-45,-52,18198
984,Boltund,-6,-24,-54,-16,-35,43,6858
985,Rolycoly,-45,-74,-64,-66,-45,-48,20282
986,Carkol,5,-54,-24,-46,-25,-28,7042
987,Coalossal,35,-34,6,-26,-5,-48,5422
988,Applin,-35,-74,-34,-66,-55,-58,18602
989,Flapple,-5,-4,-34,-11,-35,-8,2607
990,Appletun,35,-29,-34,-6,-15,-48,5787
991,Silicobra,-23,-57,-39,-71,-45,-32,13389
992,Sandaconda,-3,-7,11,-41,-25,-7,2534
993,Cramorant,-5,-29,-59,-21,0,7,4837
994,Arrokuda,-34,-51,-74,-66,-65,-12,17958
995,Barraskewda,-14,9,-54,-46,-45,58,10698
996,Toxel,-35,-76,-79,-52,-60,-38,20990
997,Toxtricity,0,-16,-44,8,-25,-3,2890
998,Sizzlipede,-25,-49,-69,-56,-45,-33,14037
999,Centiskorch,25,1,-49,-16,-5,-13,3477
1000,Clobbopus,-25,-46,-54,-56,-45,-46,12934
1001,Grapploct,5,4,-24,-36,-15,-36,3434
1002,Sinistea,-35,-69,-69,-32,-41,-28,14236
1003,Polteageist,-15,-49,-49,28,19,-8,6236
1004,Hatenna,-33,-84,-69,-50,-42,-39,18691
1005,Hattrem,-18,-74,-49,-20,-22,-29,9926
1006,Hatterene,-18,-24,-19,30,8,-49,4626
1007,Impidimp,-30,-69,-84,-51,-55,-28,19127
1008,Morgrem,-10,-54,-69,-31,-40,-8,10402
1009,Grimmsnarl,20,6,-49,-11,-20,-18,3682
1010,Obstagoon,18,-24,-13,-46,-14,17,3670
1011,Perrserker,-5,-4,-14,-56,-35,-28,5382
1012,Cursola,-15,-19,-64,39,35,-48,9732
1013,Sirfetch'd,-13,21,-19,-38,-13,-13,2753
1014,Mr. Rime,5,-29,-39,4,5,-8,2492
1015,Runerigus,-17,-19,31,-56,10,-48,7151
1016,Milcery,-30,-74,-74,-56,-34,-44,18080
1017,Alcremie,-10,-54,-39,4,26,-14,5425
1018,Falinks,-10,-14,-14,-36,-35,-3,3022
1019,Pincurchin,-27,-13,-19,-15,-10,-63,5553
1020,Snom,-45,-89,-79,-61,-65,-58,27497
1021,Frosmoth,-5,-49,-54,19,-5,-13,5897
1022,Stonjourner,25,11,21,-86,-75,-8,14272
1023,Eiscue (Ice Face),0,-34,-4,-41,-5,-28,3662
1024,Eiscue (Noice Face),0,-34,-44,-41,-45,52,9502
1025,Indeedee (Male),-15,-49,-59,-1,0,17,6397
1026,Indeedee (Female),-5,-59,-49,-11,10,7,6177
1027,Morpeko,-17,-19,-56,-36,-37,19,6812
1028,Cufant,-3,-34,-65,-66,-46,-38,13306
1029,Copperajah,47,16,-45,-26,-26,-48,8146
1030,Dracozolt,15,-14,-24,-26,-25,-3,2307
1031,Arctozolt,15,-14,-24,-16,-15,-23,2007
1032,Dracovish,15,-24,-14,-36,-15,-3,2527
1033,Arctovish,15,-24,-14,-26,-5,-23,2227
1034,Duraludon,-5,-19,1,14,-45,7,2657
1035,Dreepy,-47,-54,-84,-66,-65,4,20778
1036,Drakloak,-7,-34,-64,-46,-45,24,10018
1037,Dragapult,13,6,-39,-6,-20,64,6258
1038,Zacian (Hero of Many Battles),17,6,1,-26,20,60,5002
1039,Zacian (Crowned Sword),17,36,1,-26,20,70,7562
1040,Zamazenta (Hero of Many Battles),17,6,1,-26,20,60,5002
1041,Zamazenta (Crowned Shield),17,6,26,-26,45,50,6202
1042,Eternatus,65,-29,-19,39,0,52,9652
1043,Eternatus (Eternamax Eternatus),180,1,136,19,155,52,77987
1044,Kubfu,-15,-24,-54,-53,-45,-6,8587
1045,Urshifu,25,16,-14,-43,-35,19,4512
1046,Zarude,30,6,-9,-36,0,27,3042
1047,Regieleki,5,-14,-64,-6,-45,122,21262
1048,Regidrago,125,-14,-64,-6,-45,2,21982
1049,Glastrier,25,31,16,-41,15,-48,6052
1050,Spectrier,25,-49,-54,39,-15,52,10392
1051,Calyrex,25,-34,-34,-26,-15,2,3842
1052,Calyrex (Ice Rider Calyrex),25,51,36,-21,35,-28,6972
1053,Calyrex (Shadow Rider Calyrex),25,-29,-34,59,5,72,11312
1054,Wyrdeer,28,-9,-42,-1,-20,-13,3199
1055,Kleavor,-5,21,-19,-61,-25,7,5222
1056,Ursaluna,55,26,-9,-61,-15,-28,8512
1057,Basculegion (Male),45,-2,-49,-26,-20,0,5506
1058,Basculegion (Female),45,-22,-49,-6,-20,0,5346
1059,Sneasler,5,16,-54,-66,-15,42,9542
1060,Overqwil,10,1,-19,-41,-30,7,3092
1061,Enamorus (Incarnate Forme),-1,1,-44,29,-15,28,3788
1062,Enamorus (Therian Forme),-1,1,-4,29,5,-32,1908
1063,Sprigatito,-35,-53,-60,-61,-50,-13,14024
1064,Floragato,-14,-34,-51,-46,-32,5,7118
1065,Meowscarada,1,-4,-44,-25,-25,45,5228
1066,Fuecoco,-8,-69,-55,-43,-55,-42,14488
1067,Crocalor,6,-59,-36,-16,-37,-29,7279
1068,Skeledirge,29,-39,-14,4,-20,-12,3118
1069,Quaxly,-20,-49,-69,-56,-50,-28,13982
1070,Quaxwell,-5,-29,-49,-41,-35,-13,6342
1071,Quaquaval,10,6,-34,-21,-20,7,2182
1072,Lechonk,-21,-69,-74,-71,-50,-43,20068
1073,Oinkologne (Male),35,-14,-39,-47,-15,-13,5545
1074,Oinkologne (Female),40,-24,-44,-47,-5,-13,6515
1075,Tarountula,-40,-73,-69,-77,-55,-58,24008
1076,Spidops,-15,-35,-22,-54,-9,-43,6780
1077,Nymble,-42,-68,-74,-85,-70,-33,25078
1078,Lokix,-4,-12,-36,-54,-40,14,6168
1079,Pawmi,-30,-64,-94,-66,-70,-18,23412
1080,Pawmo,-15,-39,-74,-56,-55,7,13432
1081,Pawmot,-5,1,-44,-36,-35,27,5212
1082,Tandemaus,-25,-64,-69,-66,-50,-3,16347
1083,Maushold,-1,-39,-44,-41,-20,33,6628
1084,Fidough,-38,-59,-44,-76,-40,-13,14406
1085,Dachsbun,-18,-34,1,-56,-15,17,5131
1086,Smoliv,-34,-79,-69,-48,-44,-48,18702
1087,Dolliv,-23,-61,-54,-28,-17,-45,10264
1088,Arboliva,3,-45,-24,19,14,-39,4688
1089,Squawkabilly,7,-18,-63,-61,-44,14,10195
1090,Nacli,-20,-59,-39,-71,-60,-53,16852
1091,Naclstack,-15,-54,-14,-71,-30,-43,11127
1092,Garganacl,25,-14,16,-61,-5,-43,6672
1093,Charcadet,-35,-64,-74,-56,-55,-43,18807
1094,Armarouge,10,-54,-14,19,-15,-3,3807
1095,Ceruledge,0,11,-34,-46,5,7,3467
1096,Tadbulb,-14,-83,-73,-47,-60,-33,19312
1097,Bellibolt,34,-50,-23,-3,-12,-33,5427
1098,Wattrel,-35,-74,-79,-51,-55,-8,18632
1099,Kilowattrel,-5,-44,-54,-1,-35,47,8312
1100,Maschiff,-15,-36,-54,-66,-44,-27,11458
1101,Mabosstiff,5,6,-24,-46,-25,7,3427
1102,Shroodle,-35,-49,-79,-66,-60,-3,17832
1103,Grafaiai,-12,-19,-49,-26,-23,32,5135
1104,Bramblin,-35,-49,-84,-61,-60,-18,18327
1105,Brambleghast,-20,1,-44,-26,-25,12,3782
1106,Toedscool,-35,-74,-79,-56,5,-8,16167
1107,Toedscruel,5,-44,-49,-26,25,22,6147
1108,Klawf,-5,-14,1,-71,-40,-3,6872
1109,Capsakid,-25,-52,-74,-44,-55,-28,14550
1110,Scovillain,-10,-6,-49,2,-30,-3,3450
1111,Rellor,-34,-64,-54,-75,-37,-48,17466
1112,Rabsca,0,-64,-29,9,5,-33,6132
1113,Flittle,-45,-79,-84,-51,-65,-3,22157
1114,Espathra,20,-54,-54,-5,-35,27,8211
1115,Tinkatink,-25,-69,-69,-71,-31,-20,16549
1116,Tinkatuff,-10,-59,-59,-61,-13,0,10952
1117,Tinkaton,10,-39,-37,-36,10,16,4642
1118,Wiglett,-65,-59,-89,-71,-70,17,25857
1119,Wugtrio,-40,-14,-64,-56,-25,42,11417
1120,Bombirdier,-5,-11,-29,-46,-10,4,3219
1121,Finizen,-5,-69,-74,-61,-55,-3,17017
1122,Palafin,25,-44,-42,-53,-33,22,8707
1123,Palafin,25,46,-17,0,-8,22,3578
1124,Varoom,-30,-44,-51,-76,-50,-31,14674
1125,Revavroom,5,5,-24,-52,-28,12,4258
1126,Cyclizar,-5,-19,-49,-21,-30,43,5977
1127,Orthworm,-5,-29,31,-46,-40,-13,5712
1128,Glimmet,-27,-79,-72,-1,-35,-18,13704
1129,Glimmora,8,-59,-24,24,-14,8,4957
1130,Greavard,-25,-53,-54,-76,-40,-44,15662
1131,Houndstone,-3,-13,-14,-56,2,-10,3614
1132,Flamigo,7,1,-40,-31,-31,12,3716
1133,Cetoddle,33,-46,-69,-76,-55,-35,17992
1134,Cetitan,95,-1,-49,-61,-40,-5,16773
1135,Veluza,15,-12,-41,-28,-30,-8,3798
1136,Dondozo,75,-14,1,-41,-30,-43,10252
1137,Tatsugiri,-7,-64,-54,14,0,4,7273
1138,Annihilape,35,1,-34,-56,-5,12,5687
1139,Clodsire,55,-39,-54,-61,5,-58,14572
1140,Farigiraf,45,-24,-44,4,-25,-18,5502
1141,Dudunsparce,50,-14,-34,-21,-20,-23,5222
1142,Kingambit,25,21,6,-46,-10,-28,4102
1143,Great Tusk,40,17,17,-53,-42,9,6832
1144,Scream Tail,40,-49,-15,-41,20,33,7396
1145,Brute Bonnet,36,13,-15,-27,4,-23,2964
1146,Flutter Mane,-20,-59,-59,29,40,57,13052
1147,Slither Wing,10,21,-35,-21,10,3,2316
1148,Sandy Shocks,10,-33,-17,15,-10,23,2332
1149,Iron Treads,15,-2,6,-34,-25,28,2830
1150,Iron Bundle,-19,-34,0,18,-35,58,6430
1151,Iron Hands,79,26,-6,-56,-27,-28,11602
1152,Iron Jugulis,19,-34,-28,16,-15,30,3682
1153,Iron Moth,5,-44,-54,34,15,32,7282
1154,Iron Thorns,25,20,-4,-36,-11,-6,2494
1155,Frigibax,-10,-39,-69,-71,-50,-23,14452
1156,Arctibax,15,-19,-48,-61,-30,-16,7767
1157,Baxcalibur,40,31,-22,-31,-9,9,4168
1158,Gimmighoul (Chest Form),-30,-84,-44,-31,-25,-68,16102
1159,Gimmighoul (Roaming Form),-30,-84,-89,-31,-50,2,19342
1160,Gholdengo,12,-54,-19,27,-4,6,4202
1161,Wo-Chien,10,-29,-14,-11,40,-8,2922
1162,Chien-Pao,5,6,-34,-16,-30,57,5622
1163,Ting-Lu,80,-4,11,-51,-15,-33,10452
1164,Chi-Yu,-20,-34,-34,29,25,22,4662
1165,Roaring Moon,30,25,-43,-51,6,41,7692
1166,Iron Valiant,-1,16,-24,14,-35,38,3698
1167,Koraidon,25,21,1,-21,5,57,4782
1168,Miraidon,25,-29,-14,29,20,57,6152
