Alexis Alms vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
1000,Clobbopus,-38,-20,0,-10,-32,-59,6449
1001,Grapploct,-8,30,30,10,-2,-49,4369
1002,Sinistea,-48,-43,-15,14,-28,-41,7039
1003,Polteageist,-28,-23,5,74,32,-21,8279
1004,Hatenna,-46,-58,-15,-4,-29,-52,9266
1005,Hattrem,-31,-48,5,26,-9,-42,5811
1006,Hatterene,-31,2,35,76,21,-62,12251
1007,Impidimp,-43,-43,-30,-5,-42,-41,8068
1008,Morgrem,-23,-28,-15,15,-27,-21,2933
1009,Grimmsnarl,7,32,5,35,-7,-31,3333
1010,Obstagoon,5,2,41,0,-1,4,1727
1011,Perrserker,-18,22,40,-10,-22,-41,4673
1012,Cursola,-28,7,-10,85,48,-61,14183
1013,Sirfetch'd,-26,47,35,8,0,-26,4850
1014,Mr. Rime,-8,-3,15,50,18,-21,3563
1015,Runerigus,-30,7,85,-10,23,-61,12524
1016,Milcery,-43,-48,-20,-10,-21,-57,8343
1017,Alcremie,-23,-28,15,50,39,-27,6288
1018,Falinks,-23,12,40,10,-22,-16,3113
1019,Pincurchin,-40,13,35,31,3,-76,9740
1020,Snom,-58,-63,-25,-15,-52,-71,15928
1021,Frosmoth,-18,-23,0,65,8,-26,5818
1022,Stonjourner,12,37,75,-40,-62,-21,13023
1023,Eiscue (Ice Face),-13,-8,50,5,8,-41,4503
1024,Eiscue (Noice Face),-13,-8,10,5,-32,39,2903
1025,Indeedee (Male),-28,-23,-5,45,13,4,3548
1026,Indeedee (Female),-18,-33,5,35,23,-6,3228
1027,Morpeko,-30,7,-2,10,-24,6,1665
1028,Cufant,-16,-8,-11,-20,-33,-51,4531
1029,Copperajah,34,42,9,20,-13,-61,7291
1030,Dracozolt,2,12,30,20,-12,-16,1848
1031,Arctozolt,2,12,30,30,-2,-36,3248
1032,Dracovish,2,2,40,10,-2,-16,1968
1033,Arctovish,2,2,40,20,8,-36,3368
1034,Duraludon,-18,7,55,60,-32,-6,8058
1035,Dreepy,-60,-28,-30,-20,-52,-9,8469
1036,Drakloak,-20,-8,-10,0,-32,11,1709
1037,Dragapult,0,32,15,40,-7,51,5499
1038,Zacian (Hero of Many Battles),4,32,55,20,33,47,7763
1039,Zacian (Crowned Sword),4,62,55,20,33,57,11623
1040,Zamazenta (Hero of Many Battles),4,32,55,20,33,47,7763
1041,Zamazenta (Crowned Shield),4,32,80,20,58,37,12573
1042,Eternatus,52,-3,35,85,13,39,12853
1043,Eternatus (Eternamax Eternatus),167,27,190,65,168,39,98688
1044,Kubfu,-28,2,0,-7,-32,-19,2222
1045,Urshifu,12,42,40,3,-22,6,4037
1046,Zarude,17,32,45,10,13,14,3803
1047,Regieleki,-8,12,-10,40,-32,109,14813
1048,Regidrago,112,12,-10,40,-32,-11,15533
1049,Glastrier,12,57,70,5,28,-61,12823
1050,Spectrier,12,-23,0,85,-2,39,9423
1051,Calyrex,12,-8,20,20,-2,-11,1133
1052,Calyrex (Ice Rider Calyrex),12,77,90,25,48,-41,18783
1053,Calyrex (Shadow Rider Calyrex),12,-3,20,105,18,59,15383
1054,Wyrdeer,15,17,12,45,-7,-26,3408
1055,Kleavor,-18,47,35,-15,-12,-6,4163
1056,Ursaluna,42,52,45,-15,-2,-41,8403
1057,Basculegion (Male),32,24,5,20,-7,-13,2243
1058,Basculegion (Female),32,4,5,40,-7,-13,2883
1059,Sneasler,-8,42,0,-20,-2,29,3073
1060,Overqwil,-3,27,35,5,-17,-6,2313
1061,Enamorus (Incarnate Forme),-14,27,10,75,-2,15,6879
1062,Enamorus (Therian Forme),-14,27,50,75,18,-45,11399
1063,Sprigatito,-48,-27,-6,-15,-37,-26,5339
1064,Floragato,-27,-8,3,0,-19,-8,1227
1065,Meowscarada,-12,22,10,21,-12,32,2337
1066,Fuecoco,-21,-43,-1,3,-42,-55,7089
1067,Crocalor,-7,-33,18,30,-24,-42,4702
1068,Skeledirge,16,-13,40,50,-7,-25,5199
1069,Quaxly,-33,-23,-15,-10,-37,-41,4993
1070,Quaxwell,-18,-3,5,5,-22,-26,1543
1071,Quaquaval,-3,32,20,25,-7,-6,2143
1072,Lechonk,-34,-43,-20,-25,-37,-56,8535
1073,Oinkologne (Male),22,12,15,-1,-2,-26,1534
1074,Oinkologne (Female),27,2,10,-1,8,-26,1574
1075,Tarountula,-53,-47,-15,-31,-42,-71,13009
1076,Spidops,-28,-9,32,-8,4,-56,5105
1077,Nymble,-55,-42,-20,-39,-57,-46,12075
1078,Lokix,-17,14,18,-8,-27,1,1603
1079,Pawmi,-43,-38,-40,-20,-57,-31,9503
1080,Pawmo,-28,-13,-20,-10,-42,-6,3253
1081,Pawmot,-18,27,10,10,-22,14,1933
1082,Tandemaus,-38,-38,-15,-20,-37,-16,5138
1083,Maushold,-14,-13,10,5,-7,20,939
1084,Fidough,-51,-33,10,-30,-27,-26,6095
1085,Dachsbun,-31,-8,55,-10,-2,4,4170
1086,Smoliv,-47,-53,-15,-2,-31,-61,9929
1087,Dolliv,-36,-35,0,18,-4,-58,6225
1088,Arboliva,-10,-19,30,65,27,-52,9019
1089,Squawkabilly,-6,8,-9,-15,-31,1,1368
1090,Nacli,-33,-33,15,-25,-47,-66,9593
1091,Naclstack,-28,-28,40,-25,-17,-56,7218
1092,Garganacl,12,12,70,-15,8,-56,8613
1093,Charcadet,-48,-38,-20,-10,-42,-56,9148
1094,Armarouge,-3,-28,40,65,-2,-16,6878
1095,Ceruledge,-13,37,20,0,18,-6,2298
1096,Tadbulb,-27,-57,-19,-1,-47,-46,8665
1097,Bellibolt,21,-24,31,43,1,-46,5944
1098,Wattrel,-48,-48,-25,-5,-42,-21,7463
1099,Kilowattrel,-18,-18,0,45,-22,34,4313
1100,Maschiff,-28,-10,0,-20,-31,-40,3845
1101,Mabosstiff,-8,32,30,0,-12,-6,2168
1102,Shroodle,-48,-23,-25,-20,-47,-16,6323
1103,Grafaiai,-25,7,5,20,-10,19,1560
1104,Bramblin,-48,-23,-30,-15,-47,-31,7128
1105,Brambleghast,-33,27,10,20,-12,-1,2463
1106,Toedscool,-48,-48,-25,-10,18,-21,6098
1107,Toedscruel,-8,-18,5,20,38,9,2338
1108,Klawf,-18,12,55,-25,-27,-16,5103
1109,Capsakid,-38,-26,-20,2,-42,-41,5969
1110,Scovillain,-23,20,5,48,-17,-16,3803
1111,Rellor,-47,-38,0,-29,-24,-61,8791
1112,Rabsca,-13,-38,25,55,18,-46,7703
1113,Flittle,-58,-53,-30,-5,-52,-16,10058
1114,Espathra,7,-28,0,41,-22,14,3194
1115,Tinkatink,-38,-43,-15,-25,-18,-33,5556
1116,Tinkatuff,-23,-33,-5,-15,0,-13,2037
1117,Tinkaton,-3,-13,17,10,23,3,1105
1118,Wiglett,-78,-33,-35,-25,-57,4,12288
1119,Wugtrio,-53,12,-10,-10,-12,29,4138
1120,Bombirdier,-18,15,25,0,3,-9,1264
1121,Finizen,-18,-43,-20,-15,-42,-16,4818
1122,Palafin,12,-18,12,-7,-20,9,1142
1123,Palafin,12,72,37,46,5,9,8919
1124,Varoom,-43,-18,3,-30,-37,-44,6387
1125,Revavroom,-8,31,30,-6,-15,-1,2187
1126,Cyclizar,-18,7,5,25,-17,30,2212
1127,Orthworm,-18,-3,85,0,-27,-26,8963
1128,Glimmet,-40,-53,-18,45,-22,-31,8203
1129,Glimmora,-5,-33,30,70,-1,-5,6940
1130,Greavard,-38,-27,0,-30,-27,-57,7051
1131,Houndstone,-16,13,40,-10,15,-23,2879
1132,Flamigo,-6,27,14,15,-18,-1,1511
1133,Cetoddle,20,-20,-15,-30,-42,-48,5993
1134,Cetitan,82,25,5,-15,-27,-18,8652
1135,Veluza,2,14,13,18,-17,-21,1423
1136,Dondozo,62,12,55,5,-17,-56,10463
1137,Tatsugiri,-20,-38,0,60,13,-9,5694
1138,Annihilape,22,27,20,-10,8,-1,1778
1139,Clodsire,42,-13,0,-15,18,-71,7523
1140,Farigiraf,32,2,10,50,-12,-31,4733
1141,Dudunsparce,37,12,20,25,-7,-36,3883
1142,Kingambit,12,47,60,0,3,-41,7643
1143,Great Tusk,27,43,71,-7,-29,-4,8525
1144,Scream Tail,27,-23,39,5,33,20,4293
1145,Brute Bonnet,23,39,39,19,17,-36,5517
1146,Flutter Mane,-33,-33,-5,75,53,44,12573
1147,Slither Wing,-3,47,19,25,23,-10,3833
1148,Sandy Shocks,-3,-7,37,61,3,10,5257
1149,Iron Treads,2,24,60,12,-12,15,4693
1150,Iron Bundle,-32,-8,54,64,-22,45,10609
1151,Iron Hands,66,52,48,-10,-14,-41,11341
1152,Iron Jugulis,6,-8,26,62,-2,17,4913
1153,Iron Moth,-8,-18,0,80,28,19,7933
1154,Iron Thorns,12,46,50,10,2,-19,5225
1155,Frigibax,-23,-13,-15,-25,-37,-36,4213
1156,Arctibax,2,7,6,-15,-17,-29,1444
1157,Baxcalibur,27,57,32,15,4,-4,5259
1158,Gimmighoul (Chest Form),-43,-58,10,15,-12,-81,12243
1159,Gimmighoul (Roaming Form),-43,-58,-35,15,-37,-11,8153
1160,Gholdengo,-1,-28,35,73,9,-7,7469
1161,Wo-Chien,-3,-3,40,35,53,-21,6093
1162,Chien-Pao,-8,32,20,30,-17,44,4613
1163,Ting-Lu,67,22,65,-5,-2,-46,11343
1164,Chi-Yu,-33,-8,20,75,38,9,8703
1165,Roaring Moon,17,51,11,-5,19,28,4181
1166,Iron Valiant,-14,42,30,60,-22,25,7569
1167,Koraidon,12,47,55,25,18,44,8263
1168,Miraidon,12,-3,40,75,33,44,10403
