Reagan Fryatt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
955,Zeraora,3,9,-34,17,-18,32,2883
956,Meltan,-39,-38,-44,-30,-63,-77,15699
957,Melmetal,50,40,34,-5,-33,-77,12299
958,Grookey,-35,-38,-59,-45,-58,-46,13655
959,Thwackey,-15,-18,-39,-30,-38,-31,5375
960,Rillaboom,15,22,-19,-25,-28,-26,3155
961,Scorbunny,-35,-32,-69,-45,-58,-42,14163
962,Raboot,-20,-17,-49,-30,-38,-17,5723
963,Cinderace,-5,13,-34,-20,-23,8,2343
964,Sobble,-35,-63,-69,-15,-58,-41,15225
965,Drizzile,-20,-43,-54,10,-43,-21,7555
966,Inteleon,-15,-18,-44,40,-33,9,5255
967,Skwovet,-15,-48,-54,-50,-63,-86,19310
968,Greedent,35,-8,-14,-30,-23,-91,11195
969,Rookidee,-47,-56,-74,-52,-63,-54,20410
970,Corvisquire,-17,-36,-54,-42,-43,-34,9270
971,Corviknight,13,-16,-4,-32,-13,-44,3570
972,Blipbug,-60,-83,-89,-60,-53,-66,29175
973,Dottler,-35,-68,-29,-35,-8,-81,14540
974,Orbeetle,-25,-58,1,-5,22,-21,4940
975,Nickit,-45,-75,-81,-38,-46,-61,21492
976,Thievul,-15,-45,-51,2,-6,-21,5332
977,Gossifleur,-45,-63,-49,-45,-38,-101,22065
978,Eldegoss,-25,-53,-19,-5,22,-51,6905
979,Wooloo,-43,-63,-54,-45,-53,-63,17537
980,Dubwool,-13,-23,-9,-25,-8,-23,1997
981,Chewtle,-35,-39,-59,-47,-60,-67,16525
982,Drednaw,5,12,-19,-37,-30,-37,4168
983,Yamper,-26,-58,-59,-45,-48,-85,19075
984,Boltund,-16,-13,-49,5,-38,10,4395
985,Rolycoly,-55,-63,-59,-45,-48,-81,21365
986,Carkol,-5,-43,-19,-25,-28,-61,7365
987,Coalossal,25,-23,11,-5,-8,-81,7925
988,Applin,-45,-63,-29,-45,-58,-91,20505
989,Flapple,-15,7,-29,10,-38,-41,4340
990,Appletun,25,-18,-29,15,-18,-81,8900
991,Silicobra,-33,-46,-34,-50,-48,-65,13390
992,Sandaconda,-13,4,16,-20,-28,-40,3225
993,Cramorant,-15,-18,-54,0,-3,-26,4150
994,Arrokuda,-44,-40,-69,-45,-68,-45,16971
995,Barraskewda,-24,20,-49,-25,-48,25,6931
996,Toxel,-45,-65,-74,-31,-63,-71,21697
997,Toxtricity,-10,-5,-39,29,-28,-36,4567
998,Sizzlipede,-35,-38,-64,-35,-48,-66,14650
999,Centiskorch,15,12,-44,5,-8,-46,4510
1000,Clobbopus,-35,-35,-49,-35,-48,-79,14621
1001,Grapploct,-5,15,-19,-15,-18,-69,5921
1002,Sinistea,-45,-58,-64,-11,-44,-61,15263
1003,Polteageist,-25,-38,-44,49,16,-41,8343
1004,Hatenna,-43,-73,-64,-29,-45,-72,19324
1005,Hattrem,-28,-63,-44,1,-25,-62,11159
1006,Hatterene,-28,-13,-14,51,5,-82,10499
1007,Impidimp,-40,-58,-79,-30,-58,-61,19190
1008,Morgrem,-20,-43,-64,-10,-43,-41,9975
1009,Grimmsnarl,10,17,-44,10,-23,-51,5555
1010,Obstagoon,8,-13,-8,-25,-17,-16,1467
1011,Perrserker,-15,7,-9,-35,-38,-61,6745
1012,Cursola,-25,-8,-59,60,32,-81,15355
1013,Sirfetch'd,-23,32,-14,-17,-16,-46,4410
1014,Mr. Rime,-5,-18,-34,25,2,-41,3815
1015,Runerigus,-27,-8,36,-35,7,-81,9924
1016,Milcery,-40,-63,-69,-35,-37,-77,18853
1017,Alcremie,-20,-43,-34,25,23,-47,6768
1018,Falinks,-20,-3,-9,-15,-38,-36,3455
1019,Pincurchin,-37,-2,-14,6,-13,-96,10990
1020,Snom,-55,-78,-74,-40,-68,-91,29090
1021,Frosmoth,-15,-38,-49,40,-8,-46,7850
1022,Stonjourner,15,22,26,-65,-78,-41,13375
1023,Eiscue (Ice Face),-10,-23,1,-20,-8,-61,4815
1024,Eiscue (Noice Face),-10,-23,-39,-20,-48,19,5215
1025,Indeedee (Male),-25,-38,-54,20,-3,-16,5650
1026,Indeedee (Female),-15,-48,-44,10,7,-26,5290
1027,Morpeko,-27,-8,-51,-15,-40,-14,5415
1028,Cufant,-13,-23,-60,-45,-49,-71,13765
1029,Copperajah,37,27,-40,-5,-29,-81,11125
1030,Dracozolt,5,-3,-19,-5,-28,-36,2500
1031,Arctozolt,5,-3,-19,5,-18,-56,3880
1032,Dracovish,5,-13,-9,-15,-18,-36,2120
1033,Arctovish,5,-13,-9,-5,-8,-56,3500
1034,Duraludon,-15,-8,6,35,-48,-26,4530
1035,Dreepy,-57,-43,-79,-45,-68,-29,18829
1036,Drakloak,-17,-23,-59,-25,-48,-9,7309
1037,Dragapult,3,17,-34,15,-23,31,3169
1038,Zacian (Hero of Many Battles),7,17,6,-5,17,27,1417
1039,Zacian (Crowned Sword),7,47,6,-5,17,37,3977
1040,Zamazenta (Hero of Many Battles),7,17,6,-5,17,27,1417
1041,Zamazenta (Crowned Shield),7,17,31,-5,42,17,3377
1042,Eternatus,55,-18,-14,60,-3,19,7515
1043,Eternatus (Eternamax Eternatus),170,12,141,40,152,19,73990
1044,Kubfu,-25,-13,-49,-32,-48,-39,8044
1045,Urshifu,15,27,-9,-22,-38,-14,3159
1046,Zarude,20,17,-4,-15,-3,-6,975
1047,Regieleki,-5,-3,-59,15,-48,89,13965
1048,Regidrago,115,-3,-59,15,-48,-31,20205
1049,Glastrier,15,42,21,-20,12,-81,9535
1050,Spectrier,15,-38,-49,60,-18,19,8355
1051,Calyrex,15,-23,-29,-5,-18,-31,2905
1052,Calyrex (Ice Rider Calyrex),15,62,41,0,32,-61,10495
1053,Calyrex (Shadow Rider Calyrex),15,-18,-29,80,2,39,9315
1054,Wyrdeer,18,2,-37,20,-23,-46,4742
1055,Kleavor,-15,32,-14,-40,-28,-26,4505
1056,Ursaluna,45,37,-4,-40,-18,-61,9055
1057,Basculegion (Male),35,9,-44,-5,-23,-33,4885
1058,Basculegion (Female),35,-11,-44,15,-23,-33,5125
1059,Sneasler,-5,27,-49,-45,-18,9,5585
1060,Overqwil,0,12,-14,-20,-33,-26,2505
1061,Enamorus (Incarnate Forme),-11,12,-39,50,-18,-5,4635
1062,Enamorus (Therian Forme),-11,12,1,50,2,-65,6995
1063,Sprigatito,-45,-42,-55,-40,-53,-46,13339
1064,Floragato,-24,-23,-46,-25,-35,-28,5855
1065,Meowscarada,-9,7,-39,-4,-28,12,2595
1066,Fuecoco,-18,-58,-50,-22,-58,-75,15661
1067,Crocalor,-4,-48,-31,5,-40,-62,8750
1068,Skeledirge,19,-28,-9,25,-23,-45,4405
1069,Quaxly,-30,-38,-64,-35,-53,-61,14195
1070,Quaxwell,-15,-18,-44,-20,-38,-46,6445
1071,Quaquaval,0,17,-29,0,-23,-26,2335
1072,Lechonk,-31,-58,-69,-50,-53,-76,20171
1073,Oinkologne (Male),25,-3,-34,-26,-18,-46,4906
1074,Oinkologne (Female),30,-13,-39,-26,-8,-46,5446
1075,Tarountula,-50,-62,-64,-56,-58,-91,25221
1076,Spidops,-25,-24,-17,-33,-12,-76,8499
1077,Nymble,-52,-57,-69,-64,-73,-66,24495
1078,Lokix,-14,-1,-31,-33,-43,-19,4457
1079,Pawmi,-40,-53,-89,-45,-73,-51,22285
1080,Pawmo,-25,-28,-69,-35,-58,-26,11435
1081,Pawmot,-15,12,-39,-15,-38,-6,3595
1082,Tandemaus,-35,-53,-64,-45,-53,-36,14260
1083,Maushold,-11,-28,-39,-20,-23,0,3355
1084,Fidough,-48,-48,-39,-55,-43,-46,13119
1085,Dachsbun,-28,-23,6,-35,-18,-16,3154
1086,Smoliv,-44,-68,-64,-27,-47,-81,20155
1087,Dolliv,-33,-50,-49,-7,-20,-78,12523
1088,Arboliva,-7,-34,-19,40,11,-72,8471
1089,Squawkabilly,-3,-7,-58,-40,-47,-19,7592
1090,Nacli,-30,-48,-34,-50,-63,-86,18225
1091,Naclstack,-25,-43,-9,-50,-33,-76,11920
1092,Garganacl,15,-3,21,-40,-8,-76,8115
1093,Charcadet,-45,-53,-69,-35,-58,-76,19960
1094,Armarouge,0,-43,-9,40,-18,-36,5150
1095,Ceruledge,-10,22,-29,-25,2,-26,2730
1096,Tadbulb,-24,-72,-68,-26,-63,-66,19385
1097,Bellibolt,24,-39,-18,18,-15,-66,7326
1098,Wattrel,-45,-63,-74,-30,-58,-41,17415
1099,Kilowattrel,-15,-33,-49,20,-38,14,5755
1100,Maschiff,-25,-25,-49,-45,-47,-60,11485
1101,Mabosstiff,-5,17,-19,-25,-28,-26,2760
1102,Shroodle,-45,-38,-74,-45,-63,-36,16235
1103,Grafaiai,-22,-8,-44,-5,-26,-1,3186
1104,Bramblin,-45,-38,-79,-40,-63,-51,17880
1105,Brambleghast,-30,12,-39,-5,-28,-21,3815
1106,Toedscool,-45,-63,-74,-35,2,-41,14380
1107,Toedscruel,-5,-33,-44,-5,22,-11,3680
1108,Klawf,-15,-3,6,-50,-43,-36,5915
1109,Capsakid,-35,-41,-69,-23,-58,-61,15281
1110,Scovillain,-20,5,-44,23,-33,-36,5275
1111,Rellor,-44,-53,-49,-54,-40,-81,18223
1112,Rabsca,-10,-53,-24,30,2,-66,8745
1113,Flittle,-55,-68,-79,-30,-68,-36,20710
1114,Espathra,10,-43,-49,16,-38,-6,6086
1115,Tinkatink,-35,-58,-64,-50,-34,-53,15150
1116,Tinkatuff,-20,-48,-54,-40,-16,-33,8565
1117,Tinkaton,0,-28,-32,-15,7,-17,2371
1118,Wiglett,-75,-48,-84,-50,-73,-16,23070
1119,Wugtrio,-50,-3,-59,-35,-28,9,8080
1120,Bombirdier,-15,0,-24,-25,-13,-29,2436
1121,Finizen,-15,-58,-69,-40,-58,-36,14610
1122,Palafin,15,-33,-37,-32,-36,-11,5124
1123,Palafin,15,57,-12,21,-11,-11,4301
1124,Varoom,-40,-33,-46,-55,-53,-64,14735
1125,Revavroom,-5,16,-19,-31,-31,-21,3005
1126,Cyclizar,-15,-8,-44,0,-33,10,3414
1127,Orthworm,-15,-18,36,-25,-43,-46,6435
1128,Glimmet,-37,-68,-67,20,-38,-51,14927
1129,Glimmora,-2,-48,-19,45,-17,-25,5608
1130,Greavard,-35,-42,-49,-55,-43,-77,16193
1131,Houndstone,-13,-2,-9,-35,-1,-43,3329
1132,Flamigo,-3,12,-35,-10,-34,-21,3075
1133,Cetoddle,23,-35,-64,-55,-58,-68,16863
1134,Cetitan,85,10,-44,-40,-43,-38,14154
1135,Veluza,5,-1,-36,-7,-33,-41,4141
1136,Dondozo,65,-3,6,-20,-33,-76,11535
1137,Tatsugiri,-17,-53,-49,35,-3,-29,7574
1138,Annihilape,25,12,-29,-35,-8,-21,3340
1139,Clodsire,45,-28,-49,-40,2,-91,15095
1140,Farigiraf,35,-13,-39,25,-28,-51,6925
1141,Dudunsparce,40,-3,-29,0,-23,-56,6115
1142,Kingambit,15,32,11,-25,-13,-61,5885
1143,Great Tusk,30,28,22,-32,-45,-24,5793
1144,Scream Tail,30,-38,-10,-20,17,0,3133
1145,Brute Bonnet,26,24,-10,-6,1,-56,4525
1146,Flutter Mane,-30,-48,-54,50,37,24,10565
1147,Slither Wing,0,32,-30,0,7,-30,2873
1148,Sandy Shocks,0,-22,-12,36,-13,-10,2193
1149,Iron Treads,5,9,11,-13,-28,-5,1205
1150,Iron Bundle,-29,-23,5,39,-38,25,4985
1151,Iron Hands,69,37,-1,-35,-30,-61,11977
1152,Iron Jugulis,9,-23,-23,37,-18,-3,2841
1153,Iron Moth,-5,-33,-49,55,12,-1,6685
1154,Iron Thorns,15,31,1,-15,-14,-39,3129
1155,Frigibax,-20,-28,-64,-50,-53,-56,13725
1156,Arctibax,5,-8,-43,-40,-33,-49,7028
1157,Baxcalibur,30,42,-17,-10,-12,-24,3773
1158,Gimmighoul (Chest Form),-40,-73,-39,-10,-28,-101,19535
1159,Gimmighoul (Roaming Form),-40,-73,-84,-10,-53,-31,17855
1160,Gholdengo,2,-43,-14,48,-7,-27,5131
1161,Wo-Chien,0,-18,-9,10,37,-41,3555
1162,Chien-Pao,-5,17,-29,5,-33,24,2845
1163,Ting-Lu,70,7,16,-30,-18,-66,10785
1164,Chi-Yu,-30,-23,-29,50,22,-11,5375
1165,Roaring Moon,20,36,-38,-30,3,8,4113
1166,Iron Valiant,-11,27,-19,35,-38,5,3905
1167,Koraidon,15,32,6,0,2,24,1865
1168,Miraidon,15,-18,-9,50,17,24,3995
