Ronan McKinney vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
984,Boltund,-12,-10,0,28,-51,22,4113
985,Rolycoly,-51,-60,-10,-22,-61,-69,15267
986,Carkol,-1,-40,30,-2,-41,-49,6587
987,Coalossal,29,-20,60,18,-21,-69,10367
988,Applin,-41,-60,20,-22,-71,-79,17447
989,Flapple,-11,10,20,33,-51,-29,5152
990,Appletun,29,-15,20,38,-31,-69,8632
991,Silicobra,-29,-43,15,-27,-61,-53,10174
992,Sandaconda,-9,7,65,3,-41,-28,6829
993,Cramorant,-11,-15,-5,23,-16,-14,1352
994,Arrokuda,-40,-37,-20,-22,-81,-33,11503
995,Barraskewda,-20,23,0,-2,-61,37,6023
996,Toxel,-41,-62,-25,-8,-76,-59,15471
997,Toxtricity,-6,-2,10,52,-41,-24,5101
998,Sizzlipede,-31,-35,-15,-12,-61,-54,9192
999,Centiskorch,19,15,5,28,-21,-34,2992
1000,Clobbopus,-31,-32,0,-12,-61,-67,10339
1001,Grapploct,-1,18,30,8,-31,-57,5499
1002,Sinistea,-41,-55,-15,12,-57,-49,10725
1003,Polteageist,-21,-35,5,72,3,-29,7725
1004,Hatenna,-39,-70,-15,-6,-58,-60,13646
1005,Hattrem,-24,-60,5,24,-38,-50,8721
1006,Hatterene,-24,-10,35,74,-8,-70,12341
1007,Impidimp,-36,-55,-30,-7,-71,-49,12712
1008,Morgrem,-16,-40,-15,13,-56,-29,6227
1009,Grimmsnarl,14,20,5,33,-36,-39,4527
1010,Obstagoon,12,-10,41,-2,-30,-4,2845
1011,Perrserker,-11,10,40,-12,-51,-49,6967
1012,Cursola,-21,-5,-10,83,19,-69,12577
1013,Sirfetch'd,-19,35,35,6,-29,-34,4844
1014,Mr. Rime,-1,-15,15,48,-11,-29,3717
1015,Runerigus,-23,-5,85,-12,-6,-69,12720
1016,Milcery,-36,-60,-20,-12,-50,-65,12165
1017,Alcremie,-16,-40,15,48,10,-35,5710
1018,Falinks,-16,0,40,8,-51,-24,5097
1019,Pincurchin,-33,1,35,29,-26,-84,10888
1020,Snom,-51,-75,-25,-17,-81,-79,21942
1021,Frosmoth,-11,-35,0,63,-21,-34,6912
1022,Stonjourner,19,25,75,-42,-91,-29,17497
1023,Eiscue (Ice Face),-6,-20,50,3,-21,-49,5787
1024,Eiscue (Noice Face),-6,-20,10,3,-61,31,5227
1025,Indeedee (Male),-21,-35,-5,43,-16,-4,3812
1026,Indeedee (Female),-11,-45,5,33,-6,-14,3492
1027,Morpeko,-23,-5,-2,8,-53,-2,3435
1028,Cufant,-9,-20,-11,-22,-62,-59,8411
1029,Copperajah,41,30,9,18,-42,-69,9511
1030,Dracozolt,9,0,30,18,-41,-24,3562
1031,Arctozolt,9,0,30,28,-31,-44,4662
1032,Dracovish,9,-10,40,8,-31,-24,3382
1033,Arctovish,9,-10,40,18,-21,-44,4482
1034,Duraludon,-11,-5,55,58,-61,-14,10452
1035,Dreepy,-53,-40,-30,-22,-81,-17,12643
1036,Drakloak,-13,-20,-10,-2,-61,3,4403
1037,Dragapult,7,20,15,38,-36,43,5263
1038,Zacian (Hero of Many Battles),11,20,55,18,4,39,5407
1039,Zacian (Crowned Sword),11,50,55,18,4,49,8387
1040,Zamazenta (Hero of Many Battles),11,20,55,18,4,39,5407
1041,Zamazenta (Crowned Shield),11,20,80,18,29,29,8927
1042,Eternatus,59,-15,35,83,-16,31,13037
1043,Eternatus (Eternamax Eternatus),174,15,190,63,139,31,90852
1044,Kubfu,-21,-10,0,-9,-61,-27,5072
1045,Urshifu,19,30,40,1,-51,-2,5467
1046,Zarude,24,20,45,8,-16,6,3357
1047,Regieleki,-1,0,-10,38,-61,101,15467
1048,Regidrago,119,0,-10,38,-61,-19,19787
1049,Glastrier,19,45,70,3,-1,-69,12057
1050,Spectrier,19,-35,0,83,-31,31,10397
1051,Calyrex,19,-20,20,18,-31,-19,2807
1052,Calyrex (Ice Rider Calyrex),19,65,90,23,19,-49,15977
1053,Calyrex (Shadow Rider Calyrex),19,-15,20,103,-11,51,14317
1054,Wyrdeer,22,5,12,43,-36,-34,4954
1055,Kleavor,-11,35,35,-17,-41,-14,4737
1056,Ursaluna,49,40,45,-17,-31,-49,9677
1057,Basculegion (Male),39,12,5,18,-36,-21,3751
1058,Basculegion (Female),39,-8,5,38,-36,-21,4791
1059,Sneasler,-1,30,0,-22,-31,21,2787
1060,Overqwil,4,15,35,3,-46,-14,3787
1061,Enamorus (Incarnate Forme),-7,15,10,73,-31,7,6713
1062,Enamorus (Therian Forme),-7,15,50,73,-11,-53,11033
1063,Sprigatito,-41,-39,-6,-17,-66,-34,9039
1064,Floragato,-20,-20,3,-2,-48,-16,3373
1065,Meowscarada,-5,10,10,19,-41,24,2843
1066,Fuecoco,-14,-55,-1,1,-71,-63,12233
1067,Crocalor,0,-45,18,28,-53,-50,8442
1068,Skeledirge,23,-25,40,48,-36,-33,7443
1069,Quaxly,-26,-35,-15,-12,-66,-49,9027
1070,Quaxwell,-11,-15,5,3,-51,-34,4137
1071,Quaquaval,4,20,20,23,-36,-14,2837
1072,Lechonk,-27,-55,-20,-27,-66,-64,13335
1073,Oinkologne (Male),29,0,15,-3,-31,-34,3192
1074,Oinkologne (Female),34,-10,10,-3,-21,-34,2962
1075,Tarountula,-46,-59,-15,-33,-71,-79,18193
1076,Spidops,-21,-21,32,-10,-25,-64,6727
1077,Nymble,-48,-54,-20,-41,-86,-54,17613
1078,Lokix,-10,2,18,-10,-56,-7,3713
1079,Pawmi,-36,-50,-40,-22,-86,-39,14797
1080,Pawmo,-21,-25,-20,-12,-71,-14,6847
1081,Pawmot,-11,15,10,8,-51,6,3147
1082,Tandemaus,-31,-50,-15,-22,-66,-24,9102
1083,Maushold,-7,-25,10,3,-36,12,2223
1084,Fidough,-44,-45,10,-32,-56,-34,9377
1085,Dachsbun,-24,-20,55,-12,-31,-4,5122
1086,Smoliv,-40,-65,-15,-4,-60,-69,14427
1087,Dolliv,-29,-47,0,16,-33,-66,8751
1088,Arboliva,-3,-31,30,63,-2,-60,9443
1089,Squawkabilly,1,-4,-9,-17,-60,-7,4036
1090,Nacli,-26,-45,15,-27,-76,-74,14907
1091,Naclstack,-21,-40,40,-27,-46,-64,10582
1092,Garganacl,19,0,70,-17,-21,-64,10087
1093,Charcadet,-41,-50,-20,-12,-71,-64,13862
1094,Armarouge,4,-40,40,63,-31,-24,8722
1095,Ceruledge,-6,25,20,-2,-11,-14,1382
1096,Tadbulb,-20,-69,-19,-3,-76,-54,14223
1097,Bellibolt,28,-36,31,41,-28,-54,8422
1098,Wattrel,-41,-60,-25,-7,-71,-29,11837
1099,Kilowattrel,-11,-30,0,43,-51,26,6147
1100,Maschiff,-21,-22,0,-22,-60,-48,7313
1101,Mabosstiff,-1,20,30,-2,-41,-14,3182
1102,Shroodle,-41,-35,-25,-22,-76,-24,10367
1103,Grafaiai,-18,-5,5,18,-39,11,2340
1104,Bramblin,-41,-35,-30,-17,-76,-39,11392
1105,Brambleghast,-26,15,10,18,-41,-9,3087
1106,Toedscool,-41,-60,-25,-12,-11,-29,7012
1107,Toedscruel,-1,-30,5,18,9,1,1332
1108,Klawf,-11,0,55,-27,-56,-24,7587
1109,Capsakid,-31,-38,-20,0,-71,-49,10247
1110,Scovillain,-16,8,5,46,-46,-24,5153
1111,Rellor,-40,-50,0,-31,-53,-69,12631
1112,Rabsca,-6,-50,25,53,-11,-54,9007
1113,Flittle,-51,-65,-30,-7,-81,-24,14912
1114,Espathra,14,-40,0,39,-51,6,5954
1115,Tinkatink,-31,-55,-15,-27,-47,-41,8830
1116,Tinkatuff,-16,-45,-5,-17,-29,-21,3877
1117,Tinkaton,4,-25,17,8,-6,-5,1055
1118,Wiglett,-71,-45,-35,-27,-86,-4,16432
1119,Wugtrio,-46,0,-10,-12,-41,21,4482
1120,Bombirdier,-11,3,25,-2,-26,-17,1724
1121,Finizen,-11,-55,-20,-17,-71,-24,9452
1122,Palafin,19,-30,12,-9,-49,1,3888
1123,Palafin,19,60,37,44,-24,1,7843
1124,Varoom,-36,-30,3,-32,-66,-52,10289
1125,Revavroom,-1,19,30,-8,-44,-9,3343
1126,Cyclizar,-11,-5,5,23,-46,22,3300
1127,Orthworm,-11,-15,85,-2,-56,-34,11867
1128,Glimmet,-33,-65,-18,43,-51,-39,11609
1129,Glimmora,2,-45,30,68,-30,-13,8622
1130,Greavard,-31,-39,0,-32,-56,-65,10867
1131,Houndstone,-9,1,40,-12,-14,-31,2983
1132,Flamigo,1,15,14,13,-47,-9,2881
1133,Cetoddle,27,-32,-15,-32,-71,-56,11179
1134,Cetitan,89,13,5,-17,-56,-26,12216
1135,Veluza,9,2,13,16,-46,-29,3467
1136,Dondozo,69,0,55,3,-46,-64,14007
1137,Tatsugiri,-13,-50,0,58,-16,-17,6578
1138,Annihilape,29,15,20,-12,-21,-9,2132
1139,Clodsire,49,-25,0,-17,-11,-79,9677
1140,Farigiraf,39,-10,10,48,-41,-39,7227
1141,Dudunsparce,44,0,20,23,-36,-44,6097
1142,Kingambit,19,35,60,-2,-26,-49,8267
1143,Great Tusk,34,31,71,-9,-58,-12,10747
1144,Scream Tail,34,-35,39,3,4,12,4071
1145,Brute Bonnet,30,27,39,17,-12,-44,5519
1146,Flutter Mane,-26,-45,-5,73,24,36,9927
1147,Slither Wing,4,35,19,23,-6,-18,2491
1148,Sandy Shocks,4,-19,37,59,-26,2,5907
1149,Iron Treads,9,12,60,10,-41,7,5655
1150,Iron Bundle,-25,-20,54,62,-51,37,11755
1151,Iron Hands,73,40,48,-12,-43,-49,13627
1152,Iron Jugulis,13,-20,26,60,-31,9,5887
1153,Iron Moth,-1,-30,0,78,-1,11,7107
1154,Iron Thorns,19,34,50,8,-27,-27,5539
1155,Frigibax,-16,-25,-15,-27,-66,-44,8127
1156,Arctibax,9,-5,6,-17,-46,-37,3916
1157,Baxcalibur,34,45,32,13,-25,-12,5143
1158,Gimmighoul (Chest Form),-36,-70,10,13,-41,-89,16067
1159,Gimmighoul (Roaming Form),-36,-70,-35,13,-66,-19,12307
1160,Gholdengo,6,-40,35,71,-20,-15,8527
1161,Wo-Chien,4,-15,40,33,24,-29,4347
1162,Chien-Pao,-1,20,20,28,-46,36,4997
1163,Ting-Lu,74,10,65,-7,-31,-54,13727
1164,Chi-Yu,-26,-20,20,73,9,1,6887
1165,Roaring Moon,24,39,11,-7,-10,20,2767
1166,Iron Valiant,-7,30,30,58,-51,17,8103
1167,Koraidon,19,35,55,23,-11,36,6557
1168,Miraidon,19,-15,40,73,4,36,8827
