Carla Betancourt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
950,Marshadow,-8,23,-17,5,-30,12,1951
951,Poipole,-31,-29,-30,-12,-53,-40,7255
952,Naganadel,-25,-29,-24,42,-47,8,6079
953,Stakataka,-37,29,114,-32,-19,-100,26591
954,Blacephalon,-45,25,-44,66,-41,-6,10659
955,Zeraora,-10,10,-22,17,-40,30,3473
956,Meltan,-52,-37,-32,-30,-85,-79,19463
957,Melmetal,37,41,46,-5,-55,-79,14457
958,Grookey,-48,-37,-47,-45,-80,-48,16611
959,Thwackey,-28,-17,-27,-30,-60,-33,7391
960,Rillaboom,2,23,-7,-25,-50,-28,4491
961,Scorbunny,-48,-31,-57,-45,-80,-44,16875
962,Raboot,-33,-16,-37,-30,-60,-19,7575
963,Cinderace,-18,14,-22,-20,-45,6,3465
964,Sobble,-48,-62,-57,-15,-80,-43,17871
965,Drizzile,-33,-42,-42,10,-65,-23,9471
966,Inteleon,-28,-17,-32,40,-55,7,6771
967,Skwovet,-28,-47,-42,-50,-85,-88,22226
968,Greedent,22,-7,-2,-30,-45,-93,12111
969,Rookidee,-60,-55,-62,-52,-85,-56,23534
970,Corvisquire,-30,-35,-42,-42,-65,-36,11174
971,Corviknight,0,-15,8,-32,-35,-46,4654
972,Blipbug,-73,-82,-77,-60,-75,-68,31831
973,Dottler,-48,-67,-17,-35,-30,-83,16096
974,Orbeetle,-38,-57,13,-5,0,-23,5416
975,Nickit,-58,-74,-69,-38,-68,-63,23638
976,Thievul,-28,-44,-39,2,-28,-23,5558
977,Gossifleur,-58,-62,-37,-45,-60,-103,24811
978,Eldegoss,-38,-52,-7,-5,0,-53,7031
979,Wooloo,-56,-62,-42,-45,-75,-65,20619
980,Dubwool,-26,-22,3,-25,-30,-25,3319
981,Chewtle,-48,-38,-47,-47,-82,-69,19651
982,Drednaw,-8,13,-7,-37,-52,-39,5876
983,Yamper,-39,-57,-47,-45,-70,-87,21473
984,Boltund,-29,-12,-37,5,-60,8,6043
985,Rolycoly,-68,-62,-47,-45,-70,-83,24491
986,Carkol,-18,-42,-7,-25,-50,-63,9231
987,Coalossal,12,-22,23,-5,-30,-83,8971
988,Applin,-58,-62,-17,-45,-80,-93,24571
989,Flapple,-28,8,-17,10,-60,-43,6686
990,Appletun,12,-17,-17,15,-40,-83,9436
991,Silicobra,-46,-45,-22,-50,-70,-67,16514
992,Sandaconda,-26,5,28,-20,-50,-42,6149
993,Cramorant,-28,-17,-42,0,-25,-28,4246
994,Arrokuda,-57,-39,-57,-45,-90,-47,20353
995,Barraskewda,-37,21,-37,-25,-70,23,9233
996,Toxel,-58,-64,-62,-31,-85,-73,24819
997,Toxtricity,-23,-4,-27,29,-50,-38,6059
998,Sizzlipede,-48,-37,-52,-35,-70,-68,17126
999,Centiskorch,2,13,-32,5,-30,-48,4426
1000,Clobbopus,-48,-34,-37,-35,-70,-81,17515
1001,Grapploct,-18,16,-7,-15,-40,-71,7495
1002,Sinistea,-58,-57,-52,-11,-66,-63,17763
1003,Polteageist,-38,-37,-32,49,-6,-43,8123
1004,Hatenna,-56,-72,-52,-29,-67,-74,21830
1005,Hattrem,-41,-62,-32,1,-47,-64,12855
1006,Hatterene,-41,-12,-2,51,-17,-84,11775
1007,Impidimp,-53,-57,-67,-30,-80,-63,21816
1008,Morgrem,-33,-42,-52,-10,-65,-43,11731
1009,Grimmsnarl,-3,18,-32,10,-45,-53,6291
1010,Obstagoon,-5,-12,4,-25,-39,-18,2655
1011,Perrserker,-28,8,3,-35,-60,-63,9651
1012,Cursola,-38,-7,-47,60,10,-83,14291
1013,Sirfetch'd,-36,33,-2,-17,-38,-48,6426
1014,Mr. Rime,-18,-17,-22,25,-20,-43,3971
1015,Runerigus,-40,-7,48,-35,-15,-83,12292
1016,Milcery,-53,-62,-57,-35,-59,-79,20849
1017,Alcremie,-33,-42,-22,25,1,-49,6364
1018,Falinks,-33,-2,3,-15,-60,-38,6371
1019,Pincurchin,-50,-1,-2,6,-35,-98,13370
1020,Snom,-68,-77,-62,-40,-90,-93,32746
1021,Frosmoth,-28,-37,-37,40,-30,-48,8326
1022,Stonjourner,2,23,38,-65,-100,-43,18051
1023,Eiscue (Ice Face),-23,-22,13,-20,-30,-63,6451
1024,Eiscue (Noice Face),-23,-22,-27,-20,-70,17,7331
1025,Indeedee (Male),-38,-37,-42,20,-25,-18,5926
1026,Indeedee (Female),-28,-47,-32,10,-15,-28,5126
1027,Morpeko,-40,-7,-39,-15,-62,-16,7495
1028,Cufant,-26,-22,-48,-45,-71,-73,15859
1029,Copperajah,24,28,-28,-5,-51,-83,11659
1030,Dracozolt,-8,-2,-7,-5,-50,-38,4086
1031,Arctozolt,-8,-2,-7,5,-40,-58,5106
1032,Dracovish,-8,-12,3,-15,-40,-38,3486
1033,Arctovish,-8,-12,3,-5,-30,-58,4506
1034,Duraludon,-28,-7,18,35,-70,-28,8066
1035,Dreepy,-70,-42,-67,-45,-90,-31,22239
1036,Drakloak,-30,-22,-47,-25,-70,-11,9239
1037,Dragapult,-10,18,-22,15,-45,29,3999
1038,Zacian (Hero of Many Battles),-6,18,18,-5,-5,25,1359
1039,Zacian (Crowned Sword),-6,48,18,-5,-5,35,3939
1040,Zamazenta (Hero of Many Battles),-6,18,18,-5,-5,25,1359
1041,Zamazenta (Crowned Shield),-6,18,43,-5,20,15,2859
1042,Eternatus,42,-17,-2,60,-25,17,6571
1043,Eternatus (Eternamax Eternatus),157,13,153,40,130,17,67016
1044,Kubfu,-38,-12,-37,-32,-70,-41,10562
1045,Urshifu,2,28,3,-22,-60,-16,5137
1046,Zarude,7,18,8,-15,-25,-8,1351
1047,Regieleki,-18,-2,-47,15,-70,87,15231
1048,Regidrago,102,-2,-47,15,-70,-33,18831
1049,Glastrier,2,43,33,-20,-10,-83,10331
1050,Spectrier,2,-37,-37,60,-40,17,8231
1051,Calyrex,2,-22,-17,-5,-40,-33,3491
1052,Calyrex (Ice Rider Calyrex),2,63,53,0,10,-63,10851
1053,Calyrex (Shadow Rider Calyrex),2,-17,-17,80,-20,37,8751
1054,Wyrdeer,5,3,-25,20,-45,-48,5388
1055,Kleavor,-28,33,-2,-40,-50,-28,6761
1056,Ursaluna,32,38,8,-40,-40,-63,9701
1057,Basculegion (Male),22,10,-32,-5,-45,-35,4883
1058,Basculegion (Female),22,-10,-32,15,-45,-35,5083
1059,Sneasler,-18,28,-37,-45,-40,7,6151
1060,Overqwil,-13,13,-2,-20,-55,-28,4551
1061,Enamorus (Incarnate Forme),-24,13,-27,50,-40,-7,5623
1062,Enamorus (Therian Forme),-24,13,13,50,-20,-67,8303
1063,Sprigatito,-58,-41,-43,-40,-75,-48,16423
1064,Floragato,-37,-22,-34,-25,-57,-30,7783
1065,Meowscarada,-22,8,-27,-4,-50,10,3893
1066,Fuecoco,-31,-57,-38,-22,-80,-77,18467
1067,Crocalor,-17,-47,-19,5,-62,-64,10824
1068,Skeledirge,6,-27,3,25,-45,-47,5633
1069,Quaxly,-43,-37,-52,-35,-75,-63,16741
1070,Quaxwell,-28,-17,-32,-20,-60,-48,8401
1071,Quaquaval,-13,18,-17,0,-45,-28,3591
1072,Lechonk,-44,-57,-57,-50,-75,-78,22643
1073,Oinkologne (Male),12,-2,-22,-26,-40,-48,5212
1074,Oinkologne (Female),17,-12,-27,-26,-30,-48,5042
1075,Tarountula,-63,-61,-52,-56,-80,-93,28579
1076,Spidops,-38,-23,-5,-33,-34,-78,10327
1077,Nymble,-65,-56,-57,-64,-95,-68,28355
1078,Lokix,-27,0,-19,-33,-65,-21,6845
1079,Pawmi,-53,-52,-77,-45,-95,-53,25301
1080,Pawmo,-38,-27,-57,-35,-80,-28,13831
1081,Pawmot,-28,13,-27,-15,-60,-8,5571
1082,Tandemaus,-48,-52,-52,-45,-75,-38,16806
1083,Maushold,-24,-27,-27,-20,-45,-2,4463
1084,Fidough,-61,-47,-27,-55,-65,-48,16213
1085,Dachsbun,-41,-22,18,-35,-40,-18,5638
1086,Smoliv,-57,-67,-52,-27,-69,-83,22821
1087,Dolliv,-46,-49,-37,-7,-42,-80,14099
1088,Arboliva,-20,-33,-7,40,-11,-74,8735
1089,Squawkabilly,-16,-6,-46,-40,-69,-21,9210
1090,Nacli,-43,-47,-22,-50,-85,-88,22011
1091,Naclstack,-38,-42,3,-50,-55,-78,14826
1092,Garganacl,2,-2,33,-40,-30,-78,9681
1093,Charcadet,-58,-52,-57,-35,-80,-78,23026
1094,Armarouge,-13,-42,3,40,-40,-38,6586
1095,Ceruledge,-23,23,-17,-25,-20,-28,3156
1096,Tadbulb,-37,-71,-56,-26,-85,-68,22071
1097,Bellibolt,11,-38,-6,18,-37,-68,7918
1098,Wattrel,-58,-62,-62,-30,-80,-43,20201
1099,Kilowattrel,-28,-32,-37,20,-60,12,7321
1100,Maschiff,-38,-24,-37,-45,-69,-62,14019
1101,Mabosstiff,-18,18,-7,-25,-50,-28,4606
1102,Shroodle,-58,-37,-62,-45,-85,-38,19271
1103,Grafaiai,-35,-7,-32,-5,-48,-3,4636
1104,Bramblin,-58,-37,-67,-40,-85,-53,20856
1105,Brambleghast,-43,13,-27,-5,-50,-23,5801
1106,Toedscool,-58,-62,-62,-35,-20,-43,14526
1107,Toedscruel,-18,-32,-32,-5,0,-13,2566
1108,Klawf,-28,-2,18,-50,-65,-38,9281
1109,Capsakid,-48,-40,-57,-23,-80,-63,18051
1110,Scovillain,-33,6,-32,23,-55,-38,7147
1111,Rellor,-57,-52,-37,-54,-62,-83,20971
1112,Rabsca,-23,-52,-12,30,-20,-68,9301
1113,Flittle,-68,-67,-67,-30,-90,-38,24046
1114,Espathra,-3,-42,-37,16,-60,-8,7062
1115,Tinkatink,-48,-57,-52,-50,-56,-55,16918
1116,Tinkatuff,-33,-47,-42,-40,-38,-35,9331
1117,Tinkaton,-13,-27,-20,-15,-15,-19,2109
1118,Wiglett,-88,-47,-72,-50,-95,-18,26986
1119,Wugtrio,-63,-2,-47,-35,-50,7,9956
1120,Bombirdier,-28,1,-12,-25,-35,-31,3740
1121,Finizen,-28,-57,-57,-40,-80,-38,16726
1122,Palafin,2,-32,-25,-32,-58,-13,6210
1123,Palafin,2,58,0,21,-33,-13,5067
1124,Varoom,-53,-32,-34,-55,-75,-66,17995
1125,Revavroom,-18,17,-7,-31,-53,-23,4961
1126,Cyclizar,-28,-7,-32,0,-55,8,4946
1127,Orthworm,-28,-17,48,-25,-65,-48,10531
1128,Glimmet,-50,-67,-55,20,-60,-53,16823
1129,Glimmora,-15,-47,-7,45,-39,-27,6758
1130,Greavard,-48,-41,-37,-55,-65,-79,18845
1131,Houndstone,-26,-1,3,-35,-23,-45,4465
1132,Flamigo,-16,13,-23,-10,-56,-23,4719
1133,Cetoddle,10,-34,-52,-55,-80,-70,18285
1134,Cetitan,72,11,-32,-40,-65,-40,13754
1135,Veluza,-8,0,-24,-7,-55,-43,5563
1136,Dondozo,52,-2,18,-20,-55,-78,12541
1137,Tatsugiri,-30,-52,-37,35,-25,-31,7784
1138,Annihilape,12,13,-17,-35,-30,-23,3256
1139,Clodsire,32,-27,-37,-40,-20,-93,13771
1140,Farigiraf,22,-12,-27,25,-50,-53,7291
1141,Dudunsparce,27,-2,-17,0,-45,-58,6411
1142,Kingambit,2,33,23,-25,-35,-63,7441
1143,Great Tusk,17,29,34,-32,-67,-26,8475
1144,Scream Tail,17,-37,2,-20,-5,-2,2091
1145,Brute Bonnet,13,25,2,-6,-21,-58,4639
1146,Flutter Mane,-43,-47,-42,50,15,22,9031
1147,Slither Wing,-13,33,-18,0,-15,-32,2831
1148,Sandy Shocks,-13,-21,0,36,-35,-12,3275
1149,Iron Treads,-8,10,23,-13,-50,-7,3411
1150,Iron Bundle,-42,-22,17,39,-60,23,8187
1151,Iron Hands,56,38,11,-35,-52,-63,12599
1152,Iron Jugulis,-4,-22,-11,37,-40,-5,3615
1153,Iron Moth,-18,-32,-37,55,-10,-3,5851
1154,Iron Thorns,2,32,13,-15,-36,-41,4399
1155,Frigibax,-33,-27,-52,-50,-75,-58,16011
1156,Arctibax,-8,-7,-31,-40,-55,-51,8300
1157,Baxcalibur,17,43,-5,-10,-34,-26,4095
1158,Gimmighoul (Chest Form),-53,-72,-27,-10,-50,-103,21931
1159,Gimmighoul (Roaming Form),-53,-72,-72,-10,-75,-33,19991
1160,Gholdengo,-11,-42,-2,48,-29,-29,5875
1161,Wo-Chien,-13,-17,3,10,15,-43,2641
1162,Chien-Pao,-18,18,-17,5,-55,22,4471
1163,Ting-Lu,57,8,28,-30,-40,-68,11221
1164,Chi-Yu,-43,-22,-17,50,0,-13,5291
1165,Roaring Moon,7,37,-26,-30,-19,6,3391
1166,Iron Valiant,-24,28,-7,35,-60,3,6243
1167,Koraidon,2,33,18,0,-20,22,2301
1168,Miraidon,2,-17,3,50,-5,22,3311
