Piper Parker vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
995,Barraskewda,-12,18,0,-3,-49,51,5479
996,Toxel,-33,-67,-25,-9,-64,-45,12405
997,Toxtricity,2,-7,10,51,-29,-10,3695
998,Sizzlipede,-23,-40,-15,-13,-49,-40,6524
999,Centiskorch,27,10,5,27,-9,-20,2064
1000,Clobbopus,-23,-37,0,-13,-49,-53,7277
1001,Grapploct,7,13,30,7,-19,-43,3377
1002,Sinistea,-33,-60,-15,11,-45,-35,8285
1003,Polteageist,-13,-40,5,71,15,-15,7285
1004,Hatenna,-31,-75,-15,-7,-46,-46,11092
1005,Hattrem,-16,-65,5,23,-26,-36,7007
1006,Hatterene,-16,-15,35,73,4,-56,10187
1007,Impidimp,-28,-60,-30,-8,-59,-35,10054
1008,Morgrem,-8,-45,-15,12,-44,-15,4619
1009,Grimmsnarl,22,15,5,32,-24,-25,2959
1010,Obstagoon,20,-15,41,-3,-18,10,2739
1011,Perrserker,-3,5,40,-13,-39,-35,4549
1012,Cursola,-13,-10,-10,82,31,-55,11079
1013,Sirfetch'd,-11,30,35,5,-17,-20,2960
1014,Mr. Rime,7,-20,15,47,1,-15,3109
1015,Runerigus,-15,-10,85,-13,6,-55,10780
1016,Milcery,-28,-65,-20,-13,-38,-51,9623
1017,Alcremie,-8,-45,15,47,22,-21,5448
1018,Falinks,-8,-5,40,7,-39,-10,3359
1019,Pincurchin,-25,-4,35,28,-14,-70,7746
1020,Snom,-43,-80,-25,-18,-69,-65,18184
1021,Frosmoth,-3,-40,0,62,-9,-20,5934
1022,Stonjourner,27,20,75,-43,-79,-15,15069
1023,Eiscue (Ice Face),2,-25,50,2,-9,-35,4439
1024,Eiscue (Noice Face),2,-25,10,2,-49,45,5159
1025,Indeedee (Male),-13,-40,-5,42,-4,10,3674
1026,Indeedee (Female),-3,-50,5,32,6,0,3594
1027,Morpeko,-15,-10,-2,7,-41,12,2203
1028,Cufant,-1,-25,-11,-23,-50,-45,5801
1029,Copperajah,49,25,9,17,-30,-55,7321
1030,Dracozolt,17,-5,30,17,-29,-10,2444
1031,Arctozolt,17,-5,30,27,-19,-30,3204
1032,Dracovish,17,-15,40,7,-19,-10,2624
1033,Arctovish,17,-15,40,17,-9,-30,3384
1034,Duraludon,-3,-10,55,57,-49,0,8784
1035,Dreepy,-45,-45,-30,-23,-69,-3,10249
1036,Drakloak,-5,-25,-10,-3,-49,17,3449
1037,Dragapult,15,15,15,37,-24,57,5869
1038,Zacian (Hero of Many Battles),19,15,55,17,16,53,6965
1039,Zacian (Crowned Sword),19,45,55,17,16,63,9925
1040,Zamazenta (Hero of Many Battles),19,15,55,17,16,53,6965
1041,Zamazenta (Crowned Shield),19,15,80,17,41,43,10805
1042,Eternatus,67,-20,35,82,-4,45,14879
1043,Eternatus (Eternamax Eternatus),182,10,190,62,151,45,97994
1044,Kubfu,-13,-15,0,-10,-49,-13,3064
1045,Urshifu,27,25,40,0,-39,12,4619
1046,Zarude,32,15,45,7,-4,20,3739
1047,Regieleki,7,-5,-10,37,-49,115,17169
1048,Regidrago,127,-5,-10,37,-49,-5,20049
1049,Glastrier,27,40,70,2,11,-55,10379
1050,Spectrier,27,-40,0,82,-19,45,11439
1051,Calyrex,27,-25,20,17,-19,-5,2429
1052,Calyrex (Ice Rider Calyrex),27,60,90,22,31,-35,15099
1053,Calyrex (Shadow Rider Calyrex),27,-20,20,102,1,65,16159
1054,Wyrdeer,30,0,12,42,-24,-20,3784
1055,Kleavor,-3,30,35,-18,-29,0,3299
1056,Ursaluna,57,35,45,-18,-19,-35,8409
1057,Basculegion (Male),47,7,5,17,-24,-7,3197
1058,Basculegion (Female),47,-13,5,37,-24,-7,4397
1059,Sneasler,7,25,0,-23,-19,35,2789
1060,Overqwil,12,10,35,2,-34,0,2629
1061,Enamorus (Incarnate Forme),1,10,10,72,-19,21,6187
1062,Enamorus (Therian Forme),1,10,50,72,1,-39,9307
1063,Sprigatito,-33,-44,-6,-18,-54,-20,6701
1064,Floragato,-12,-25,3,-3,-36,-2,2087
1065,Meowscarada,3,5,10,18,-29,38,2743
1066,Fuecoco,-6,-60,-1,0,-59,-49,9519
1067,Crocalor,8,-50,18,27,-41,-36,6594
1068,Skeledirge,31,-30,40,47,-24,-19,6607
1069,Quaxly,-18,-40,-15,-13,-54,-35,6459
1070,Quaxwell,-3,-20,5,2,-39,-20,2359
1071,Quaquaval,12,15,20,22,-24,0,1829
1072,Lechonk,-19,-60,-20,-28,-54,-50,10561
1073,Oinkologne (Male),37,-5,15,-4,-19,-20,2396
1074,Oinkologne (Female),42,-15,10,-4,-9,-20,2586
1075,Tarountula,-38,-64,-15,-34,-59,-65,14627
1076,Spidops,-13,-26,32,-11,-13,-50,4659
1077,Nymble,-40,-59,-20,-42,-74,-40,14321
1078,Lokix,-2,-3,18,-11,-44,7,2443
1079,Pawmi,-28,-55,-40,-23,-74,-25,12039
1080,Pawmo,-13,-30,-20,-13,-59,0,5119
1081,Pawmot,-3,10,10,7,-39,20,2179
1082,Tandemaus,-23,-55,-15,-23,-54,-10,7324
1083,Maushold,1,-30,10,2,-24,26,2257
1084,Fidough,-36,-50,10,-33,-44,-20,7321
1085,Dachsbun,-16,-25,55,-13,-19,10,4536
1086,Smoliv,-32,-70,-15,-5,-48,-55,11503
1087,Dolliv,-21,-52,0,15,-21,-52,6515
1088,Arboliva,5,-36,30,62,10,-46,8281
1089,Squawkabilly,9,-9,-9,-18,-48,7,2920
1090,Nacli,-18,-50,15,-28,-64,-60,11529
1091,Naclstack,-13,-45,40,-28,-34,-50,8234
1092,Garganacl,27,-5,70,-18,-9,-50,8559
1093,Charcadet,-33,-55,-20,-13,-59,-50,10664
1094,Armarouge,12,-45,40,62,-19,-10,8074
1095,Ceruledge,2,20,20,-3,1,0,814
1096,Tadbulb,-12,-74,-19,-4,-64,-40,11693
1097,Bellibolt,36,-41,31,40,-16,-40,7394
1098,Wattrel,-33,-65,-25,-8,-59,-15,9709
1099,Kilowattrel,-3,-35,0,42,-39,40,6119
1100,Maschiff,-13,-27,0,-23,-48,-34,4887
1101,Mabosstiff,7,15,30,-3,-29,0,2024
1102,Shroodle,-33,-40,-25,-23,-64,-10,8039
1103,Grafaiai,-10,-10,5,17,-27,25,1868
1104,Bramblin,-33,-40,-30,-18,-64,-25,8634
1105,Brambleghast,-18,10,10,17,-29,5,1679
1106,Toedscool,-33,-65,-25,-13,1,-15,6334
1107,Toedscruel,7,-35,5,17,21,15,2254
1108,Klawf,-3,-5,55,-28,-44,-10,5879
1109,Capsakid,-23,-43,-20,-1,-59,-35,7485
1110,Scovillain,-8,3,5,45,-34,-10,3379
1111,Rellor,-32,-55,0,-32,-41,-55,9779
1112,Rabsca,2,-55,25,52,1,-40,7959
1113,Flittle,-43,-70,-30,-8,-69,-10,12574
1114,Espathra,22,-45,0,38,-39,20,5874
1115,Tinkatink,-23,-60,-15,-28,-35,-27,7092
1116,Tinkatuff,-8,-50,-5,-18,-17,-7,3251
1117,Tinkaton,12,-30,17,7,6,9,1499
1118,Wiglett,-63,-50,-35,-28,-74,10,14054
1119,Wugtrio,-38,-5,-10,-13,-29,35,3804
1120,Bombirdier,-3,-2,25,-3,-14,-3,852
1121,Finizen,-3,-60,-20,-18,-59,-10,7914
1122,Palafin,27,-35,12,-10,-37,15,3792
1123,Palafin,27,55,37,43,-12,15,7341
1124,Varoom,-28,-35,3,-33,-54,-38,7467
1125,Revavroom,7,14,30,-9,-32,5,2275
1126,Cyclizar,-3,-10,5,22,-34,36,3070
1127,Orthworm,-3,-20,85,-3,-44,-20,9979
1128,Glimmet,-25,-70,-18,42,-39,-25,9759
1129,Glimmora,10,-50,30,67,-18,1,8314
1130,Greavard,-23,-44,0,-33,-44,-51,8091
1131,Houndstone,-1,-4,40,-13,-2,-17,2079
1132,Flamigo,9,10,14,12,-35,5,1771
1133,Cetoddle,35,-37,-15,-33,-59,-42,9153
1134,Cetitan,97,8,5,-18,-44,-12,11902
1135,Veluza,17,-3,13,15,-34,-15,2073
1136,Dondozo,77,-5,55,2,-34,-50,12639
1137,Tatsugiri,-5,-55,0,57,-4,-3,6324
1138,Annihilape,37,10,20,-13,-9,5,2144
1139,Clodsire,57,-30,0,-18,1,-65,8699
1140,Farigiraf,47,-15,10,47,-29,-25,6209
1141,Dudunsparce,52,-5,20,22,-24,-30,5089
1142,Kingambit,27,30,60,-3,-14,-35,6659
1143,Great Tusk,42,26,71,-10,-46,2,9701
1144,Scream Tail,42,-40,39,2,16,26,5821
1145,Brute Bonnet,38,22,39,16,0,-30,4605
1146,Flutter Mane,-18,-50,-5,72,36,50,11829
1147,Slither Wing,12,30,19,22,6,-4,1941
1148,Sandy Shocks,12,-24,37,58,-14,16,5905
1149,Iron Treads,17,7,60,9,-29,21,5301
1150,Iron Bundle,-17,-25,54,61,-39,51,11673
1151,Iron Hands,81,35,48,-13,-31,-35,12445
1152,Iron Jugulis,21,-25,26,59,-19,23,6113
1153,Iron Moth,7,-35,0,77,11,25,7949
1154,Iron Thorns,27,29,50,7,-15,-13,4513
1155,Frigibax,-8,-30,-15,-28,-54,-30,5789
1156,Arctibax,17,-10,6,-18,-34,-23,2434
1157,Baxcalibur,42,40,32,12,-13,2,4705
1158,Gimmighoul (Chest Form),-28,-75,10,12,-29,-75,13119
1159,Gimmighoul (Roaming Form),-28,-75,-35,12,-54,-5,10719
1160,Gholdengo,14,-45,35,70,-8,-1,8411
1161,Wo-Chien,12,-20,40,32,36,-15,4689
1162,Chien-Pao,7,15,20,27,-34,50,5059
1163,Ting-Lu,82,5,65,-8,-19,-40,12999
1164,Chi-Yu,-18,-25,20,72,21,15,7199
1165,Roaring Moon,32,34,11,-8,2,34,3525
1166,Iron Valiant,1,25,30,57,-39,31,7257
1167,Koraidon,27,30,55,22,1,50,7639
1168,Miraidon,27,-20,40,72,16,50,10669
