Luke Woods vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
965,Drizzile,-3,-51,-60,25,-52,-15,9764
966,Inteleon,2,-26,-50,55,-42,15,8194
967,Skwovet,2,-56,-60,-35,-72,-80,19549
968,Greedent,52,-16,-20,-15,-32,-85,11834
969,Rookidee,-30,-64,-80,-37,-72,-48,20253
970,Corvisquire,0,-44,-60,-27,-52,-28,9753
971,Corviknight,30,-24,-10,-17,-22,-38,3793
972,Blipbug,-43,-91,-95,-45,-62,-60,28624
973,Dottler,-18,-76,-35,-20,-17,-75,13639
974,Orbeetle,-8,-66,-5,10,13,-15,4939
975,Nickit,-28,-83,-87,-23,-55,-55,21821
976,Thievul,2,-53,-57,17,-15,-15,6801
977,Gossifleur,-28,-71,-55,-30,-47,-95,20984
978,Eldegoss,-8,-61,-25,10,13,-45,6704
979,Wooloo,-26,-71,-60,-30,-62,-57,17310
980,Dubwool,4,-31,-15,-10,-17,-17,1880
981,Chewtle,-18,-47,-65,-32,-69,-61,16264
982,Drednaw,22,4,-25,-22,-39,-31,4091
983,Yamper,-9,-66,-65,-30,-57,-79,19052
984,Boltund,1,-21,-55,20,-47,16,6332
985,Rolycoly,-38,-71,-65,-30,-57,-75,20484
986,Carkol,12,-51,-25,-10,-37,-55,7864
987,Coalossal,42,-31,5,10,-17,-75,8764
988,Applin,-28,-71,-35,-30,-67,-85,19664
989,Flapple,2,-1,-35,25,-47,-35,5289
990,Appletun,42,-26,-35,30,-27,-75,10919
991,Silicobra,-16,-54,-40,-35,-57,-59,12727
992,Sandaconda,4,-4,10,-5,-37,-34,2682
993,Cramorant,2,-26,-60,15,-12,-20,5049
994,Arrokuda,-27,-48,-75,-30,-77,-39,17008
995,Barraskewda,-7,12,-55,-10,-57,31,7528
996,Toxel,-28,-73,-80,-16,-72,-65,22178
997,Toxtricity,7,-13,-45,44,-37,-30,6448
998,Sizzlipede,-18,-46,-70,-20,-57,-60,14589
999,Centiskorch,32,4,-50,20,-17,-40,5829
1000,Clobbopus,-18,-43,-55,-20,-57,-73,14176
1001,Grapploct,12,7,-25,0,-27,-63,5516
1002,Sinistea,-28,-66,-70,4,-53,-55,15890
1003,Polteageist,-8,-46,-50,64,7,-35,10050
1004,Hatenna,-26,-81,-70,-14,-54,-66,19605
1005,Hattrem,-11,-71,-50,16,-34,-56,12210
1006,Hatterene,-11,-21,-20,66,-4,-76,11110
1007,Impidimp,-23,-66,-85,-15,-67,-55,19849
1008,Morgrem,-3,-51,-70,5,-52,-35,11464
1009,Grimmsnarl,27,9,-50,25,-32,-45,6984
1010,Obstagoon,25,-21,-14,-10,-26,-10,2138
1011,Perrserker,2,-1,-15,-20,-47,-55,5864
1012,Cursola,-8,-16,-65,75,23,-75,16324
1013,Sirfetch'd,-6,24,-20,-2,-25,-40,3241
1014,Mr. Rime,12,-26,-40,40,-7,-35,5294
1015,Runerigus,-10,-16,30,-20,-2,-75,7285
1016,Milcery,-23,-71,-75,-20,-46,-71,18752
1017,Alcremie,-3,-51,-40,40,14,-41,7687
1018,Falinks,-3,-11,-15,0,-47,-30,3464
1019,Pincurchin,-20,-10,-20,21,-22,-90,9925
1020,Snom,-38,-86,-80,-25,-77,-85,29019
1021,Frosmoth,2,-46,-55,55,-17,-40,10059
1022,Stonjourner,32,14,20,-50,-87,-35,12914
1023,Eiscue (Ice Face),7,-31,-5,-5,-17,-55,4374
1024,Eiscue (Noice Face),7,-31,-45,-5,-57,25,6934
1025,Indeedee (Male),-8,-46,-60,35,-12,-10,7249
1026,Indeedee (Female),2,-56,-50,25,-2,-20,6669
1027,Morpeko,-10,-16,-57,0,-49,-8,6070
1028,Cufant,4,-31,-66,-30,-58,-65,13822
1029,Copperajah,54,19,-46,10,-38,-75,12562
1030,Dracozolt,22,-11,-25,10,-37,-30,3599
1031,Arctozolt,22,-11,-25,20,-27,-50,4859
1032,Dracovish,22,-21,-15,0,-27,-30,2779
1033,Arctovish,22,-21,-15,10,-17,-50,4039
1034,Duraludon,2,-16,0,50,-57,-20,6409
1035,Dreepy,-40,-51,-85,-30,-77,-23,18784
1036,Drakloak,0,-31,-65,-10,-57,-3,8544
1037,Dragapult,20,9,-40,30,-32,37,5374
1038,Zacian (Hero of Many Battles),24,9,0,10,8,33,1910
1039,Zacian (Crowned Sword),24,39,0,10,8,43,4110
1040,Zamazenta (Hero of Many Battles),24,9,0,10,8,33,1910
1041,Zamazenta (Crowned Shield),24,9,25,10,33,23,3000
1042,Eternatus,72,-26,-20,75,-12,25,12654
1043,Eternatus (Eternamax Eternatus),187,4,135,55,143,25,77309
1044,Kubfu,-8,-21,-55,-17,-57,-33,8157
1045,Urshifu,32,19,-15,-7,-47,-8,3932
1046,Zarude,37,9,-10,0,-12,0,1694
1047,Regieleki,12,-11,-65,30,-57,95,17664
1048,Regidrago,132,-11,-65,30,-57,-25,26544
1049,Glastrier,32,34,15,-5,3,-75,8064
1050,Spectrier,32,-46,-55,75,-27,25,13144
1051,Calyrex,32,-31,-35,10,-27,-25,4664
1052,Calyrex (Ice Rider Calyrex),32,54,35,15,23,-55,8944
1053,Calyrex (Shadow Rider Calyrex),32,-26,-35,95,-7,45,14024
1054,Wyrdeer,35,-6,-43,35,-32,-40,6959
1055,Kleavor,2,24,-20,-25,-37,-20,3374
1056,Ursaluna,62,29,-10,-25,-27,-55,9164
1057,Basculegion (Male),52,1,-50,10,-32,-27,7058
1058,Basculegion (Female),52,-19,-50,30,-32,-27,8218
1059,Sneasler,12,19,-55,-30,-27,15,5384
1060,Overqwil,17,4,-20,-5,-42,-20,2894
1061,Enamorus (Incarnate Forme),6,4,-45,65,-27,1,7032
1062,Enamorus (Therian Forme),6,4,-5,65,-7,-59,7832
1063,Sprigatito,-28,-50,-61,-25,-62,-40,13074
1064,Floragato,-7,-31,-52,-10,-44,-22,6234
1065,Meowscarada,8,-1,-45,11,-37,18,3904
1066,Fuecoco,-1,-66,-56,-7,-67,-69,16792
1067,Crocalor,13,-56,-37,20,-49,-56,10611
1068,Skeledirge,36,-36,-15,40,-32,-39,6962
1069,Quaxly,-13,-46,-70,-20,-62,-55,14454
1070,Quaxwell,2,-26,-50,-5,-47,-40,7014
1071,Quaquaval,17,9,-35,15,-32,-20,3244
1072,Lechonk,-14,-66,-75,-35,-62,-70,20146
1073,Oinkologne (Male),42,-11,-40,-11,-27,-40,5935
1074,Oinkologne (Female),47,-21,-45,-11,-17,-40,6685
1075,Tarountula,-33,-70,-70,-41,-67,-85,24284
1076,Spidops,-8,-32,-23,-18,-21,-70,7282
1077,Nymble,-35,-65,-75,-49,-82,-60,23800
1078,Lokix,3,-9,-37,-18,-52,-13,4656
1079,Pawmi,-23,-61,-95,-30,-82,-45,22924
1080,Pawmo,-8,-36,-75,-20,-67,-20,12274
1081,Pawmot,2,4,-45,0,-47,0,4254
1082,Tandemaus,-18,-61,-70,-30,-62,-30,14589
1083,Maushold,6,-36,-45,-5,-32,6,4442
1084,Fidough,-31,-56,-45,-40,-52,-40,12026
1085,Dachsbun,-11,-31,0,-20,-27,-10,2311
1086,Smoliv,-27,-76,-70,-12,-56,-75,20310
1087,Dolliv,-16,-58,-55,8,-29,-72,12734
1088,Arboliva,10,-42,-25,55,2,-66,9874
1089,Squawkabilly,14,-15,-64,-25,-56,-13,8447
1090,Nacli,-13,-56,-40,-35,-72,-80,17714
1091,Naclstack,-8,-51,-15,-35,-42,-70,10779
1092,Garganacl,32,-11,15,-25,-17,-70,7184
1093,Charcadet,-28,-61,-75,-20,-67,-70,19919
1094,Armarouge,17,-51,-15,55,-27,-30,7769
1095,Ceruledge,7,14,-35,-10,-7,-20,2019
1096,Tadbulb,-7,-80,-74,-11,-72,-60,20830
1097,Bellibolt,41,-47,-24,33,-24,-60,9731
1098,Wattrel,-28,-71,-80,-15,-67,-35,18164
1099,Kilowattrel,2,-41,-55,35,-47,20,8544
1100,Maschiff,-8,-33,-55,-30,-56,-54,11130
1101,Mabosstiff,12,9,-25,-10,-37,-20,2719
1102,Shroodle,-28,-46,-80,-30,-72,-30,16284
1103,Grafaiai,-5,-16,-50,10,-35,5,4131
1104,Bramblin,-28,-46,-85,-25,-72,-45,17959
1105,Brambleghast,-13,4,-45,10,-37,-15,3904
1106,Toedscool,-28,-71,-80,-20,-7,-35,13899
1107,Toedscruel,12,-41,-50,10,13,-5,4619
1108,Klawf,2,-11,0,-35,-52,-30,4954
1109,Capsakid,-18,-49,-75,-8,-67,-55,15928
1110,Scovillain,-3,-3,-50,38,-42,-30,6626
1111,Rellor,-27,-61,-55,-39,-49,-75,17022
1112,Rabsca,7,-61,-30,45,-7,-60,10344
1113,Flittle,-38,-76,-85,-15,-77,-30,21499
1114,Espathra,27,-51,-55,31,-47,0,9525
1115,Tinkatink,-18,-66,-70,-35,-43,-47,14863
1116,Tinkatuff,-3,-56,-60,-25,-25,-27,8724
1117,Tinkaton,17,-36,-38,0,-2,-11,3154
1118,Wiglett,-58,-56,-90,-35,-82,-10,22649
1119,Wugtrio,-33,-11,-65,-20,-37,15,7429
1120,Bombirdier,2,-8,-30,-10,-22,-23,2081
1121,Finizen,2,-66,-75,-25,-67,-30,15999
1122,Palafin,32,-41,-43,-17,-45,-5,6893
1123,Palafin,32,49,-18,36,-20,-5,5470
1124,Varoom,-23,-41,-52,-40,-62,-58,13722
1125,Revavroom,12,8,-25,-16,-40,-15,2914
1126,Cyclizar,2,-16,-50,15,-42,16,5005
1127,Orthworm,2,-26,30,-10,-52,-40,5984
1128,Glimmet,-20,-76,-73,35,-47,-45,16964
1129,Glimmora,15,-56,-25,60,-26,-19,8623
1130,Greavard,-18,-50,-55,-40,-52,-71,15194
1131,Houndstone,4,-10,-15,-20,-10,-37,2210
1132,Flamigo,14,4,-41,5,-43,-15,3992
1133,Cetoddle,40,-43,-70,-40,-67,-62,18282
1134,Cetitan,102,2,-50,-25,-52,-32,17261
1135,Veluza,22,-9,-42,8,-42,-35,5382
1136,Dondozo,82,-11,0,-5,-42,-70,13534
1137,Tatsugiri,0,-61,-55,50,-12,-23,9919
1138,Annihilape,42,4,-35,-20,-17,-15,3919
1139,Clodsire,62,-36,-55,-25,-7,-85,16064
1140,Farigiraf,52,-21,-45,40,-37,-45,10164
1141,Dudunsparce,57,-11,-35,15,-32,-50,8344
1142,Kingambit,32,24,5,-10,-22,-55,5234
1143,Great Tusk,47,20,16,-17,-54,-18,6394
1144,Scream Tail,47,-46,-16,-5,8,6,4706
1145,Brute Bonnet,43,16,-16,9,-8,-50,5006
1146,Flutter Mane,-13,-56,-60,65,28,30,12814
1147,Slither Wing,17,24,-36,15,-2,-24,2966
1148,Sandy Shocks,17,-30,-18,51,-22,-4,4614
1149,Iron Treads,22,1,5,2,-37,1,1884
1150,Iron Bundle,-12,-31,-1,54,-47,31,7192
1151,Iron Hands,86,29,-7,-20,-39,-55,13232
1152,Iron Jugulis,26,-31,-29,52,-27,3,5920
1153,Iron Moth,12,-41,-55,70,3,5,9784
1154,Iron Thorns,32,23,-5,0,-23,-33,3196
1155,Frigibax,-3,-36,-70,-35,-62,-50,13774
1156,Arctibax,22,-16,-49,-25,-42,-43,7379
1157,Baxcalibur,47,34,-23,5,-21,-18,4684
1158,Gimmighoul (Chest Form),-23,-81,-45,5,-37,-95,19534
1159,Gimmighoul (Roaming Form),-23,-81,-90,5,-62,-25,19684
1160,Gholdengo,19,-51,-20,63,-16,-21,8028
1161,Wo-Chien,17,-26,-15,25,28,-35,3824
1162,Chien-Pao,12,9,-35,20,-42,30,4514
1163,Ting-Lu,87,-1,10,-15,-27,-60,12224
1164,Chi-Yu,-13,-31,-35,65,13,-5,6774
1165,Roaring Moon,37,28,-44,-15,-6,14,4546
1166,Iron Valiant,6,19,-25,50,-47,11,5852
1167,Koraidon,32,24,0,15,-7,30,2774
1168,Miraidon,32,-26,-15,65,8,30,7114
