Bryce Taylor vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
964,Sobble,-27,-68,-69,4,-58,-33,14583
965,Drizzile,-12,-48,-54,29,-43,-13,8223
966,Inteleon,-7,-23,-44,59,-33,17,7373
967,Skwovet,-7,-53,-54,-31,-63,-78,16788
968,Greedent,43,-13,-14,-11,-23,-83,9753
969,Rookidee,-39,-61,-74,-33,-63,-46,17892
970,Corvisquire,-9,-41,-54,-23,-43,-26,7732
971,Corviknight,21,-21,-4,-13,-13,-36,2532
972,Blipbug,-52,-88,-89,-41,-53,-58,26223
973,Dottler,-27,-73,-29,-16,-8,-73,12548
974,Orbeetle,-17,-63,1,14,22,-13,5108
975,Nickit,-37,-80,-81,-19,-46,-53,19616
976,Thievul,-7,-50,-51,21,-6,-13,5796
977,Gossifleur,-37,-68,-49,-26,-38,-93,19163
978,Eldegoss,-17,-58,-19,14,22,-43,6543
979,Wooloo,-35,-68,-54,-26,-53,-55,15275
980,Dubwool,-5,-28,-9,-6,-8,-15,1215
981,Chewtle,-27,-44,-59,-28,-60,-59,14011
982,Drednaw,13,7,-19,-18,-30,-29,2644
983,Yamper,-18,-63,-59,-26,-48,-77,16683
984,Boltund,-8,-18,-49,24,-38,18,5133
985,Rolycoly,-47,-68,-59,-26,-48,-73,18623
986,Carkol,3,-48,-19,-6,-28,-53,6303
987,Coalossal,33,-28,11,14,-8,-73,7583
988,Applin,-37,-68,-29,-26,-58,-83,17763
989,Flapple,-7,2,-29,29,-38,-33,4268
990,Appletun,33,-23,-29,34,-18,-73,9268
991,Silicobra,-25,-51,-34,-31,-48,-57,10896
992,Sandaconda,-5,-1,16,-1,-28,-32,2091
993,Cramorant,-7,-23,-54,19,-3,-18,4188
994,Arrokuda,-36,-45,-69,-26,-68,-37,14751
995,Barraskewda,-16,15,-49,-6,-48,33,6311
996,Toxel,-37,-70,-74,-12,-63,-63,19827
997,Toxtricity,-2,-10,-39,48,-28,-28,5497
998,Sizzlipede,-27,-43,-64,-16,-48,-58,12598
999,Centiskorch,23,7,-44,24,-8,-38,4598
1000,Clobbopus,-27,-40,-49,-16,-48,-71,12331
1001,Grapploct,3,10,-19,4,-18,-61,4531
1002,Sinistea,-37,-63,-64,8,-44,-53,14243
1003,Polteageist,-17,-43,-44,68,16,-33,10043
1004,Hatenna,-35,-78,-64,-10,-45,-64,17626
1005,Hattrem,-20,-68,-44,20,-25,-54,10901
1006,Hatterene,-20,-18,-14,70,5,-74,11321
1007,Impidimp,-32,-63,-79,-11,-58,-53,17528
1008,Morgrem,-12,-48,-64,9,-43,-33,9563
1009,Grimmsnarl,18,12,-44,29,-23,-43,5623
1010,Obstagoon,16,-18,-8,-6,-17,-8,1033
1011,Perrserker,-7,2,-9,-16,-38,-53,4643
1012,Cursola,-17,-13,-59,79,32,-73,16533
1013,Sirfetch'd,-15,27,-14,2,-16,-38,2854
1014,Mr. Rime,3,-23,-34,44,2,-33,4723
1015,Runerigus,-19,-13,36,-16,7,-73,7460
1016,Milcery,-32,-68,-69,-16,-37,-69,16795
1017,Alcremie,-12,-48,-34,44,23,-39,7590
1018,Falinks,-12,-8,-9,4,-38,-28,2533
1019,Pincurchin,-29,-7,-14,25,-13,-88,9624
1020,Snom,-47,-83,-74,-21,-68,-83,26528
1021,Frosmoth,-7,-43,-49,59,-8,-38,9288
1022,Stonjourner,23,17,26,-46,-78,-33,10783
1023,Eiscue (Ice Face),-2,-28,1,-1,-8,-53,3663
1024,Eiscue (Noice Face),-2,-28,-39,-1,-48,27,5343
1025,Indeedee (Male),-17,-43,-54,39,-3,-8,6648
1026,Indeedee (Female),-7,-53,-44,29,7,-18,6008
1027,Morpeko,-19,-13,-51,4,-40,-6,4783
1028,Cufant,-5,-28,-60,-26,-49,-63,11455
1029,Copperajah,45,22,-40,14,-29,-73,10475
1030,Dracozolt,13,-8,-19,14,-28,-28,2358
1031,Arctozolt,13,-8,-19,24,-18,-48,3798
1032,Dracovish,13,-18,-9,4,-18,-28,1698
1033,Arctovish,13,-18,-9,14,-8,-48,3138
1034,Duraludon,-7,-13,6,54,-48,-18,5798
1035,Dreepy,-49,-48,-79,-26,-68,-21,16687
1036,Drakloak,-9,-28,-59,-6,-48,-1,6687
1037,Dragapult,11,12,-34,34,-23,39,4627
1038,Zacian (Hero of Many Battles),15,12,6,14,17,35,2115
1039,Zacian (Crowned Sword),15,42,6,14,17,45,4535
1040,Zamazenta (Hero of Many Battles),15,12,6,14,17,35,2115
1041,Zamazenta (Crowned Shield),15,12,31,14,42,25,3915
1042,Eternatus,63,-23,-14,79,-3,27,11673
1043,Eternatus (Eternamax Eternatus),178,7,141,59,152,27,78928
1044,Kubfu,-17,-18,-49,-13,-48,-31,6448
1045,Urshifu,23,22,-9,-3,-38,-6,2583
1046,Zarude,28,12,-4,4,-3,2,973
1047,Regieleki,3,-8,-59,34,-48,97,16423
1048,Regidrago,123,-8,-59,34,-48,-23,22663
1049,Glastrier,23,37,21,-1,12,-73,7813
1050,Spectrier,23,-43,-49,79,-18,27,12073
1051,Calyrex,23,-28,-29,14,-18,-23,3203
1052,Calyrex (Ice Rider Calyrex),23,57,41,19,32,-53,9653
1053,Calyrex (Shadow Rider Calyrex),23,-23,-29,99,2,47,13913
1054,Wyrdeer,26,-3,-37,39,-23,-38,5548
1055,Kleavor,-7,27,-14,-21,-28,-18,2523
1056,Ursaluna,53,32,-4,-21,-18,-53,7423
1057,Basculegion (Male),43,4,-44,14,-23,-25,5151
1058,Basculegion (Female),43,-16,-44,34,-23,-25,6351
1059,Sneasler,3,22,-49,-26,-18,17,4183
1060,Overqwil,8,7,-14,-1,-33,-18,1723
1061,Enamorus (Incarnate Forme),-3,7,-39,69,-18,3,6673
1062,Enamorus (Therian Forme),-3,7,1,69,2,-57,8073
1063,Sprigatito,-37,-47,-55,-21,-53,-38,11297
1064,Floragato,-16,-28,-46,-6,-35,-20,4817
1065,Meowscarada,-1,2,-39,15,-28,20,2935
1066,Fuecoco,-10,-63,-50,-3,-58,-67,14431
1067,Crocalor,4,-53,-31,24,-40,-54,8878
1068,Skeledirge,27,-33,-9,44,-23,-37,5733
1069,Quaxly,-22,-43,-64,-16,-53,-53,12303
1070,Quaxwell,-7,-23,-44,-1,-38,-38,5403
1071,Quaquaval,8,12,-29,19,-23,-18,2263
1072,Lechonk,-23,-63,-69,-31,-53,-68,17653
1073,Oinkologne (Male),33,-8,-34,-7,-18,-38,4126
1074,Oinkologne (Female),38,-18,-39,-7,-8,-38,4846
1075,Tarountula,-42,-67,-64,-37,-58,-83,21971
1076,Spidops,-17,-29,-17,-14,-12,-68,6383
1077,Nymble,-44,-62,-69,-45,-73,-58,21259
1078,Lokix,-6,-6,-31,-14,-43,-11,3199
1079,Pawmi,-32,-58,-89,-26,-73,-43,20163
1080,Pawmo,-17,-33,-69,-16,-58,-18,10083
1081,Pawmot,-7,7,-39,4,-38,2,3083
1082,Tandemaus,-27,-58,-64,-26,-53,-28,12458
1083,Maushold,-3,-33,-39,-1,-23,8,3213
1084,Fidough,-40,-53,-39,-36,-43,-38,10519
1085,Dachsbun,-20,-28,6,-16,-18,-8,1864
1086,Smoliv,-36,-73,-64,-8,-47,-73,18323
1087,Dolliv,-25,-55,-49,12,-20,-70,11495
1088,Arboliva,1,-39,-19,59,11,-64,9581
1089,Squawkabilly,5,-12,-58,-21,-47,-11,6304
1090,Nacli,-22,-53,-34,-31,-63,-78,15463
1091,Naclstack,-17,-48,-9,-31,-33,-68,9348
1092,Garganacl,23,-8,21,-21,-8,-68,6163
1093,Charcadet,-37,-58,-69,-16,-58,-68,17738
1094,Armarouge,8,-48,-9,59,-18,-28,7038
1095,Ceruledge,-2,17,-29,-6,2,-18,1498
1096,Tadbulb,-16,-77,-68,-7,-63,-58,18191
1097,Bellibolt,32,-44,-18,37,-15,-58,8242
1098,Wattrel,-37,-68,-74,-11,-58,-33,16043
1099,Kilowattrel,-7,-38,-49,39,-38,22,7343
1100,Maschiff,-17,-30,-49,-26,-47,-52,9179
1101,Mabosstiff,3,12,-19,-6,-28,-18,1658
1102,Shroodle,-37,-43,-74,-26,-63,-28,14123
1103,Grafaiai,-14,-13,-44,14,-26,7,3222
1104,Bramblin,-37,-43,-79,-21,-63,-43,15718
1105,Brambleghast,-22,7,-39,14,-28,-13,3203
1106,Toedscool,-37,-68,-74,-16,2,-33,12818
1107,Toedscruel,3,-38,-44,14,22,-3,4078
1108,Klawf,-7,-8,6,-31,-43,-28,3743
1109,Capsakid,-27,-46,-69,-4,-58,-53,13795
1110,Scovillain,-12,0,-44,42,-33,-28,5717
1111,Rellor,-36,-58,-49,-35,-40,-73,15215
1112,Rabsca,-2,-58,-24,49,2,-58,9713
1113,Flittle,-47,-73,-79,-11,-68,-28,19308
1114,Espathra,18,-48,-49,35,-38,2,7702
1115,Tinkatink,-27,-63,-64,-31,-34,-45,12936
1116,Tinkatuff,-12,-53,-54,-21,-16,-25,7191
1117,Tinkaton,8,-33,-32,4,7,-9,2323
1118,Wiglett,-67,-53,-84,-31,-73,-8,20708
1119,Wugtrio,-42,-8,-59,-16,-28,17,6638
1120,Bombirdier,-7,-5,-24,-6,-13,-21,1296
1121,Finizen,-7,-63,-69,-21,-58,-28,13368
1122,Palafin,23,-38,-37,-13,-36,-3,4816
1123,Palafin,23,52,-12,40,-11,-3,5107
1124,Varoom,-32,-38,-46,-36,-53,-56,11825
1125,Revavroom,3,11,-19,-12,-31,-13,1765
1126,Cyclizar,-7,-13,-44,19,-33,18,3928
1127,Orthworm,-7,-23,36,-6,-43,-38,5203
1128,Glimmet,-29,-73,-67,39,-38,-43,15473
1129,Glimmora,6,-53,-19,64,-17,-17,7880
1130,Greavard,-27,-47,-49,-36,-43,-69,13245
1131,Houndstone,-5,-7,-9,-16,-1,-35,1637
1132,Flamigo,5,7,-35,9,-34,-13,2705
1133,Cetoddle,31,-40,-64,-36,-58,-60,14917
1134,Cetitan,93,5,-44,-21,-43,-30,13800
1135,Veluza,13,-6,-36,12,-33,-33,3823
1136,Dondozo,73,-8,6,-1,-33,-68,11143
1137,Tatsugiri,-9,-58,-49,54,-3,-21,9212
1138,Annihilape,33,7,-29,-16,-8,-13,2468
1139,Clodsire,53,-33,-49,-21,2,-83,13633
1140,Farigiraf,43,-18,-39,44,-28,-43,8263
1141,Dudunsparce,48,-8,-29,19,-23,-48,6403
1142,Kingambit,23,27,11,-6,-13,-53,4393
1143,Great Tusk,38,23,22,-13,-45,-16,4907
1144,Scream Tail,38,-43,-10,-1,17,8,3747
1145,Brute Bonnet,34,19,-10,13,1,-48,4091
1146,Flutter Mane,-22,-53,-54,69,37,32,13363
1147,Slither Wing,8,27,-30,19,7,-22,2587
1148,Sandy Shocks,8,-27,-12,55,-13,-2,4135
1149,Iron Treads,13,4,11,6,-28,3,1135
1150,Iron Bundle,-21,-28,5,58,-38,33,7147
1151,Iron Hands,77,32,-1,-16,-30,-53,10919
1152,Iron Jugulis,17,-28,-23,56,-18,5,5087
1153,Iron Moth,3,-38,-49,74,12,7,9523
1154,Iron Thorns,23,26,1,4,-14,-31,2379
1155,Frigibax,-12,-33,-64,-31,-53,-48,11403
1156,Arctibax,13,-13,-43,-21,-33,-41,5398
1157,Baxcalibur,38,37,-17,9,-12,-16,3583
1158,Gimmighoul (Chest Form),-32,-78,-39,9,-28,-93,18143
1159,Gimmighoul (Roaming Form),-32,-78,-84,9,-53,-23,17583
1160,Gholdengo,10,-48,-14,67,-7,-19,7499
1161,Wo-Chien,8,-23,-9,29,37,-33,3973
1162,Chien-Pao,3,12,-29,24,-33,32,3683
1163,Ting-Lu,78,2,16,-11,-18,-58,10153
1164,Chi-Yu,-22,-28,-29,69,22,-3,7363
1165,Roaring Moon,28,31,-38,-11,3,16,3575
1166,Iron Valiant,-3,22,-19,54,-38,13,5383
1167,Koraidon,23,27,6,19,2,32,2683
1168,Miraidon,23,-23,-9,69,17,32,7213
