Matthew Werfel vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
967,Skwovet,-4,-51,-42,-31,-68,-80,16366
968,Greedent,46,-11,-2,-11,-28,-85,10371
969,Rookidee,-36,-59,-62,-33,-68,-48,16638
970,Corvisquire,-6,-39,-42,-23,-48,-28,6938
971,Corviknight,24,-19,8,-13,-18,-38,2938
972,Blipbug,-49,-86,-77,-41,-58,-60,24371
973,Dottler,-24,-71,-17,-16,-13,-75,11956
974,Orbeetle,-14,-61,13,14,17,-15,4796
975,Nickit,-34,-78,-69,-19,-51,-55,17988
976,Thievul,-4,-48,-39,21,-11,-15,4628
977,Gossifleur,-34,-66,-37,-26,-43,-95,18431
978,Eldegoss,-14,-56,-7,14,17,-45,5891
979,Wooloo,-32,-66,-42,-26,-58,-57,14433
980,Dubwool,-2,-26,3,-6,-13,-17,1183
981,Chewtle,-24,-42,-47,-28,-65,-61,13279
982,Drednaw,16,9,-7,-18,-35,-31,2896
983,Yamper,-15,-61,-47,-26,-53,-79,15881
984,Boltund,-5,-16,-37,24,-43,16,4331
985,Rolycoly,-44,-66,-47,-26,-53,-75,17611
986,Carkol,6,-46,-7,-6,-33,-55,6351
987,Coalossal,36,-26,23,14,-13,-75,8491
988,Applin,-34,-66,-17,-26,-63,-85,17671
989,Flapple,-4,4,-17,29,-43,-35,4236
990,Appletun,36,-21,-17,34,-23,-75,9336
991,Silicobra,-22,-49,-22,-31,-53,-59,10620
992,Sandaconda,-2,1,28,-1,-33,-34,3035
993,Cramorant,-4,-21,-42,19,-8,-20,3046
994,Arrokuda,-33,-43,-57,-26,-73,-39,13713
995,Barraskewda,-13,17,-37,-6,-53,31,5633
996,Toxel,-34,-68,-62,-12,-68,-65,18617
997,Toxtricity,1,-8,-27,48,-33,-30,5087
998,Sizzlipede,-24,-41,-52,-16,-53,-60,11626
999,Centiskorch,26,9,-32,24,-13,-40,4126
1000,Clobbopus,-24,-38,-37,-16,-53,-73,11783
1001,Grapploct,6,12,-7,4,-23,-63,4743
1002,Sinistea,-34,-61,-52,8,-49,-55,13071
1003,Polteageist,-14,-41,-32,68,11,-35,8871
1004,Hatenna,-32,-76,-52,-10,-50,-66,16460
1005,Hattrem,-17,-66,-32,20,-30,-56,10105
1006,Hatterene,-17,-16,-2,70,0,-76,11225
1007,Impidimp,-29,-61,-67,-11,-63,-55,16166
1008,Morgrem,-9,-46,-52,9,-48,-35,8511
1009,Grimmsnarl,21,14,-32,29,-28,-45,5311
1010,Obstagoon,19,-16,4,-6,-22,-10,1253
1011,Perrserker,-4,4,3,-16,-43,-55,5171
1012,Cursola,-14,-11,-47,79,27,-75,15121
1013,Sirfetch'd,-12,29,-2,2,-21,-40,3034
1014,Mr. Rime,6,-21,-22,44,-3,-35,4131
1015,Runerigus,-16,-11,48,-16,2,-75,8566
1016,Milcery,-29,-66,-57,-16,-42,-71,15507
1017,Alcremie,-9,-46,-22,44,18,-41,6622
1018,Falinks,-9,-6,3,4,-43,-30,2891
1019,Pincurchin,-26,-5,-2,25,-18,-90,9754
1020,Snom,-44,-81,-62,-21,-73,-85,25336
1021,Frosmoth,-4,-41,-37,59,-13,-40,8316
1022,Stonjourner,26,19,38,-46,-83,-35,12711
1023,Eiscue (Ice Face),1,-26,13,-1,-13,-55,4041
1024,Eiscue (Noice Face),1,-26,-27,-1,-53,25,4841
1025,Indeedee (Male),-14,-41,-42,39,-8,-10,5326
1026,Indeedee (Female),-4,-51,-32,29,2,-20,4886
1027,Morpeko,-16,-11,-39,4,-45,-8,4003
1028,Cufant,-2,-26,-48,-26,-54,-65,10801
1029,Copperajah,48,24,-28,14,-34,-75,10641
1030,Dracozolt,16,-6,-7,14,-33,-30,2526
1031,Arctozolt,16,-6,-7,24,-23,-50,3946
1032,Dracovish,16,-16,3,4,-23,-30,1966
1033,Arctovish,16,-16,3,14,-13,-50,3386
1034,Duraludon,-4,-11,18,54,-53,-20,6586
1035,Dreepy,-46,-46,-67,-26,-73,-23,15255
1036,Drakloak,-6,-26,-47,-6,-53,-3,5775
1037,Dragapult,14,14,-22,34,-28,37,4185
1038,Zacian (Hero of Many Battles),18,14,18,14,12,33,2273
1039,Zacian (Crowned Sword),18,44,18,14,12,43,4773
1040,Zamazenta (Hero of Many Battles),18,14,18,14,12,33,2273
1041,Zamazenta (Crowned Shield),18,14,43,14,37,23,4463
1042,Eternatus,66,-21,-2,79,-8,25,11731
1043,Eternatus (Eternamax Eternatus),181,9,153,59,147,25,81966
1044,Kubfu,-14,-16,-37,-13,-53,-33,5888
1045,Urshifu,26,24,3,-3,-43,-8,3183
1046,Zarude,31,14,8,4,-8,0,1301
1047,Regieleki,6,-6,-47,34,-53,95,15271
1048,Regidrago,126,-6,-47,34,-53,-25,22711
1049,Glastrier,26,39,33,-1,7,-75,8961
1050,Spectrier,26,-41,-37,79,-23,25,11121
1051,Calyrex,26,-26,-17,14,-23,-25,2991
1052,Calyrex (Ice Rider Calyrex),26,59,53,19,27,-55,11081
1053,Calyrex (Shadow Rider Calyrex),26,-21,-17,99,-3,45,13241
1054,Wyrdeer,29,-1,-25,39,-28,-40,5372
1055,Kleavor,-4,29,-2,-21,-33,-20,2791
1056,Ursaluna,56,34,8,-21,-23,-55,8351
1057,Basculegion (Male),46,6,-32,14,-28,-27,4885
1058,Basculegion (Female),46,-14,-32,34,-28,-27,6005
1059,Sneasler,6,24,-37,-26,-23,15,3411
1060,Overqwil,11,9,-2,-1,-38,-20,2051
1061,Enamorus (Incarnate Forme),0,9,-27,69,-23,1,6101
1062,Enamorus (Therian Forme),0,9,13,69,-3,-59,8501
1063,Sprigatito,-34,-45,-43,-21,-58,-40,10435
1064,Floragato,-13,-26,-34,-6,-40,-22,4121
1065,Meowscarada,2,4,-27,15,-33,18,2387
1066,Fuecoco,-7,-61,-38,-3,-63,-69,13953
1067,Crocalor,7,-51,-19,24,-45,-56,8748
1068,Skeledirge,30,-31,3,44,-28,-39,6111
1069,Quaxly,-19,-41,-52,-16,-58,-55,11391
1070,Quaxwell,-4,-21,-32,-1,-43,-40,4931
1071,Quaquaval,11,14,-17,19,-28,-20,2151
1072,Lechonk,-20,-61,-57,-31,-58,-70,16595
1073,Oinkologne (Male),36,-6,-22,-7,-23,-40,3994
1074,Oinkologne (Female),41,-16,-27,-7,-13,-40,4484
1075,Tarountula,-39,-65,-52,-37,-63,-85,21013
1076,Spidops,-14,-27,-5,-14,-17,-70,6335
1077,Nymble,-41,-60,-57,-45,-78,-60,20239
1078,Lokix,-3,-4,-19,-14,-48,-13,3055
1079,Pawmi,-29,-56,-77,-26,-78,-45,18691
1080,Pawmo,-14,-31,-57,-16,-63,-20,9031
1081,Pawmot,-4,9,-27,4,-43,0,2691
1082,Tandemaus,-24,-56,-52,-26,-58,-30,11356
1083,Maushold,0,-31,-27,-1,-28,6,2511
1084,Fidough,-37,-51,-27,-36,-48,-40,9899
1085,Dachsbun,-17,-26,18,-16,-23,-10,2174
1086,Smoliv,-33,-71,-52,-8,-52,-75,17227
1087,Dolliv,-22,-53,-37,12,-25,-72,10615
1088,Arboliva,4,-37,-7,59,6,-66,9307
1089,Squawkabilly,8,-10,-46,-21,-52,-13,5594
1090,Nacli,-19,-51,-22,-31,-68,-80,15431
1091,Naclstack,-14,-46,3,-31,-38,-70,9626
1092,Garganacl,26,-6,33,-21,-13,-70,7311
1093,Charcadet,-34,-56,-57,-16,-63,-70,16666
1094,Armarouge,11,-46,3,59,-23,-30,7156
1095,Ceruledge,1,19,-17,-6,-3,-20,1096
1096,Tadbulb,-13,-75,-56,-7,-68,-60,17203
1097,Bellibolt,35,-42,-6,37,-20,-60,8394
1098,Wattrel,-34,-66,-62,-11,-63,-35,14671
1099,Kilowattrel,-4,-36,-37,39,-43,20,6451
1100,Maschiff,-14,-28,-37,-26,-52,-54,8645
1101,Mabosstiff,6,14,-7,-6,-33,-20,1806
1102,Shroodle,-34,-41,-62,-26,-68,-30,12881
1103,Grafaiai,-11,-11,-32,14,-31,5,2448
1104,Bramblin,-34,-41,-67,-21,-68,-45,14416
1105,Brambleghast,-19,9,-27,14,-33,-15,2681
1106,Toedscool,-34,-66,-62,-16,-3,-35,10846
1107,Toedscruel,6,-36,-32,14,17,-5,2866
1108,Klawf,-4,-6,18,-31,-48,-30,4541
1109,Capsakid,-24,-44,-57,-4,-63,-55,12771
1110,Scovillain,-9,2,-32,42,-38,-30,5217
1111,Rellor,-33,-56,-37,-35,-45,-75,14469
1112,Rabsca,1,-56,-12,49,-3,-60,9291
1113,Flittle,-44,-71,-67,-11,-73,-30,17816
1114,Espathra,21,-46,-37,35,-43,0,7000
1115,Tinkatink,-24,-61,-52,-31,-39,-47,11692
1116,Tinkatuff,-9,-51,-42,-21,-21,-27,6057
1117,Tinkaton,11,-31,-20,4,2,-11,1623
1118,Wiglett,-64,-51,-72,-31,-78,-10,19026
1119,Wugtrio,-39,-6,-47,-16,-33,15,5336
1120,Bombirdier,-4,-3,-12,-6,-18,-23,1058
1121,Finizen,-4,-61,-57,-21,-63,-30,12296
1122,Palafin,26,-36,-25,-13,-41,-5,4472
1123,Palafin,26,54,0,40,-16,-5,5473
1124,Varoom,-29,-36,-34,-36,-58,-58,11317
1125,Revavroom,6,13,-7,-12,-36,-15,1919
1126,Cyclizar,-4,-11,-32,19,-38,16,3222
1127,Orthworm,-4,-21,48,-6,-48,-40,6701
1128,Glimmet,-26,-71,-55,39,-43,-45,14137
1129,Glimmora,9,-51,-7,64,-22,-19,7672
1130,Greavard,-24,-45,-37,-36,-48,-71,12611
1131,Houndstone,-2,-5,3,-16,-6,-37,1699
1132,Flamigo,8,9,-23,9,-39,-15,2501
1133,Cetoddle,34,-38,-52,-36,-63,-62,14413
1134,Cetitan,96,7,-32,-21,-48,-32,14058
1135,Veluza,16,-4,-24,12,-38,-35,3661
1136,Dondozo,76,-6,18,-1,-38,-70,12481
1137,Tatsugiri,-6,-56,-37,54,-8,-23,8050
1138,Annihilape,36,9,-17,-16,-13,-15,2316
1139,Clodsire,56,-31,-37,-21,-3,-85,13141
1140,Farigiraf,46,-16,-27,44,-33,-45,8151
1141,Dudunsparce,51,-6,-17,19,-28,-50,6571
1142,Kingambit,26,29,23,-6,-18,-55,5431
1143,Great Tusk,41,25,34,-13,-50,-18,6455
1144,Scream Tail,41,-41,2,-1,12,6,3547
1145,Brute Bonnet,37,21,2,13,-4,-50,4499
1146,Flutter Mane,-19,-51,-42,69,32,30,11411
1147,Slither Wing,11,29,-18,19,2,-24,2227
1148,Sandy Shocks,11,-25,0,55,-18,-4,4111
1149,Iron Treads,16,6,23,6,-33,1,1947
1150,Iron Bundle,-18,-26,17,58,-43,31,7463
1151,Iron Hands,80,34,11,-16,-35,-55,12183
1152,Iron Jugulis,20,-26,-11,56,-23,3,4871
1153,Iron Moth,6,-36,-37,74,7,5,8251
1154,Iron Thorns,26,28,13,4,-19,-33,3095
1155,Frigibax,-9,-31,-52,-31,-58,-50,10571
1156,Arctibax,16,-11,-31,-21,-38,-43,5072
1157,Baxcalibur,41,39,-5,9,-17,-18,3921
1158,Gimmighoul (Chest Form),-29,-76,-27,9,-33,-95,17541
1159,Gimmighoul (Roaming Form),-29,-76,-72,9,-58,-25,15871
1160,Gholdengo,13,-46,-2,67,-12,-21,7363
1161,Wo-Chien,11,-21,3,29,32,-35,3661
1162,Chien-Pao,6,14,-17,24,-38,30,3441
1163,Ting-Lu,81,4,28,-11,-23,-60,11611
1164,Chi-Yu,-19,-26,-17,69,17,-5,6401
1165,Roaring Moon,31,33,-26,-11,-2,14,3047
1166,Iron Valiant,0,24,-7,54,-43,11,5511
1167,Koraidon,26,29,18,19,-3,30,3111
1168,Miraidon,26,-21,3,69,12,30,6931
