Julie Jackson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
979,Wooloo,-47,-57,-30,-25,-40,-49,10984
980,Dubwool,-17,-17,15,-5,5,-9,934
981,Chewtle,-39,-33,-35,-27,-47,-53,9582
982,Drednaw,1,18,5,-17,-17,-23,1457
983,Yamper,-30,-52,-35,-25,-35,-71,11720
984,Boltund,-20,-7,-25,25,-25,24,2900
985,Rolycoly,-59,-57,-35,-25,-35,-67,14294
986,Carkol,-9,-37,5,-5,-15,-47,3934
987,Coalossal,21,-17,35,15,5,-67,6694
988,Applin,-49,-57,-5,-25,-45,-77,14254
989,Flapple,-19,13,-5,30,-25,-27,2809
990,Appletun,21,-12,-5,35,-5,-67,6349
991,Silicobra,-37,-40,-10,-30,-35,-51,7795
992,Sandaconda,-17,10,40,0,-15,-26,2890
993,Cramorant,-19,-12,-30,20,10,-12,2049
994,Arrokuda,-48,-34,-45,-25,-55,-31,10096
995,Barraskewda,-28,26,-25,-5,-35,39,4856
996,Toxel,-49,-59,-50,-11,-50,-57,14252
997,Toxtricity,-14,1,-15,49,-15,-22,3532
998,Sizzlipede,-39,-32,-40,-15,-35,-52,8299
999,Centiskorch,11,18,-20,25,5,-32,2519
1000,Clobbopus,-39,-29,-25,-15,-35,-65,8662
1001,Grapploct,-9,21,5,5,-5,-55,3622
1002,Sinistea,-49,-52,-40,9,-31,-47,9956
1003,Polteageist,-29,-32,-20,69,29,-27,8596
1004,Hatenna,-47,-67,-40,-9,-32,-58,12767
1005,Hattrem,-32,-57,-20,21,-12,-48,7562
1006,Hatterene,-32,-7,10,71,18,-68,11162
1007,Impidimp,-44,-52,-55,-10,-45,-47,11999
1008,Morgrem,-24,-37,-40,10,-30,-27,5274
1009,Grimmsnarl,6,23,-20,30,-10,-37,3334
1010,Obstagoon,4,-7,16,-5,-4,-2,366
1011,Perrserker,-19,13,15,-15,-25,-47,3814
1012,Cursola,-29,-2,-35,80,45,-67,14984
1013,Sirfetch'd,-27,38,10,3,-3,-32,3315
1014,Mr. Rime,-9,-12,-10,45,15,-27,3304
1015,Runerigus,-31,-2,60,-15,20,-67,9679
1016,Milcery,-44,-57,-45,-15,-24,-63,11980
1017,Alcremie,-24,-37,-10,45,36,-33,6455
1018,Falinks,-24,3,15,5,-25,-22,1944
1019,Pincurchin,-41,4,10,26,0,-82,9197
1020,Snom,-59,-72,-50,-20,-55,-77,20519
1021,Frosmoth,-19,-32,-25,60,5,-32,6659
1022,Stonjourner,11,28,50,-45,-65,-27,10384
1023,Eiscue (Ice Face),-14,-17,25,0,5,-47,3344
1024,Eiscue (Noice Face),-14,-17,-15,0,-35,33,3024
1025,Indeedee (Male),-29,-32,-30,40,10,-2,4469
1026,Indeedee (Female),-19,-42,-20,30,20,-12,3969
1027,Morpeko,-31,-2,-27,5,-27,0,2448
1028,Cufant,-17,-17,-36,-25,-36,-57,7044
1029,Copperajah,33,33,-16,15,-16,-67,7404
1030,Dracozolt,1,3,5,15,-15,-22,969
1031,Arctozolt,1,3,5,25,-5,-42,2449
1032,Dracovish,1,-7,15,5,-5,-22,809
1033,Arctovish,1,-7,15,15,5,-42,2289
1034,Duraludon,-19,-2,30,55,-35,-12,5659
1035,Dreepy,-61,-37,-55,-25,-55,-15,11990
1036,Drakloak,-21,-17,-35,-5,-35,5,3230
1037,Dragapult,-1,23,-10,35,-10,45,3980
1038,Zacian (Hero of Many Battles),3,23,30,15,30,41,4244
1039,Zacian (Crowned Sword),3,53,30,15,30,51,7444
1040,Zamazenta (Hero of Many Battles),3,23,30,15,30,41,4244
1041,Zamazenta (Crowned Shield),3,23,55,15,55,31,7774
1042,Eternatus,51,-12,10,80,10,33,10434
1043,Eternatus (Eternamax Eternatus),166,18,165,60,165,33,87019
1044,Kubfu,-29,-7,-25,-12,-35,-25,3509
1045,Urshifu,11,33,15,-2,-25,0,2064
1046,Zarude,16,23,20,5,10,8,1374
1047,Regieleki,-9,3,-35,35,-35,103,14374
1048,Regidrago,111,3,-35,35,-35,-17,16294
1049,Glastrier,11,48,45,0,25,-67,9564
1050,Spectrier,11,-32,-25,80,-5,33,9284
1051,Calyrex,11,-17,-5,15,-5,-17,974
1052,Calyrex (Ice Rider Calyrex),11,68,65,20,45,-47,13604
1053,Calyrex (Shadow Rider Calyrex),11,-12,-5,100,15,53,13324
1054,Wyrdeer,14,8,-13,40,-10,-32,3153
1055,Kleavor,-19,38,10,-20,-15,-12,2674
1056,Ursaluna,41,43,20,-20,-5,-47,6564
1057,Basculegion (Male),31,15,-20,15,-10,-19,2272
1058,Basculegion (Female),31,-5,-20,35,-10,-19,3072
1059,Sneasler,-9,33,-25,-25,-5,23,2974
1060,Overqwil,-4,18,10,0,-20,-12,984
1061,Enamorus (Incarnate Forme),-15,18,-15,70,-5,9,5780
1062,Enamorus (Therian Forme),-15,18,25,70,15,-51,8900
1063,Sprigatito,-49,-36,-31,-20,-40,-32,7682
1064,Floragato,-28,-17,-22,-5,-22,-14,2262
1065,Meowscarada,-13,13,-15,16,-15,26,1720
1066,Fuecoco,-22,-52,-26,-2,-45,-61,9614
1067,Crocalor,-8,-42,-7,25,-27,-48,5535
1068,Skeledirge,15,-22,15,45,-10,-31,4020
1069,Quaxly,-34,-32,-40,-15,-40,-47,7814
1070,Quaxwell,-19,-12,-20,0,-25,-32,2554
1071,Quaquaval,-4,23,-5,20,-10,-12,1214
1072,Lechonk,-35,-52,-45,-30,-40,-62,12298
1073,Oinkologne (Male),21,3,-10,-6,-5,-32,1635
1074,Oinkologne (Female),26,-7,-15,-6,5,-32,2035
1075,Tarountula,-54,-56,-40,-36,-45,-77,16902
1076,Spidops,-29,-18,7,-13,1,-62,5228
1077,Nymble,-56,-51,-45,-44,-60,-52,16002
1078,Lokix,-18,5,-7,-13,-30,-5,1492
1079,Pawmi,-44,-47,-65,-25,-60,-37,13964
1080,Pawmo,-29,-22,-45,-15,-45,-12,5744
1081,Pawmot,-19,18,-15,5,-25,8,1624
1082,Tandemaus,-39,-47,-40,-25,-40,-22,8039
1083,Maushold,-15,-22,-15,0,-10,14,1230
1084,Fidough,-52,-42,-15,-35,-30,-32,7842
1085,Dachsbun,-32,-17,30,-15,-5,-2,2467
1086,Smoliv,-48,-62,-40,-7,-34,-67,13442
1087,Dolliv,-37,-44,-25,13,-7,-64,8244
1088,Arboliva,-11,-28,5,60,24,-58,8470
1089,Squawkabilly,-7,-1,-34,-20,-34,-5,2787
1090,Nacli,-34,-42,-10,-30,-50,-72,11604
1091,Naclstack,-29,-37,15,-30,-20,-62,7579
1092,Garganacl,11,3,45,-20,5,-62,6424
1093,Charcadet,-49,-47,-45,-15,-45,-62,12729
1094,Armarouge,-4,-37,15,60,-5,-22,5719
1095,Ceruledge,-14,28,-5,-5,15,-12,1399
1096,Tadbulb,-28,-66,-44,-6,-50,-52,12316
1097,Bellibolt,20,-33,6,38,-2,-52,5677
1098,Wattrel,-49,-57,-50,-10,-45,-27,11004
1099,Kilowattrel,-19,-27,-25,40,-25,28,4724
1100,Maschiff,-29,-19,-25,-25,-34,-46,5724
1101,Mabosstiff,-9,23,5,-5,-15,-12,1029
1102,Shroodle,-49,-32,-50,-25,-50,-22,9534
1103,Grafaiai,-26,-2,-20,15,-13,13,1643
1104,Bramblin,-49,-32,-55,-20,-50,-37,10719
1105,Brambleghast,-34,18,-15,15,-15,-7,2204
1106,Toedscool,-49,-57,-50,-15,15,-27,9329
1107,Toedscruel,-9,-27,-20,15,35,3,2669
1108,Klawf,-19,3,30,-30,-30,-22,3554
1109,Capsakid,-39,-35,-45,-3,-45,-47,9014
1110,Scovillain,-24,11,-20,43,-20,-22,3830
1111,Rellor,-48,-47,-25,-34,-27,-67,11512
1112,Rabsca,-14,-47,0,50,15,-52,7834
1113,Flittle,-59,-62,-55,-10,-55,-22,13959
1114,Espathra,6,-37,-25,36,-25,8,4015
1115,Tinkatink,-39,-52,-40,-30,-21,-39,8687
1116,Tinkatuff,-24,-42,-30,-20,-3,-19,4010
1117,Tinkaton,-4,-22,-8,5,20,-3,998
1118,Wiglett,-79,-42,-60,-30,-60,-2,16109
1119,Wugtrio,-54,3,-35,-15,-15,23,5129
1120,Bombirdier,-19,6,0,-5,0,-15,647
1121,Finizen,-19,-52,-45,-20,-45,-22,7999
1122,Palafin,11,-27,-13,-12,-23,3,1701
1123,Palafin,11,63,12,41,2,3,5928
1124,Varoom,-44,-27,-22,-35,-40,-50,8474
1125,Revavroom,-9,22,5,-11,-18,-7,1084
1126,Cyclizar,-19,-2,-20,20,-20,24,2141
1127,Orthworm,-19,-12,60,-5,-30,-32,6054
1128,Glimmet,-41,-62,-43,40,-25,-37,10968
1129,Glimmora,-6,-42,5,65,-4,-11,6187
1130,Greavard,-39,-36,-25,-35,-30,-63,9536
1131,Houndstone,-17,4,15,-15,12,-29,1740
1132,Flamigo,-7,18,-11,10,-21,-7,1084
1133,Cetoddle,19,-29,-40,-35,-45,-54,8968
1134,Cetitan,81,16,-20,-20,-30,-24,9093
1135,Veluza,1,5,-12,13,-20,-27,1468
1136,Dondozo,61,3,30,0,-20,-62,8874
1137,Tatsugiri,-21,-47,-25,55,10,-15,6625
1138,Annihilape,21,18,-5,-15,5,-7,1089
1139,Clodsire,41,-22,-25,-20,15,-77,9344
1140,Farigiraf,31,-7,-15,45,-15,-37,4854
1141,Dudunsparce,36,3,-5,20,-10,-42,3594
1142,Kingambit,11,38,35,-5,0,-47,5024
1143,Great Tusk,26,34,46,-12,-32,-10,5216
1144,Scream Tail,26,-32,14,0,30,14,2992
1145,Brute Bonnet,22,30,14,14,14,-42,3736
1146,Flutter Mane,-34,-42,-30,70,50,38,12664
1147,Slither Wing,-4,38,-6,20,20,-16,2552
1148,Sandy Shocks,-4,-16,12,56,0,4,3568
1149,Iron Treads,1,15,35,7,-15,9,1806
1150,Iron Bundle,-33,-17,29,59,-25,39,7846
1151,Iron Hands,65,43,23,-15,-17,-47,9326
1152,Iron Jugulis,5,-17,1,57,-5,11,3710
1153,Iron Moth,-9,-27,-25,75,25,13,7854
1154,Iron Thorns,11,37,25,5,-1,-25,2766
1155,Frigibax,-24,-22,-40,-30,-40,-42,6924
1156,Arctibax,1,-2,-19,-20,-20,-35,2391
1157,Baxcalibur,26,48,7,10,1,-10,3230
1158,Gimmighoul (Chest Form),-44,-67,-15,10,-15,-87,14544
1159,Gimmighoul (Roaming Form),-44,-67,-60,10,-40,-17,12014
1160,Gholdengo,-2,-37,10,68,6,-13,6302
1161,Wo-Chien,-4,-12,15,30,50,-27,4514
1162,Chien-Pao,-9,23,-5,25,-20,38,3104
1163,Ting-Lu,66,13,40,-10,-5,-52,8954
1164,Chi-Yu,-34,-17,-5,70,35,3,7604
1165,Roaring Moon,16,42,-14,-10,16,22,3056
1166,Iron Valiant,-15,33,5,55,-25,19,5350
1167,Koraidon,11,38,30,20,15,38,4534
1168,Miraidon,11,-12,15,70,30,38,7734
