Rasmi Tangirala vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
977,Gossifleur,-44,-57,-37,-22,-19,-91,15680
978,Eldegoss,-24,-47,-7,18,41,-41,6520
979,Wooloo,-42,-57,-42,-22,-34,-53,11226
980,Dubwool,-12,-17,3,-2,11,-13,736
981,Chewtle,-34,-33,-47,-24,-41,-57,9960
982,Drednaw,6,18,-7,-14,-11,-27,1455
983,Yamper,-25,-52,-47,-22,-29,-75,12488
984,Boltund,-15,-7,-37,28,-19,20,3188
985,Rolycoly,-54,-57,-47,-22,-29,-71,14740
986,Carkol,-4,-37,-7,-2,-9,-51,4120
987,Coalossal,26,-17,23,18,11,-71,6980
988,Applin,-44,-57,-17,-22,-39,-81,14040
989,Flapple,-14,13,-17,33,-19,-31,3065
990,Appletun,26,-12,-17,38,1,-71,7595
991,Silicobra,-32,-40,-22,-27,-29,-55,7703
992,Sandaconda,-12,10,28,3,-9,-30,2018
993,Cramorant,-14,-12,-42,23,16,-16,3145
994,Arrokuda,-43,-34,-57,-22,-49,-35,10364
995,Barraskewda,-23,26,-37,-2,-29,35,4644
996,Toxel,-44,-59,-62,-8,-44,-61,14982
997,Toxtricity,-9,1,-27,52,-9,-26,4272
998,Sizzlipede,-34,-32,-52,-12,-29,-56,9005
999,Centiskorch,16,18,-32,28,11,-36,3805
1000,Clobbopus,-34,-29,-37,-12,-29,-69,9112
1001,Grapploct,-4,21,-7,8,1,-59,4052
1002,Sinistea,-44,-52,-52,12,-25,-51,10714
1003,Polteageist,-24,-32,-32,72,35,-31,9994
1004,Hatenna,-42,-67,-52,-6,-26,-62,13513
1005,Hattrem,-27,-57,-32,24,-6,-52,8318
1006,Hatterene,-27,-7,-2,74,24,-72,12018
1007,Impidimp,-39,-52,-67,-7,-39,-51,12885
1008,Morgrem,-19,-37,-52,13,-24,-31,6140
1009,Grimmsnarl,11,23,-32,33,-4,-41,4460
1010,Obstagoon,9,-7,4,-2,2,-6,190
1011,Perrserker,-14,13,3,-12,-19,-51,3480
1012,Cursola,-24,-2,-47,83,51,-71,17320
1013,Sirfetch'd,-22,38,-2,6,3,-36,3273
1014,Mr. Rime,-4,-12,-22,48,21,-31,4350
1015,Runerigus,-26,-2,48,-12,26,-71,8845
1016,Milcery,-39,-57,-57,-12,-18,-67,12976
1017,Alcremie,-19,-37,-22,48,42,-37,7651
1018,Falinks,-19,3,3,8,-19,-26,1480
1019,Pincurchin,-36,4,-2,29,6,-86,9589
1020,Snom,-54,-72,-62,-17,-49,-81,21195
1021,Frosmoth,-14,-32,-37,63,11,-36,7975
1022,Stonjourner,16,28,38,-42,-59,-31,8690
1023,Eiscue (Ice Face),-9,-17,13,3,11,-51,3270
1024,Eiscue (Noice Face),-9,-17,-27,3,-29,29,2790
1025,Indeedee (Male),-24,-32,-42,43,16,-6,5505
1026,Indeedee (Female),-14,-42,-32,33,26,-16,5005
1027,Morpeko,-26,-2,-39,8,-21,-4,2722
1028,Cufant,-12,-17,-48,-22,-30,-61,7842
1029,Copperajah,38,33,-28,18,-10,-71,8782
1030,Dracozolt,6,3,-7,18,-9,-26,1175
1031,Arctozolt,6,3,-7,28,1,-46,2995
1032,Dracovish,6,-7,3,8,1,-26,835
1033,Arctovish,6,-7,3,18,11,-46,2655
1034,Duraludon,-14,-2,18,58,-29,-16,4985
1035,Dreepy,-56,-37,-67,-22,-49,-19,12240
1036,Drakloak,-16,-17,-47,-2,-29,1,3600
1037,Dragapult,4,23,-22,38,-4,41,4170
1038,Zacian (Hero of Many Battles),8,23,18,18,36,37,3906
1039,Zacian (Crowned Sword),8,53,18,18,36,47,7026
1040,Zamazenta (Hero of Many Battles),8,23,18,18,36,37,3906
1041,Zamazenta (Crowned Shield),8,23,43,18,61,27,7216
1042,Eternatus,56,-12,-2,83,16,29,11270
1043,Eternatus (Eternamax Eternatus),171,18,153,63,171,29,87025
1044,Kubfu,-24,-7,-37,-9,-29,-29,3757
1045,Urshifu,16,33,3,1,-19,-4,1732
1046,Zarude,21,23,8,8,16,4,1370
1047,Regieleki,-4,3,-47,38,-29,99,14320
1048,Regidrago,116,3,-47,38,-29,-21,18400
1049,Glastrier,16,48,33,3,31,-71,9660
1050,Spectrier,16,-32,-37,83,1,29,10380
1051,Calyrex,16,-17,-17,18,1,-21,1600
1052,Calyrex (Ice Rider Calyrex),16,68,53,23,51,-51,13420
1053,Calyrex (Shadow Rider Calyrex),16,-12,-17,103,21,49,14140
1054,Wyrdeer,19,8,-25,43,-4,-36,4211
1055,Kleavor,-14,38,-2,-17,-9,-16,2270
1056,Ursaluna,46,43,8,-17,1,-51,6920
1057,Basculegion (Male),36,15,-32,18,-4,-23,3414
1058,Basculegion (Female),36,-5,-32,38,-4,-23,4334
1059,Sneasler,-4,33,-37,-22,1,19,3320
1060,Overqwil,1,18,-2,3,-14,-16,790
1061,Enamorus (Incarnate Forme),-10,18,-27,73,1,5,6508
1062,Enamorus (Therian Forme),-10,18,13,73,21,-55,9388
1063,Sprigatito,-44,-36,-43,-17,-34,-36,7822
1064,Floragato,-23,-17,-34,-2,-16,-18,2558
1065,Meowscarada,-8,13,-27,19,-9,22,1888
1066,Fuecoco,-17,-52,-38,1,-39,-65,10184
1067,Crocalor,-3,-42,-19,28,-21,-52,6063
1068,Skeledirge,20,-22,3,48,-4,-35,4438
1069,Quaxly,-29,-32,-52,-12,-34,-51,8470
1070,Quaxwell,-14,-12,-32,3,-19,-36,3030
1071,Quaquaval,1,23,-17,23,-4,-16,1620
1072,Lechonk,-30,-52,-57,-27,-34,-66,13094
1073,Oinkologne (Male),26,3,-22,-3,1,-36,2475
1074,Oinkologne (Female),31,-7,-27,-3,11,-36,3165
1075,Tarountula,-49,-56,-52,-33,-39,-81,17412
1076,Spidops,-24,-18,-5,-10,7,-66,5430
1077,Nymble,-51,-51,-57,-41,-54,-56,16184
1078,Lokix,-13,5,-19,-10,-24,-9,1312
1079,Pawmi,-39,-47,-77,-22,-54,-41,14740
1080,Pawmo,-24,-22,-57,-12,-39,-16,6230
1081,Pawmot,-14,18,-27,8,-19,4,1690
1082,Tandemaus,-34,-47,-52,-22,-34,-26,8385
1083,Maushold,-10,-22,-27,3,-4,10,1438
1084,Fidough,-47,-42,-27,-32,-24,-36,7598
1085,Dachsbun,-27,-17,18,-12,1,-6,1523
1086,Smoliv,-43,-62,-52,-4,-28,-71,14238
1087,Dolliv,-32,-44,-37,16,-1,-68,9210
1088,Arboliva,-6,-28,-7,63,30,-62,9582
1089,Squawkabilly,-2,-1,-46,-17,-28,-9,3275
1090,Nacli,-29,-42,-22,-27,-44,-76,11530
1091,Naclstack,-24,-37,3,-27,-14,-66,7235
1092,Garganacl,16,3,33,-17,11,-66,6120
1093,Charcadet,-44,-47,-57,-12,-39,-66,13415
1094,Armarouge,1,-37,3,63,1,-26,6025
1095,Ceruledge,-9,28,-17,-2,21,-16,1855
1096,Tadbulb,-23,-66,-56,-3,-44,-56,13102
1097,Bellibolt,25,-33,-6,41,4,-56,6583
1098,Wattrel,-44,-57,-62,-7,-39,-31,11560
1099,Kilowattrel,-14,-27,-37,43,-19,24,5080
1100,Maschiff,-24,-19,-37,-22,-28,-50,6074
1101,Mabosstiff,-4,23,-7,-2,-9,-16,935
1102,Shroodle,-44,-32,-62,-22,-44,-26,9900
1103,Grafaiai,-21,-2,-32,18,-7,9,1923
1104,Bramblin,-44,-32,-67,-17,-44,-41,11355
1105,Brambleghast,-29,18,-27,18,-9,-11,2420
1106,Toedscool,-44,-57,-62,-12,21,-31,10575
1107,Toedscruel,-4,-27,-32,18,41,-1,3775
1108,Klawf,-14,3,18,-27,-24,-26,2510
1109,Capsakid,-34,-35,-57,0,-39,-51,9752
1110,Scovillain,-19,11,-32,46,-14,-26,4494
1111,Rellor,-43,-47,-37,-31,-21,-71,11870
1112,Rabsca,-9,-47,-12,53,21,-56,8820
1113,Flittle,-54,-62,-67,-7,-49,-26,14375
1114,Espathra,11,-37,-37,39,-19,4,4757
1115,Tinkatink,-34,-52,-52,-27,-15,-43,9367
1116,Tinkatuff,-19,-42,-42,-17,3,-23,4716
1117,Tinkaton,1,-22,-20,8,26,-7,1674
1118,Wiglett,-74,-42,-72,-27,-54,-6,16105
1119,Wugtrio,-49,3,-47,-12,-9,19,5205
1120,Bombirdier,-14,6,-12,-2,6,-19,777
1121,Finizen,-14,-52,-57,-17,-39,-26,8635
1122,Palafin,16,-27,-25,-9,-17,-1,1981
1123,Palafin,16,63,0,44,8,-1,6226
1124,Varoom,-39,-27,-34,-32,-34,-54,8502
1125,Revavroom,-4,22,-7,-8,-12,-11,878
1126,Cyclizar,-14,-2,-32,23,-14,20,2349
1127,Orthworm,-14,-12,48,-2,-24,-36,4520
1128,Glimmet,-36,-62,-55,43,-19,-41,12056
1129,Glimmora,-1,-42,-7,68,2,-15,6667
1130,Greavard,-34,-36,-37,-32,-24,-67,9910
1131,Houndstone,-12,4,3,-12,18,-33,1726
1132,Flamigo,-2,18,-23,13,-15,-11,1372
1133,Cetoddle,24,-29,-52,-32,-39,-58,10030
1134,Cetitan,86,16,-32,-17,-24,-28,10325
1135,Veluza,6,5,-24,16,-14,-31,2050
1136,Dondozo,66,3,18,3,-14,-66,9250
1137,Tatsugiri,-16,-47,-37,58,16,-19,7815
1138,Annihilape,26,18,-17,-12,11,-11,1675
1139,Clodsire,46,-22,-37,-17,21,-81,11260
1140,Farigiraf,36,-7,-27,48,-9,-41,6140
1141,Dudunsparce,41,3,-17,23,-4,-46,4640
1142,Kingambit,16,38,23,-2,6,-51,4870
1143,Great Tusk,31,34,34,-9,-26,-14,4226
1144,Scream Tail,31,-32,2,3,36,10,3394
1145,Brute Bonnet,27,30,2,17,20,-46,4438
1146,Flutter Mane,-29,-42,-42,73,56,34,13990
1147,Slither Wing,1,38,-18,23,26,-20,3374
1148,Sandy Shocks,1,-16,0,59,6,0,3774
1149,Iron Treads,6,15,23,10,-9,5,996
1150,Iron Bundle,-28,-17,17,62,-19,35,6792
1151,Iron Hands,70,43,11,-12,-11,-51,9736
1152,Iron Jugulis,10,-17,-11,60,1,7,4160
1153,Iron Moth,-4,-27,-37,78,31,9,9240
1154,Iron Thorns,16,37,13,8,5,-29,2724
1155,Frigibax,-19,-22,-52,-27,-34,-46,7550
1156,Arctibax,6,-2,-31,-17,-14,-39,3007
1157,Baxcalibur,31,48,-5,13,7,-14,3704
1158,Gimmighoul (Chest Form),-39,-67,-27,13,-9,-91,15270
1159,Gimmighoul (Roaming Form),-39,-67,-72,13,-34,-21,12960
1160,Gholdengo,3,-37,-2,71,12,-17,6856
1161,Wo-Chien,1,-12,3,33,56,-31,5340
1162,Chien-Pao,-4,23,-17,28,-14,34,2970
1163,Ting-Lu,71,13,28,-7,1,-56,9180
1164,Chi-Yu,-29,-17,-17,73,41,-1,8430
1165,Roaring Moon,21,42,-26,-7,22,18,3738
1166,Iron Valiant,-10,33,-7,58,-19,15,5188
1167,Koraidon,16,38,18,23,21,34,4150
1168,Miraidon,16,-12,3,73,36,34,8190
