Charles Myersberg vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
1011,Perrserker,-3,13,40,-10,-15,-32,3127
1012,Cursola,-13,-2,-10,85,55,-52,13227
1013,Sirfetch'd,-11,38,35,8,7,-17,3192
1014,Mr. Rime,7,-12,15,50,25,-12,3687
1015,Runerigus,-15,-2,85,-10,30,-52,11158
1016,Milcery,-28,-57,-20,-10,-14,-48,7033
1017,Alcremie,-8,-37,15,50,46,-18,6598
1018,Falinks,-8,3,40,10,-15,-7,2047
1019,Pincurchin,-25,4,35,31,10,-67,7416
1020,Snom,-43,-72,-25,-15,-45,-62,13752
1021,Frosmoth,-3,-32,0,65,15,-17,5772
1022,Stonjourner,27,28,75,-40,-55,-12,11907
1023,Eiscue (Ice Face),2,-17,50,5,15,-32,4067
1024,Eiscue (Noice Face),2,-17,10,5,-25,48,3347
1025,Indeedee (Male),-13,-32,-5,45,20,13,3812
1026,Indeedee (Female),-3,-42,5,35,30,3,3932
1027,Morpeko,-15,-2,-2,10,-17,15,847
1028,Cufant,-1,-17,-11,-20,-26,-42,3251
1029,Copperajah,49,33,9,20,-6,-52,6711
1030,Dracozolt,17,3,30,20,-5,-7,1672
1031,Arctozolt,17,3,30,30,5,-27,2852
1032,Dracovish,17,-7,40,10,5,-7,2112
1033,Arctovish,17,-7,40,20,15,-27,3292
1034,Duraludon,-3,-2,55,60,-25,3,7272
1035,Dreepy,-45,-37,-30,-20,-45,0,6719
1036,Drakloak,-5,-17,-10,0,-25,20,1439
1037,Dragapult,15,23,15,40,0,60,6179
1038,Zacian (Hero of Many Battles),19,23,55,20,40,56,9051
1039,Zacian (Crowned Sword),19,53,55,20,40,66,12551
1040,Zamazenta (Hero of Many Battles),19,23,55,20,40,56,9051
1041,Zamazenta (Crowned Shield),19,23,80,20,65,46,14031
1042,Eternatus,67,-12,35,85,20,48,15787
1043,Eternatus (Eternamax Eternatus),182,18,190,65,175,48,106702
1044,Kubfu,-13,-7,0,-7,-25,-10,992
1045,Urshifu,27,33,40,3,-15,15,3877
1046,Zarude,32,23,45,10,20,23,4607
1047,Regieleki,7,3,-10,40,-25,118,16307
1048,Regidrago,127,3,-10,40,-25,-2,18467
1049,Glastrier,27,48,70,5,35,-52,11887
1050,Spectrier,27,-32,0,85,5,48,11307
1051,Calyrex,27,-17,20,20,5,-2,1847
1052,Calyrex (Ice Rider Calyrex),27,68,90,25,55,-32,18127
1053,Calyrex (Shadow Rider Calyrex),27,-12,20,105,25,68,17547
1054,Wyrdeer,30,8,12,45,0,-17,3422
1055,Kleavor,-3,38,35,-15,-5,3,2937
1056,Ursaluna,57,43,45,-15,5,-32,8397
1057,Basculegion (Male),47,15,5,20,0,-4,2875
1058,Basculegion (Female),47,-5,5,40,0,-4,3875
1059,Sneasler,7,33,0,-20,5,38,3007
1060,Overqwil,12,18,35,5,-10,3,1827
1061,Enamorus (Incarnate Forme),1,18,10,75,5,24,6651
1062,Enamorus (Therian Forme),1,18,50,75,25,-36,10371
1063,Sprigatito,-33,-36,-6,-15,-30,-17,3835
1064,Floragato,-12,-17,3,0,-12,1,587
1065,Meowscarada,3,13,10,21,-5,41,2425
1066,Fuecoco,-6,-52,-1,3,-35,-46,6091
1067,Crocalor,8,-42,18,30,-17,-33,4430
1068,Skeledirge,31,-22,40,50,0,-16,5801
1069,Quaxly,-18,-32,-15,-10,-30,-32,3597
1070,Quaxwell,-3,-12,5,5,-15,-17,717
1071,Quaquaval,12,23,20,25,0,3,1707
1072,Lechonk,-19,-52,-20,-25,-30,-47,7199
1073,Oinkologne (Male),37,3,15,-1,5,-17,1918
1074,Oinkologne (Female),42,-7,10,-1,15,-17,2428
1075,Tarountula,-38,-56,-15,-31,-35,-62,10835
1076,Spidops,-13,-18,32,-8,11,-47,3911
1077,Nymble,-40,-51,-20,-39,-50,-37,9991
1078,Lokix,-2,5,18,-8,-20,10,917
1079,Pawmi,-28,-47,-40,-20,-50,-22,7977
1080,Pawmo,-13,-22,-20,-10,-35,3,2387
1081,Pawmot,-3,18,10,10,-15,23,1287
1082,Tandemaus,-23,-47,-15,-20,-30,-7,4312
1083,Maushold,1,-22,10,5,0,29,1451
1084,Fidough,-36,-42,10,-30,-20,-17,4749
1085,Dachsbun,-16,-17,55,-10,5,13,3864
1086,Smoliv,-32,-62,-15,-2,-24,-52,8377
1087,Dolliv,-21,-44,0,18,3,-49,5111
1088,Arboliva,5,-28,30,65,34,-43,8939
1089,Squawkabilly,9,-1,-9,-15,-24,10,1064
1090,Nacli,-18,-42,15,-25,-40,-57,7787
1091,Naclstack,-13,-37,40,-25,-10,-47,6072
1092,Garganacl,27,3,70,-15,15,-47,8297
1093,Charcadet,-33,-47,-20,-10,-35,-47,7232
1094,Armarouge,12,-37,40,65,5,-7,7412
1095,Ceruledge,2,28,20,0,25,3,1822
1096,Tadbulb,-12,-66,-19,-1,-40,-37,7831
1097,Bellibolt,36,-33,31,43,8,-37,6628
1098,Wattrel,-33,-57,-25,-5,-35,-12,6357
1099,Kilowattrel,-3,-27,0,45,-15,43,4837
1100,Maschiff,-13,-19,0,-20,-24,-31,2467
1101,Mabosstiff,7,23,30,0,-5,3,1512
1102,Shroodle,-33,-32,-25,-20,-40,-7,4787
1103,Grafaiai,-10,-2,5,20,-3,28,1322
1104,Bramblin,-33,-32,-30,-15,-40,-22,5322
1105,Brambleghast,-18,18,10,20,-5,8,1237
1106,Toedscool,-33,-57,-25,-10,25,-12,5832
1107,Toedscruel,7,-27,5,20,45,18,3552
1108,Klawf,-3,3,55,-25,-20,-7,4117
1109,Capsakid,-23,-35,-20,2,-35,-32,4407
1110,Scovillain,-8,11,5,48,-10,-7,2663
1111,Rellor,-32,-47,0,-29,-17,-52,7067
1112,Rabsca,2,-47,25,55,25,-37,7857
1113,Flittle,-43,-62,-30,-5,-45,-7,8692
1114,Espathra,22,-37,0,41,-15,23,4288
1115,Tinkatink,-23,-52,-15,-25,-11,-24,4780
1116,Tinkatuff,-8,-42,-5,-15,7,-4,2143
1117,Tinkaton,12,-22,17,10,30,12,2061
1118,Wiglett,-63,-42,-35,-25,-50,13,10252
1119,Wugtrio,-38,3,-10,-10,-5,38,3122
1120,Bombirdier,-3,6,25,0,10,0,770
1121,Finizen,-3,-52,-20,-15,-35,-7,4612
1122,Palafin,27,-27,12,-7,-13,18,2144
1123,Palafin,27,63,37,46,12,18,8651
1124,Varoom,-28,-27,3,-30,-30,-35,4547
1125,Revavroom,7,22,30,-6,-8,8,1597
1126,Cyclizar,-3,-2,5,25,-10,39,2284
1127,Orthworm,-3,-12,85,0,-20,-17,8067
1128,Glimmet,-25,-62,-18,45,-15,-22,7527
1129,Glimmora,10,-42,30,70,6,4,7716
1130,Greavard,-23,-36,0,-30,-20,-48,5429
1131,Houndstone,-1,4,40,-10,22,-14,2397
1132,Flamigo,9,18,14,15,-11,8,1011
1133,Cetoddle,35,-29,-15,-30,-35,-39,5937
1134,Cetitan,97,16,5,-15,-20,-9,10396
1135,Veluza,17,5,13,18,-10,-12,1051
1136,Dondozo,77,3,55,5,-10,-47,11297
1137,Tatsugiri,-5,-47,0,60,20,0,6234
1138,Annihilape,37,18,20,-10,15,8,2482
1139,Clodsire,57,-22,0,-15,25,-62,8427
1140,Farigiraf,47,-7,10,50,-5,-22,5367
1141,Dudunsparce,52,3,20,25,0,-27,4467
1142,Kingambit,27,38,60,0,10,-32,6897
1143,Great Tusk,42,34,71,-7,-22,5,8519
1144,Scream Tail,42,-32,39,5,40,29,6775
1145,Brute Bonnet,38,30,39,19,24,-27,5531
1146,Flutter Mane,-18,-42,-5,75,60,53,14147
1147,Slither Wing,12,38,19,25,30,-1,3475
1148,Sandy Shocks,12,-16,37,61,10,19,5951
1149,Iron Treads,17,15,60,12,-5,24,4859
1150,Iron Bundle,-17,-17,54,64,-15,54,10731
1151,Iron Hands,81,43,48,-10,-7,-32,11887
1152,Iron Jugulis,21,-17,26,62,5,26,5951
1153,Iron Moth,7,-27,0,80,35,28,9187
1154,Iron Thorns,27,37,50,10,9,-10,4879
1155,Frigibax,-8,-22,-15,-25,-30,-27,3027
1156,Arctibax,17,-2,6,-15,-10,-20,1054
1157,Baxcalibur,42,48,32,15,11,5,5463
1158,Gimmighoul (Chest Form),-28,-67,10,15,-5,-72,10807
1159,Gimmighoul (Roaming Form),-28,-67,-35,15,-30,-2,7627
1160,Gholdengo,14,-37,35,73,16,2,8379
1161,Wo-Chien,12,-12,40,35,60,-12,6857
1162,Chien-Pao,7,23,20,30,-10,53,4787
1163,Ting-Lu,82,13,65,-5,5,-37,12537
1164,Chi-Yu,-18,-17,20,75,45,18,8987
1165,Roaring Moon,32,42,11,-5,26,37,4979
1166,Iron Valiant,1,33,30,60,-15,34,6971
1167,Koraidon,27,38,55,25,25,53,9257
1168,Miraidon,27,-12,40,75,40,53,12507
