Anna Brown vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
969,Rookidee,-39,-55,-62,-43,-58,-40,15203
970,Corvisquire,-9,-35,-42,-33,-38,-20,6003
971,Corviknight,21,-15,8,-23,-8,-30,2223
972,Blipbug,-52,-82,-77,-51,-48,-52,22966
973,Dottler,-27,-67,-17,-26,-3,-67,10681
974,Orbeetle,-17,-57,13,4,27,-7,4501
975,Nickit,-37,-74,-69,-29,-41,-47,16337
976,Thievul,-7,-44,-39,11,-1,-7,3677
977,Gossifleur,-37,-62,-37,-36,-33,-87,16536
978,Eldegoss,-17,-52,-7,4,27,-37,5156
979,Wooloo,-35,-62,-42,-36,-48,-49,12834
980,Dubwool,-5,-22,3,-16,-3,-9,864
981,Chewtle,-27,-38,-47,-38,-55,-53,11660
982,Drednaw,13,13,-7,-28,-25,-23,2325
983,Yamper,-18,-57,-47,-36,-43,-71,13968
984,Boltund,-8,-12,-37,14,-33,24,3438
985,Rolycoly,-47,-62,-47,-36,-43,-67,15896
986,Carkol,3,-42,-7,-16,-23,-47,4816
987,Coalossal,33,-22,23,4,-3,-67,6616
988,Applin,-37,-62,-17,-36,-53,-77,15536
989,Flapple,-7,8,-17,19,-33,-27,2581
990,Appletun,33,-17,-17,24,-13,-67,6901
991,Silicobra,-25,-45,-22,-41,-43,-51,9265
992,Sandaconda,-5,5,28,-11,-23,-26,2160
993,Cramorant,-7,-17,-42,9,2,-12,2331
994,Arrokuda,-36,-39,-57,-36,-63,-31,12292
995,Barraskewda,-16,21,-37,-16,-43,39,5692
996,Toxel,-37,-64,-62,-22,-58,-57,16406
997,Toxtricity,-2,-4,-27,38,-23,-22,3206
998,Sizzlipede,-27,-37,-52,-26,-43,-52,10031
999,Centiskorch,23,13,-32,14,-3,-32,2951
1000,Clobbopus,-27,-34,-37,-26,-43,-65,10004
1001,Grapploct,3,16,-7,-6,-13,-55,3544
1002,Sinistea,-37,-57,-52,-2,-39,-47,11056
1003,Polteageist,-17,-37,-32,58,21,-27,7216
1004,Hatenna,-35,-72,-52,-20,-40,-58,14477
1005,Hattrem,-20,-62,-32,10,-20,-48,8072
1006,Hatterene,-20,-12,-2,60,10,-68,8872
1007,Impidimp,-32,-57,-67,-21,-53,-47,14221
1008,Morgrem,-12,-42,-52,-1,-38,-27,6786
1009,Grimmsnarl,18,18,-32,19,-18,-37,3726
1010,Obstagoon,16,-12,4,-16,-12,-2,820
1011,Perrserker,-7,8,3,-26,-33,-47,4096
1012,Cursola,-17,-7,-47,69,37,-67,13166
1013,Sirfetch'd,-15,33,-2,-8,-11,-32,2527
1014,Mr. Rime,3,-17,-22,34,7,-27,2716
1015,Runerigus,-19,-7,48,-26,12,-67,8023
1016,Milcery,-32,-62,-57,-26,-32,-63,13786
1017,Alcremie,-12,-42,-22,34,28,-33,5421
1018,Falinks,-12,-2,3,-6,-33,-22,1766
1019,Pincurchin,-29,-1,-2,15,-8,-82,7859
1020,Snom,-47,-77,-62,-31,-63,-77,22841
1021,Frosmoth,-7,-37,-37,49,-3,-32,6221
1022,Stonjourner,23,23,38,-56,-73,-27,11696
1023,Eiscue (Ice Face),-2,-22,13,-11,-3,-47,2996
1024,Eiscue (Noice Face),-2,-22,-27,-11,-43,33,4276
1025,Indeedee (Male),-17,-37,-42,29,2,-2,4271
1026,Indeedee (Female),-7,-47,-32,19,12,-12,3931
1027,Morpeko,-19,-7,-39,-6,-35,0,3192
1028,Cufant,-5,-22,-48,-36,-44,-57,9294
1029,Copperajah,45,28,-28,4,-24,-67,8674
1030,Dracozolt,13,-2,-7,4,-23,-22,1251
1031,Arctozolt,13,-2,-7,14,-13,-42,2351
1032,Dracovish,13,-12,3,-6,-13,-22,1011
1033,Arctovish,13,-12,3,4,-3,-42,2111
1034,Duraludon,-7,-7,18,44,-43,-12,4351
1035,Dreepy,-49,-42,-67,-36,-63,-15,14144
1036,Drakloak,-9,-22,-47,-16,-43,5,4904
1037,Dragapult,11,18,-22,24,-18,45,3854
1038,Zacian (Hero of Many Battles),15,18,18,4,22,41,3054
1039,Zacian (Crowned Sword),15,48,18,4,22,51,5954
1040,Zamazenta (Hero of Many Battles),15,18,18,4,22,41,3054
1041,Zamazenta (Crowned Shield),15,18,43,4,47,31,5584
1042,Eternatus,63,-17,-2,69,2,33,10116
1043,Eternatus (Eternamax Eternatus),178,13,153,49,157,33,83401
1044,Kubfu,-17,-12,-37,-23,-43,-25,4805
1045,Urshifu,23,28,3,-13,-33,0,2580
1046,Zarude,28,18,8,-6,2,8,1276
1047,Regieleki,3,-2,-47,24,-43,103,15256
1048,Regidrago,123,-2,-47,24,-43,-17,20056
1049,Glastrier,23,43,33,-11,17,-67,8366
1050,Spectrier,23,-37,-37,69,-13,33,9286
1051,Calyrex,23,-22,-17,4,-13,-17,1776
1052,Calyrex (Ice Rider Calyrex),23,63,53,9,37,-47,10966
1053,Calyrex (Shadow Rider Calyrex),23,-17,-17,89,7,53,11886
1054,Wyrdeer,26,3,-25,29,-18,-32,3499
1055,Kleavor,-7,33,-2,-31,-23,-12,2776
1056,Ursaluna,53,38,8,-31,-13,-47,7656
1057,Basculegion (Male),43,10,-32,4,-18,-19,3674
1058,Basculegion (Female),43,-10,-32,24,-18,-19,4234
1059,Sneasler,3,28,-37,-36,-13,23,4156
1060,Overqwil,8,13,-2,-11,-28,-12,1286
1061,Enamorus (Incarnate Forme),-3,13,-27,59,-13,9,4638
1062,Enamorus (Therian Forme),-3,13,13,59,7,-51,6478
1063,Sprigatito,-37,-41,-43,-31,-48,-32,9188
1064,Floragato,-16,-22,-34,-16,-30,-14,3248
1065,Meowscarada,-1,8,-27,5,-23,26,2024
1066,Fuecoco,-10,-57,-38,-13,-53,-61,11492
1067,Crocalor,4,-47,-19,14,-35,-48,6311
1068,Skeledirge,27,-27,3,34,-18,-31,3908
1069,Quaxly,-22,-37,-52,-26,-48,-47,9746
1070,Quaxwell,-7,-17,-32,-11,-33,-32,3596
1071,Quaquaval,8,18,-17,9,-18,-12,1226
1072,Lechonk,-23,-57,-57,-41,-48,-62,14856
1073,Oinkologne (Male),33,-2,-22,-17,-13,-32,3059
1074,Oinkologne (Female),38,-12,-27,-17,-3,-32,3639
1075,Tarountula,-42,-61,-52,-47,-53,-77,19136
1076,Spidops,-17,-23,-5,-24,-7,-62,5312
1077,Nymble,-44,-56,-57,-55,-68,-52,18674
1078,Lokix,-6,0,-19,-24,-38,-5,2442
1079,Pawmi,-32,-52,-77,-36,-68,-37,16946
1080,Pawmo,-17,-27,-57,-26,-53,-12,7896
1081,Pawmot,-7,13,-27,-6,-33,8,2136
1082,Tandemaus,-27,-52,-52,-36,-48,-22,10221
1083,Maushold,-3,-27,-27,-11,-18,14,2108
1084,Fidough,-40,-47,-27,-46,-38,-32,9122
1085,Dachsbun,-20,-22,18,-26,-13,-2,2057
1086,Smoliv,-36,-67,-52,-18,-42,-67,15066
1087,Dolliv,-25,-49,-37,2,-15,-64,8720
1088,Arboliva,1,-33,-7,49,16,-58,7160
1089,Squawkabilly,5,-6,-46,-31,-42,-5,4927
1090,Nacli,-22,-47,-22,-41,-58,-72,13406
1091,Naclstack,-17,-42,3,-41,-28,-62,8371
1092,Garganacl,23,-2,33,-31,-3,-62,6436
1093,Charcadet,-37,-52,-57,-26,-53,-62,14651
1094,Armarouge,8,-42,3,49,-13,-22,4891
1095,Ceruledge,-2,23,-17,-16,7,-12,1271
1096,Tadbulb,-16,-71,-56,-17,-58,-52,14790
1097,Bellibolt,32,-38,-6,27,-10,-52,6037
1098,Wattrel,-37,-62,-62,-21,-53,-27,13036
1099,Kilowattrel,-7,-32,-37,29,-33,28,5156
1100,Maschiff,-17,-24,-37,-36,-42,-46,7410
1101,Mabosstiff,3,18,-7,-16,-23,-12,1311
1102,Shroodle,-37,-37,-62,-36,-58,-22,11726
1103,Grafaiai,-14,-7,-32,4,-21,13,1895
1104,Bramblin,-37,-37,-67,-31,-58,-37,12921
1105,Brambleghast,-22,13,-27,4,-23,-7,1976
1106,Toedscool,-37,-62,-62,-26,7,-27,10511
1107,Toedscruel,3,-32,-32,4,27,3,2811
1108,Klawf,-7,-2,18,-41,-38,-22,3986
1109,Capsakid,-27,-40,-57,-14,-53,-47,10792
1110,Scovillain,-12,6,-32,32,-28,-22,3496
1111,Rellor,-36,-52,-37,-45,-35,-67,13108
1112,Rabsca,-2,-52,-12,39,7,-52,7126
1113,Flittle,-47,-67,-67,-21,-63,-22,16081
1114,Espathra,18,-42,-37,25,-33,8,5235
1115,Tinkatink,-27,-57,-52,-41,-29,-39,10725
1116,Tinkatuff,-12,-47,-42,-31,-11,-19,5560
1117,Tinkaton,8,-27,-20,-6,12,-3,1382
1118,Wiglett,-67,-47,-72,-41,-68,-2,18191
1119,Wugtrio,-42,-2,-47,-26,-23,23,5711
1120,Bombirdier,-7,1,-12,-16,-8,-15,739
1121,Finizen,-7,-57,-57,-31,-53,-22,10801
1122,Palafin,23,-32,-25,-23,-31,3,3677
1123,Palafin,23,58,0,30,-6,3,4838
1124,Varoom,-32,-32,-34,-46,-48,-50,10124
1125,Revavroom,3,17,-7,-22,-26,-7,1556
1126,Cyclizar,-7,-7,-32,9,-28,24,2563
1127,Orthworm,-7,-17,48,-16,-38,-32,5366
1128,Glimmet,-29,-67,-55,29,-33,-37,11654
1129,Glimmora,6,-47,-7,54,-12,-11,5475
1130,Greavard,-27,-41,-37,-46,-38,-63,11308
1131,Houndstone,-5,-1,3,-26,4,-29,1568
1132,Flamigo,5,13,-23,-1,-29,-7,1614
1133,Cetoddle,31,-34,-52,-46,-53,-54,12662
1134,Cetitan,93,11,-32,-31,-38,-24,12775
1135,Veluza,13,0,-24,2,-28,-27,2262
1136,Dondozo,73,-2,18,-11,-28,-62,10406
1137,Tatsugiri,-9,-52,-37,44,2,-15,6319
1138,Annihilape,33,13,-17,-26,-3,-7,2281
1139,Clodsire,53,-27,-37,-31,7,-77,11846
1140,Farigiraf,43,-12,-27,34,-23,-37,5776
1141,Dudunsparce,48,-2,-17,9,-18,-42,4766
1142,Kingambit,23,33,23,-16,-8,-47,4676
1143,Great Tusk,38,29,34,-23,-40,-10,5670
1144,Scream Tail,38,-37,2,-11,22,14,3618
1145,Brute Bonnet,34,25,2,3,6,-42,3594
1146,Flutter Mane,-22,-47,-42,59,42,38,11146
1147,Slither Wing,8,33,-18,9,12,-16,1958
1148,Sandy Shocks,8,-21,0,45,-8,4,2610
1149,Iron Treads,13,10,23,-4,-23,9,1424
1150,Iron Bundle,-21,-22,17,48,-33,39,6128
1151,Iron Hands,77,38,11,-26,-25,-47,11004
1152,Iron Jugulis,17,-22,-11,46,-13,11,3300
1153,Iron Moth,3,-32,-37,64,17,13,6956
1154,Iron Thorns,23,32,13,-6,-9,-25,2464
1155,Frigibax,-12,-27,-52,-41,-48,-42,9326
1156,Arctibax,13,-7,-31,-31,-28,-35,4149
1157,Baxcalibur,38,43,-5,-1,-7,-10,3468
1158,Gimmighoul (Chest Form),-32,-72,-27,-1,-23,-87,15036
1159,Gimmighoul (Roaming Form),-32,-72,-72,-1,-48,-17,13986
1160,Gholdengo,10,-42,-2,57,-2,-13,5290
1161,Wo-Chien,8,-17,3,19,42,-27,3216
1162,Chien-Pao,3,18,-17,14,-28,38,3046
1163,Ting-Lu,78,8,28,-21,-13,-52,10246
1164,Chi-Yu,-22,-22,-17,59,27,3,5476
1165,Roaring Moon,28,37,-26,-21,8,22,3818
1166,Iron Valiant,-3,28,-7,44,-33,19,4228
1167,Koraidon,23,33,18,9,7,38,3516
1168,Miraidon,23,-17,3,59,22,38,6236
