Levin Lee vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
973,Dottler,-29,-85,-29,-54,-17,-10,12212
974,Orbeetle,-19,-75,1,-24,13,50,9232
975,Nickit,-39,-92,-81,-57,-55,10,22920
976,Thievul,-9,-62,-51,-17,-15,50,9540
977,Gossifleur,-39,-80,-49,-64,-47,-30,17527
978,Eldegoss,-19,-70,-19,-24,13,20,6767
979,Wooloo,-37,-80,-54,-64,-62,8,18689
980,Dubwool,-7,-40,-9,-44,-17,48,6259
981,Chewtle,-29,-56,-59,-66,-69,4,16591
982,Drednaw,11,-5,-19,-56,-39,34,6320
983,Yamper,-20,-75,-59,-64,-57,-14,17047
984,Boltund,-10,-30,-49,-14,-47,81,12367
985,Rolycoly,-49,-80,-59,-64,-57,-10,19727
986,Carkol,1,-60,-19,-44,-37,10,7367
987,Coalossal,31,-40,11,-24,-17,-10,3647
988,Applin,-39,-80,-29,-64,-67,-20,17747
989,Flapple,-9,-10,-29,-9,-47,30,4212
990,Appletun,31,-35,-29,-4,-27,-10,3872
991,Silicobra,-27,-63,-34,-69,-57,6,13900
992,Sandaconda,-7,-13,16,-39,-37,31,4325
993,Cramorant,-9,-35,-54,-19,-12,45,6752
994,Arrokuda,-38,-57,-69,-64,-77,26,20155
995,Barraskewda,-18,3,-49,-44,-57,96,17135
996,Toxel,-39,-82,-74,-50,-72,0,21405
997,Toxtricity,-4,-22,-39,10,-37,35,4715
998,Sizzlipede,-29,-55,-64,-54,-57,5,14152
999,Centiskorch,21,-5,-44,-14,-17,25,3512
1000,Clobbopus,-29,-52,-49,-54,-57,-8,12175
1001,Grapploct,1,-2,-19,-34,-27,2,2255
1002,Sinistea,-39,-75,-64,-30,-53,10,15051
1003,Polteageist,-19,-55,-44,30,7,30,7171
1004,Hatenna,-37,-90,-64,-48,-54,-1,18786
1005,Hattrem,-22,-80,-44,-18,-34,9,10381
1006,Hatterene,-22,-30,-14,32,-4,-11,2741
1007,Impidimp,-34,-75,-79,-49,-67,10,20012
1008,Morgrem,-14,-60,-64,-29,-52,30,12337
1009,Grimmsnarl,16,0,-44,-9,-32,20,3697
1010,Obstagoon,14,-30,-8,-44,-26,55,6797
1011,Perrserker,-9,-10,-9,-54,-47,10,5487
1012,Cursola,-19,-25,-59,41,23,-10,6777
1013,Sirfetch'd,-17,15,-14,-36,-25,25,3256
1014,Mr. Rime,1,-35,-34,6,-7,30,3367
1015,Runerigus,-21,-25,36,-54,-2,-10,5382
1016,Milcery,-34,-80,-69,-54,-46,-6,17385
1017,Alcremie,-14,-60,-34,6,14,24,5760
1018,Falinks,-14,-20,-9,-34,-47,35,5267
1019,Pincurchin,-31,-19,-14,-13,-22,-25,2796
1020,Snom,-49,-95,-74,-59,-77,-20,26712
1021,Frosmoth,-9,-55,-49,21,-17,25,6862
1022,Stonjourner,21,5,26,-84,-87,30,16667
1023,Eiscue (Ice Face),-4,-40,1,-39,-17,10,3527
1024,Eiscue (Noice Face),-4,-40,-39,-39,-57,90,16007
1025,Indeedee (Male),-19,-55,-54,1,-12,55,9472
1026,Indeedee (Female),-9,-65,-44,-9,-2,45,8352
1027,Morpeko,-21,-25,-51,-34,-49,57,10473
1028,Cufant,-7,-40,-60,-64,-58,0,12709
1029,Copperajah,43,10,-40,-24,-38,-10,5669
1030,Dracozolt,11,-20,-19,-24,-37,35,4052
1031,Arctozolt,11,-20,-19,-14,-27,15,2032
1032,Dracovish,11,-30,-9,-34,-27,35,4212
1033,Arctovish,11,-30,-9,-24,-17,15,2192
1034,Duraludon,-9,-25,6,16,-57,45,6272
1035,Dreepy,-51,-60,-79,-64,-77,42,24231
1036,Drakloak,-11,-40,-59,-44,-57,62,14231
1037,Dragapult,9,0,-34,-4,-32,102,12681
1038,Zacian (Hero of Many Battles),13,0,6,-24,8,98,10449
1039,Zacian (Crowned Sword),13,30,6,-24,8,108,13409
1040,Zamazenta (Hero of Many Battles),13,0,6,-24,8,98,10449
1041,Zamazenta (Crowned Shield),13,0,31,-24,33,88,10539
1042,Eternatus,61,-35,-14,41,-12,90,15067
1043,Eternatus (Eternamax Eternatus),176,-5,141,21,143,90,79872
1044,Kubfu,-19,-30,-49,-51,-57,32,10536
1045,Urshifu,21,10,-9,-41,-47,57,7761
1046,Zarude,26,0,-4,-34,-12,65,6217
1047,Regieleki,1,-20,-59,-4,-57,160,32747
1048,Regidrago,121,-20,-59,-4,-57,40,23387
1049,Glastrier,21,25,21,-39,3,-10,3137
1050,Spectrier,21,-55,-49,41,-27,90,16377
1051,Calyrex,21,-40,-29,-24,-27,40,5787
1052,Calyrex (Ice Rider Calyrex),21,45,41,-19,23,10,5137
1053,Calyrex (Shadow Rider Calyrex),21,-35,-29,61,-7,110,18377
1054,Wyrdeer,24,-15,-37,1,-32,25,3820
1055,Kleavor,-9,15,-14,-59,-37,45,7377
1056,Ursaluna,51,20,-4,-59,-27,10,7327
1057,Basculegion (Male),41,-8,-44,-24,-32,38,6725
1058,Basculegion (Female),41,-28,-44,-4,-32,38,6885
1059,Sneasler,1,10,-49,-64,-27,80,13727
1060,Overqwil,6,-5,-14,-39,-42,45,5567
1061,Enamorus (Incarnate Forme),-5,-5,-39,31,-27,66,7617
1062,Enamorus (Therian Forme),-5,-5,1,31,-7,6,1097
1063,Sprigatito,-39,-59,-55,-59,-62,25,15977
1064,Floragato,-18,-40,-46,-44,-44,43,9761
1065,Meowscarada,-3,-10,-39,-23,-37,83,10417
1066,Fuecoco,-12,-75,-50,-41,-67,-4,14455
1067,Crocalor,2,-65,-31,-14,-49,9,7868
1068,Skeledirge,25,-45,-9,6,-32,26,4467
1069,Quaxly,-24,-55,-64,-54,-62,10,14557
1070,Quaxwell,-9,-35,-44,-39,-47,25,7597
1071,Quaquaval,6,0,-29,-19,-32,45,4287
1072,Lechonk,-25,-75,-69,-69,-62,-5,19641
1073,Oinkologne (Male),31,-20,-34,-45,-27,25,5896
1074,Oinkologne (Female),36,-30,-39,-45,-17,25,6656
1075,Tarountula,-44,-79,-64,-75,-67,-20,22787
1076,Spidops,-19,-41,-17,-52,-21,-5,5501
1077,Nymble,-46,-74,-69,-83,-82,5,25991
1078,Lokix,-8,-18,-31,-52,-52,52,9461
1079,Pawmi,-34,-70,-89,-64,-82,20,25197
1080,Pawmo,-19,-45,-69,-54,-67,45,16577
1081,Pawmot,-9,-5,-39,-34,-47,65,9217
1082,Tandemaus,-29,-70,-64,-64,-62,35,19002
1083,Maushold,-5,-45,-39,-39,-32,71,11157
1084,Fidough,-42,-65,-39,-74,-52,25,16315
1085,Dachsbun,-22,-40,6,-54,-27,55,8790
1086,Smoliv,-38,-85,-64,-46,-56,-10,18117
1087,Dolliv,-27,-67,-49,-26,-29,-7,9185
1088,Arboliva,-1,-51,-19,21,2,-1,3409
1089,Squawkabilly,3,-24,-58,-59,-56,52,13270
1090,Nacli,-24,-65,-34,-69,-72,-15,16127
1091,Naclstack,-19,-60,-9,-69,-42,-5,10592
1092,Garganacl,21,-20,21,-59,-17,-5,5077
1093,Charcadet,-39,-70,-69,-54,-67,-5,18612
1094,Armarouge,6,-60,-9,21,-27,35,6112
1095,Ceruledge,-4,5,-29,-44,-7,45,4892
1096,Tadbulb,-18,-89,-68,-45,-72,5,20103
1097,Bellibolt,30,-56,-18,-1,-24,5,4962
1098,Wattrel,-39,-80,-74,-49,-67,30,21187
1099,Kilowattrel,-9,-50,-49,1,-47,85,14417
1100,Maschiff,-19,-42,-49,-64,-56,11,11879
1101,Mabosstiff,1,0,-19,-44,-37,45,5692
1102,Shroodle,-39,-55,-74,-64,-72,35,20527
1103,Grafaiai,-16,-25,-44,-24,-35,70,9518
1104,Bramblin,-39,-55,-79,-59,-72,20,19852
1105,Brambleghast,-24,-5,-39,-24,-37,50,6567
1106,Toedscool,-39,-80,-74,-54,-7,30,17262
1107,Toedscruel,1,-50,-44,-24,13,60,8782
1108,Klawf,-9,-20,6,-69,-52,35,9207
1109,Capsakid,-29,-58,-69,-42,-67,10,15319
1110,Scovillain,-14,-12,-44,4,-42,35,5281
1111,Rellor,-38,-70,-49,-73,-49,-10,16575
1112,Rabsca,-4,-70,-24,11,-7,5,5687
1113,Flittle,-49,-85,-79,-49,-77,35,25422
1114,Espathra,16,-60,-49,-3,-47,65,12700
1115,Tinkatink,-29,-75,-64,-69,-43,18,17496
1116,Tinkatuff,-14,-65,-54,-59,-25,38,12887
1117,Tinkaton,6,-45,-32,-34,-2,54,7161
1118,Wiglett,-69,-65,-84,-69,-82,55,30552
1119,Wugtrio,-44,-20,-59,-54,-37,80,16502
1120,Bombirdier,-9,-17,-24,-44,-22,42,5130
1121,Finizen,-9,-75,-69,-59,-67,35,19662
1122,Palafin,21,-50,-37,-51,-45,60,12536
1123,Palafin,21,40,-12,2,-20,60,6189
1124,Varoom,-34,-50,-46,-74,-62,7,15141
1125,Revavroom,1,-1,-19,-50,-40,50,6963
1126,Cyclizar,-9,-25,-44,-19,-42,81,11328
1127,Orthworm,-9,-35,36,-44,-52,25,7867
1128,Glimmet,-31,-85,-67,1,-47,20,15285
1129,Glimmora,4,-65,-19,26,-26,46,8070
1130,Greavard,-29,-59,-49,-74,-52,-6,14939
1131,Houndstone,-7,-19,-9,-54,-10,28,4291
1132,Flamigo,3,-5,-35,-29,-43,50,6449
1133,Cetoddle,29,-52,-64,-74,-67,3,17615
1134,Cetitan,91,-7,-44,-59,-52,33,17540
1135,Veluza,11,-18,-36,-26,-42,30,5081
1136,Dondozo,71,-20,6,-39,-42,-5,8787
1137,Tatsugiri,-11,-70,-49,16,-12,42,9586
1138,Annihilape,31,-5,-29,-54,-17,50,7532
1139,Clodsire,51,-45,-49,-59,-7,-20,10957
1140,Farigiraf,41,-30,-39,6,-37,20,5907
1141,Dudunsparce,46,-20,-29,-19,-32,15,4967
1142,Kingambit,21,15,11,-44,-22,10,3307
1143,Great Tusk,36,11,22,-51,-54,47,9627
1144,Scream Tail,36,-55,-10,-39,8,71,11047
1145,Brute Bonnet,32,7,-10,-25,-8,15,2087
1146,Flutter Mane,-24,-65,-54,31,28,95,18487
1147,Slither Wing,6,15,-30,-19,-2,41,3207
1148,Sandy Shocks,6,-39,-12,17,-22,61,6195
1149,Iron Treads,11,-8,11,-32,-37,66,7055
1150,Iron Bundle,-23,-40,5,20,-47,96,13979
1151,Iron Hands,75,20,-1,-54,-39,10,10563
1152,Iron Jugulis,15,-40,-23,18,-27,68,8031
1153,Iron Moth,1,-50,-49,36,3,70,11107
1154,Iron Thorns,21,14,1,-34,-23,32,3347
1155,Frigibax,-14,-45,-64,-69,-62,15,15147
1156,Arctibax,11,-25,-43,-59,-42,22,8324
1157,Baxcalibur,36,25,-17,-29,-21,47,5701
1158,Gimmighoul (Chest Form),-34,-90,-39,-29,-37,-30,13887
1159,Gimmighoul (Roaming Form),-34,-90,-84,-29,-62,40,22597
1160,Gholdengo,8,-60,-14,29,-16,44,6893
1161,Wo-Chien,6,-35,-9,-9,28,30,3107
1162,Chien-Pao,1,0,-29,-14,-42,95,11827
1163,Ting-Lu,76,-10,16,-49,-27,5,9287
1164,Chi-Yu,-24,-40,-29,31,13,60,7747
1165,Roaring Moon,26,19,-38,-49,-6,79,11159
1166,Iron Valiant,-5,10,-19,16,-47,76,8727
1167,Koraidon,21,15,6,-19,-7,95,10137
1168,Miraidon,21,-35,-9,31,8,95,11797
