Carolyn LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
982,Drednaw,19,6,-7,-17,-12,-21,1320
983,Yamper,-12,-64,-47,-25,-30,-69,12735
984,Boltund,-2,-19,-37,25,-20,26,3435
985,Rolycoly,-41,-69,-47,-25,-30,-65,14401
986,Carkol,9,-49,-7,-5,-10,-45,4681
987,Coalossal,39,-29,23,15,10,-65,7441
988,Applin,-31,-69,-17,-25,-40,-75,13861
989,Flapple,-1,1,-17,30,-20,-25,2216
990,Appletun,39,-24,-17,35,0,-65,7836
991,Silicobra,-19,-52,-22,-30,-30,-49,7750
992,Sandaconda,1,-2,28,0,-10,-24,1465
993,Cramorant,-1,-24,-42,20,15,-10,3066
994,Arrokuda,-30,-46,-57,-25,-50,-29,10231
995,Barraskewda,-10,14,-37,-5,-30,41,4271
996,Toxel,-31,-71,-62,-11,-45,-55,15017
997,Toxtricity,4,-11,-27,49,-10,-20,3767
998,Sizzlipede,-21,-44,-52,-15,-30,-50,8706
999,Centiskorch,29,6,-32,25,10,-30,3526
1000,Clobbopus,-21,-41,-37,-15,-30,-63,8585
1001,Grapploct,9,9,-7,5,0,-53,3045
1002,Sinistea,-31,-64,-52,9,-26,-45,10543
1003,Polteageist,-11,-44,-32,69,34,-25,9623
1004,Hatenna,-29,-79,-52,-9,-27,-56,13732
1005,Hattrem,-14,-69,-32,21,-7,-46,8587
1006,Hatterene,-14,-19,-2,71,23,-66,10487
1007,Impidimp,-26,-64,-67,-10,-40,-45,12986
1008,Morgrem,-6,-49,-52,10,-25,-25,6491
1009,Grimmsnarl,24,11,-32,30,-5,-35,3871
1010,Obstagoon,22,-19,4,-5,1,0,887
1011,Perrserker,-1,1,3,-15,-20,-45,2661
1012,Cursola,-11,-14,-47,80,50,-65,15651
1013,Sirfetch'd,-9,26,-2,3,2,-30,1674
1014,Mr. Rime,9,-24,-22,45,20,-25,4191
1015,Runerigus,-13,-14,48,-15,25,-65,7744
1016,Milcery,-26,-69,-57,-15,-19,-61,12993
1017,Alcremie,-6,-49,-22,45,41,-31,7588
1018,Falinks,-6,-9,3,5,-20,-20,951
1019,Pincurchin,-23,-8,-2,26,5,-80,7698
1020,Snom,-41,-84,-62,-20,-50,-75,21106
1021,Frosmoth,-1,-44,-37,60,10,-30,7906
1022,Stonjourner,29,16,38,-45,-60,-25,8791
1023,Eiscue (Ice Face),4,-29,13,0,10,-45,3151
1024,Eiscue (Noice Face),4,-29,-27,0,-30,35,3711
1025,Indeedee (Male),-11,-44,-42,40,15,0,5646
1026,Indeedee (Female),-1,-54,-32,30,25,-10,5566
1027,Morpeko,-13,-14,-39,5,-22,2,2399
1028,Cufant,1,-29,-48,-25,-31,-55,7757
1029,Copperajah,51,21,-28,15,-11,-65,8397
1030,Dracozolt,19,-9,-7,15,-10,-20,1216
1031,Arctozolt,19,-9,-7,25,0,-40,2716
1032,Dracovish,19,-19,3,5,0,-20,1156
1033,Arctovish,19,-19,3,15,10,-40,2656
1034,Duraludon,-1,-14,18,55,-30,-10,4546
1035,Dreepy,-43,-49,-67,-25,-50,-13,12033
1036,Drakloak,-3,-29,-47,-5,-30,7,4033
1037,Dragapult,17,11,-22,35,-5,47,4353
1038,Zacian (Hero of Many Battles),21,11,18,15,35,43,4185
1039,Zacian (Crowned Sword),21,41,18,15,35,53,6705
1040,Zamazenta (Hero of Many Battles),21,11,18,15,35,43,4185
1041,Zamazenta (Crowned Shield),21,11,43,15,60,33,7325
1042,Eternatus,69,-24,-2,80,15,35,13191
1043,Eternatus (Eternamax Eternatus),184,6,153,60,170,35,91026
1044,Kubfu,-11,-19,-37,-12,-30,-23,3424
1045,Urshifu,29,21,3,-2,-20,2,1699
1046,Zarude,34,11,8,5,15,10,1691
1047,Regieleki,9,-9,-47,35,-30,105,15521
1048,Regidrago,129,-9,-47,35,-30,-15,21281
1049,Glastrier,29,36,33,0,30,-65,8351
1050,Spectrier,29,-44,-37,80,0,35,11771
1051,Calyrex,29,-29,-17,15,0,-15,2421
1052,Calyrex (Ice Rider Calyrex),29,56,53,20,50,-45,11711
1053,Calyrex (Shadow Rider Calyrex),29,-24,-17,100,20,55,15131
1054,Wyrdeer,32,-4,-25,40,-5,-30,4190
1055,Kleavor,-1,26,-2,-20,-10,-10,1281
1056,Ursaluna,59,31,8,-20,0,-45,6931
1057,Basculegion (Male),49,3,-32,15,-5,-17,3973
1058,Basculegion (Female),49,-17,-32,35,-5,-17,5253
1059,Sneasler,9,21,-37,-25,0,25,3141
1060,Overqwil,14,6,-2,0,-15,-10,561
1061,Enamorus (Incarnate Forme),3,6,-27,70,0,11,5795
1062,Enamorus (Therian Forme),3,6,13,70,20,-49,7915
1063,Sprigatito,-31,-48,-43,-20,-35,-30,7639
1064,Floragato,-10,-29,-34,-5,-17,-12,2555
1065,Meowscarada,5,1,-27,16,-10,28,1895
1066,Fuecoco,-4,-64,-38,-2,-40,-59,10641
1067,Crocalor,10,-54,-19,25,-22,-46,6602
1068,Skeledirge,33,-34,3,45,-5,-29,5145
1069,Quaxly,-16,-44,-52,-15,-35,-45,8371
1070,Quaxwell,-1,-24,-32,0,-20,-30,2901
1071,Quaquaval,14,11,-17,20,-5,-10,1131
1072,Lechonk,-17,-64,-57,-30,-35,-60,13359
1073,Oinkologne (Male),39,-9,-22,-6,0,-30,3022
1074,Oinkologne (Female),44,-19,-27,-6,10,-30,4062
1075,Tarountula,-36,-68,-52,-36,-40,-75,17145
1076,Spidops,-11,-30,-5,-13,6,-60,4851
1077,Nymble,-38,-63,-57,-44,-55,-50,16123
1078,Lokix,0,-7,-19,-13,-25,-3,1213
1079,Pawmi,-26,-59,-77,-25,-55,-35,14961
1080,Pawmo,-11,-34,-57,-15,-40,-10,6451
1081,Pawmot,-1,6,-27,5,-20,10,1291
1082,Tandemaus,-21,-59,-52,-25,-35,-20,8876
1083,Maushold,3,-34,-27,0,-5,16,2175
1084,Fidough,-34,-54,-27,-35,-25,-30,7551
1085,Dachsbun,-14,-29,18,-15,0,0,1586
1086,Smoliv,-30,-74,-52,-7,-29,-65,14195
1087,Dolliv,-19,-56,-37,13,-2,-62,8883
1088,Arboliva,7,-40,-7,60,29,-56,9275
1089,Squawkabilly,11,-13,-46,-20,-29,-3,3656
1090,Nacli,-16,-54,-22,-30,-45,-70,11481
1091,Naclstack,-11,-49,3,-30,-15,-60,7256
1092,Garganacl,29,-9,33,-20,10,-60,6111
1093,Charcadet,-31,-59,-57,-15,-40,-60,13116
1094,Armarouge,14,-49,3,60,0,-20,6606
1095,Ceruledge,4,16,-17,-5,20,-10,1086
1096,Tadbulb,-10,-78,-56,-6,-45,-50,13881
1097,Bellibolt,38,-45,-6,38,3,-50,7458
1098,Wattrel,-31,-69,-62,-10,-40,-25,11891
1099,Kilowattrel,-1,-39,-37,40,-20,30,5791
1100,Maschiff,-11,-31,-37,-25,-29,-44,5853
1101,Mabosstiff,9,11,-7,-5,-10,-10,476
1102,Shroodle,-31,-44,-62,-25,-45,-20,9791
1103,Grafaiai,-8,-14,-32,15,-8,15,1798
1104,Bramblin,-31,-44,-67,-20,-45,-35,11036
1105,Brambleghast,-16,6,-27,15,-10,-5,1371
1106,Toedscool,-31,-69,-62,-15,20,-25,10816
1107,Toedscruel,9,-39,-32,15,40,5,4476
1108,Klawf,-1,-9,18,-30,-25,-20,2331
1109,Capsakid,-21,-47,-57,-3,-40,-45,9533
1110,Scovillain,-6,-1,-32,43,-15,-20,3535
1111,Rellor,-30,-59,-37,-34,-22,-65,11615
1112,Rabsca,4,-59,-12,50,20,-50,9041
1113,Flittle,-41,-74,-67,-10,-50,-20,14646
1114,Espathra,24,-49,-37,36,-20,10,6142
1115,Tinkatink,-21,-64,-52,-30,-16,-37,9766
1116,Tinkatuff,-6,-54,-42,-20,2,-17,5409
1117,Tinkaton,14,-34,-20,5,25,-1,2403
1118,Wiglett,-61,-54,-72,-30,-55,0,15746
1119,Wugtrio,-36,-9,-47,-15,-10,25,4536
1120,Bombirdier,-1,-6,-12,-5,5,-13,400
1121,Finizen,-1,-64,-57,-20,-40,-20,9746
1122,Palafin,29,-39,-25,-12,-18,5,3480
1123,Palafin,29,51,0,41,7,5,5197
1124,Varoom,-26,-39,-34,-35,-35,-48,8107
1125,Revavroom,9,10,-7,-11,-13,-5,545
1126,Cyclizar,-1,-14,-32,20,-15,26,2522
1127,Orthworm,-1,-24,48,-5,-25,-30,4431
1128,Glimmet,-23,-74,-55,40,-20,-35,12255
1129,Glimmora,12,-54,-7,65,1,-9,7416
1130,Greavard,-21,-48,-37,-35,-25,-61,9685
1131,Houndstone,1,-8,3,-15,17,-27,1317
1132,Flamigo,11,6,-23,10,-16,-5,1067
1133,Cetoddle,37,-41,-52,-35,-40,-52,11283
1134,Cetitan,99,4,-32,-20,-25,-22,12350
1135,Veluza,19,-7,-24,13,-15,-25,2005
1136,Dondozo,79,-9,18,0,-15,-60,10471
1137,Tatsugiri,-3,-59,-37,55,15,-13,8278
1138,Annihilape,39,6,-17,-15,10,-5,2196
1139,Clodsire,59,-34,-37,-20,20,-75,12431
1140,Farigiraf,49,-19,-27,45,-10,-35,6841
1141,Dudunsparce,54,-9,-17,20,-5,-40,5311
1142,Kingambit,29,26,23,-5,5,-45,4121
1143,Great Tusk,44,22,34,-12,-27,-8,4513
1144,Scream Tail,44,-44,2,0,35,16,5357
1145,Brute Bonnet,40,18,2,14,19,-40,4085
1146,Flutter Mane,-16,-54,-42,70,55,40,14461
1147,Slither Wing,14,26,-18,20,25,-14,2417
1148,Sandy Shocks,14,-28,0,56,5,6,4177
1149,Iron Treads,19,3,23,7,-10,11,1169
1150,Iron Bundle,-15,-29,17,59,-20,41,6917
1151,Iron Hands,83,31,11,-15,-12,-45,10365
1152,Iron Jugulis,23,-29,-11,57,0,13,4909
1153,Iron Moth,9,-39,-37,75,30,15,9721
1154,Iron Thorns,29,25,13,5,4,-23,2205
1155,Frigibax,-6,-34,-52,-30,-35,-40,7621
1156,Arctibax,19,-14,-31,-20,-15,-33,3232
1157,Baxcalibur,44,36,-5,10,6,-8,3457
1158,Gimmighoul (Chest Form),-26,-79,-27,10,-10,-85,15071
1159,Gimmighoul (Roaming Form),-26,-79,-72,10,-35,-15,13651
1160,Gholdengo,16,-49,-2,68,11,-11,7527
1161,Wo-Chien,14,-24,3,30,55,-25,5331
1162,Chien-Pao,9,11,-17,25,-15,40,2941
1163,Ting-Lu,84,1,28,-10,0,-50,10441
1164,Chi-Yu,-16,-29,-17,70,40,5,7911
1165,Roaring Moon,34,30,-26,-10,21,24,3849
1166,Iron Valiant,3,21,-7,55,-20,21,4365
1167,Koraidon,29,26,18,20,20,40,4241
1168,Miraidon,29,-24,3,70,35,40,9151
