Nathan Snow vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
958,Grookey,-35,-45,-56,-34,-62,-37,12755
959,Thwackey,-15,-25,-36,-19,-42,-22,4755
960,Rillaboom,15,15,-16,-14,-32,-17,2215
961,Scorbunny,-35,-39,-66,-34,-62,-33,13191
962,Raboot,-20,-24,-46,-19,-42,-8,5281
963,Cinderace,-5,6,-31,-9,-27,17,2121
964,Sobble,-35,-70,-66,-4,-62,-32,15365
965,Drizzile,-20,-50,-51,21,-47,-12,8295
966,Inteleon,-15,-25,-41,51,-37,18,6825
967,Skwovet,-15,-55,-51,-39,-67,-77,17790
968,Greedent,35,-15,-11,-19,-27,-82,9385
969,Rookidee,-47,-63,-71,-41,-67,-45,19414
970,Corvisquire,-17,-43,-51,-31,-47,-25,8534
971,Corviknight,13,-23,-1,-21,-17,-35,2654
972,Blipbug,-60,-90,-86,-49,-57,-57,27995
973,Dottler,-35,-75,-26,-24,-12,-72,13430
974,Orbeetle,-25,-65,4,6,18,-12,5370
975,Nickit,-45,-82,-78,-27,-50,-52,20766
976,Thievul,-15,-52,-48,13,-10,-12,5646
977,Gossifleur,-45,-70,-46,-34,-42,-92,20425
978,Eldegoss,-25,-60,-16,6,18,-42,6605
979,Wooloo,-43,-70,-51,-34,-57,-54,16671
980,Dubwool,-13,-30,-6,-14,-12,-14,1641
981,Chewtle,-35,-46,-56,-36,-64,-58,15233
982,Drednaw,5,5,-16,-26,-34,-28,2922
983,Yamper,-26,-65,-56,-34,-52,-76,17673
984,Boltund,-16,-20,-46,16,-42,19,5153
985,Rolycoly,-55,-70,-56,-34,-52,-72,20105
986,Carkol,-5,-50,-16,-14,-32,-52,6705
987,Coalossal,25,-30,14,6,-12,-72,7085
988,Applin,-45,-70,-26,-34,-62,-82,19325
989,Flapple,-15,0,-26,21,-42,-32,4130
990,Appletun,25,-25,-26,26,-22,-72,8270
991,Silicobra,-33,-53,-31,-39,-52,-56,12220
992,Sandaconda,-13,-3,19,-9,-32,-31,2605
993,Cramorant,-15,-25,-51,11,-7,-17,3910
994,Arrokuda,-44,-47,-66,-34,-72,-36,16137
995,Barraskewda,-24,13,-46,-14,-52,34,6917
996,Toxel,-45,-72,-71,-20,-67,-62,20983
997,Toxtricity,-10,-12,-36,40,-32,-27,4893
998,Sizzlipede,-35,-45,-61,-24,-52,-57,13500
999,Centiskorch,15,5,-41,16,-12,-37,3700
1000,Clobbopus,-35,-42,-46,-24,-52,-70,13285
1001,Grapploct,-5,8,-16,-4,-22,-60,4445
1002,Sinistea,-45,-65,-61,0,-48,-52,14979
1003,Polteageist,-25,-45,-41,60,12,-32,9099
1004,Hatenna,-43,-80,-61,-18,-49,-63,18664
1005,Hattrem,-28,-70,-41,12,-29,-53,11159
1006,Hatterene,-28,-20,-11,62,1,-73,10479
1007,Impidimp,-40,-65,-76,-19,-62,-52,18510
1008,Morgrem,-20,-50,-61,1,-47,-32,9855
1009,Grimmsnarl,10,10,-41,21,-27,-42,4815
1010,Obstagoon,8,-20,-5,-14,-21,-7,1175
1011,Perrserker,-15,0,-6,-24,-42,-52,5305
1012,Cursola,-25,-15,-56,71,28,-72,14995
1013,Sirfetch'd,-23,25,-11,-6,-20,-37,3080
1014,Mr. Rime,-5,-25,-31,36,-2,-32,3935
1015,Runerigus,-27,-15,39,-24,3,-72,8244
1016,Milcery,-40,-70,-66,-24,-41,-68,17737
1017,Alcremie,-20,-50,-31,36,19,-38,6962
1018,Falinks,-20,-10,-6,-4,-42,-27,3045
1019,Pincurchin,-37,-9,-11,17,-17,-87,9718
1020,Snom,-55,-85,-71,-29,-72,-82,28040
1021,Frosmoth,-15,-45,-46,51,-12,-37,8480
1022,Stonjourner,15,15,29,-54,-82,-32,11955
1023,Eiscue (Ice Face),-10,-30,4,-9,-12,-52,3945
1024,Eiscue (Noice Face),-10,-30,-36,-9,-52,28,5865
1025,Indeedee (Male),-25,-45,-51,31,-7,-7,6310
1026,Indeedee (Female),-15,-55,-41,21,3,-17,5670
1027,Morpeko,-27,-15,-48,-4,-44,-5,5235
1028,Cufant,-13,-30,-57,-34,-53,-62,12127
1029,Copperajah,37,20,-37,6,-33,-72,9447
1030,Dracozolt,5,-10,-16,6,-32,-27,2170
1031,Arctozolt,5,-10,-16,16,-22,-47,3330
1032,Dracovish,5,-20,-6,-4,-22,-27,1690
1033,Arctovish,5,-20,-6,6,-12,-47,2850
1034,Duraludon,-15,-15,9,46,-52,-17,5640
1035,Dreepy,-57,-50,-76,-34,-72,-20,18265
1036,Drakloak,-17,-30,-56,-14,-52,0,7225
1037,Dragapult,3,10,-31,26,-27,40,4075
1038,Zacian (Hero of Many Battles),7,10,9,6,13,36,1731
1039,Zacian (Crowned Sword),7,40,9,6,13,46,4051
1040,Zamazenta (Hero of Many Battles),7,10,9,6,13,36,1731
1041,Zamazenta (Crowned Shield),7,10,34,6,38,26,3461
1042,Eternatus,55,-25,-11,71,-7,28,9645
1043,Eternatus (Eternamax Eternatus),170,5,144,51,148,28,74950
1044,Kubfu,-25,-20,-46,-21,-52,-30,7186
1045,Urshifu,15,20,-6,-11,-42,-5,2571
1046,Zarude,20,10,-1,-4,-7,3,575
1047,Regieleki,-5,-10,-56,26,-52,98,16245
1048,Regidrago,115,-10,-56,26,-52,-22,20325
1049,Glastrier,15,35,24,-9,8,-72,7355
1050,Spectrier,15,-45,-46,71,-22,28,10675
1051,Calyrex,15,-30,-26,6,-22,-22,2805
1052,Calyrex (Ice Rider Calyrex),15,55,44,11,28,-52,8795
1053,Calyrex (Shadow Rider Calyrex),15,-25,-26,91,-2,48,12115
1054,Wyrdeer,18,-5,-34,31,-27,-37,4564
1055,Kleavor,-15,25,-11,-29,-32,-17,3125
1056,Ursaluna,45,30,-1,-29,-22,-52,6955
1057,Basculegion (Male),35,2,-41,6,-27,-24,4251
1058,Basculegion (Female),35,-18,-41,26,-27,-24,5211
1059,Sneasler,-5,20,-46,-34,-22,18,4505
1060,Overqwil,0,5,-11,-9,-37,-17,1885
1061,Enamorus (Incarnate Forme),-11,5,-36,61,-22,4,5663
1062,Enamorus (Therian Forme),-11,5,4,61,-2,-56,7023
1063,Sprigatito,-45,-49,-52,-29,-57,-37,12589
1064,Floragato,-24,-30,-43,-14,-39,-19,5403
1065,Meowscarada,-9,0,-36,7,-32,21,2891
1066,Fuecoco,-18,-65,-47,-11,-62,-66,15079
1067,Crocalor,-4,-55,-28,16,-44,-53,8826
1068,Skeledirge,19,-35,-6,36,-27,-36,4943
1069,Quaxly,-30,-45,-61,-24,-57,-52,13175
1070,Quaxwell,-15,-25,-41,-9,-42,-37,5745
1071,Quaquaval,0,10,-26,11,-27,-17,1915
1072,Lechonk,-31,-65,-66,-39,-57,-67,18801
1073,Oinkologne (Male),25,-10,-31,-15,-22,-37,3764
1074,Oinkologne (Female),30,-20,-36,-15,-12,-37,4334
1075,Tarountula,-50,-69,-61,-45,-62,-82,23575
1076,Spidops,-25,-31,-14,-22,-16,-67,7011
1077,Nymble,-52,-64,-66,-53,-77,-57,23143
1078,Lokix,-14,-8,-28,-22,-47,-10,3837
1079,Pawmi,-40,-60,-86,-34,-77,-42,21445
1080,Pawmo,-25,-35,-66,-24,-62,-17,10915
1081,Pawmot,-15,5,-36,-4,-42,3,3335
1082,Tandemaus,-35,-60,-61,-34,-57,-27,13680
1083,Maushold,-11,-35,-36,-9,-27,9,3533
1084,Fidough,-48,-55,-36,-44,-47,-37,12139
1085,Dachsbun,-28,-30,9,-24,-22,-7,2874
1086,Smoliv,-44,-75,-61,-16,-51,-72,19323
1087,Dolliv,-33,-57,-46,4,-24,-69,11807
1088,Arboliva,-7,-41,-16,51,7,-63,8605
1089,Squawkabilly,-3,-14,-55,-29,-51,-10,6772
1090,Nacli,-30,-55,-31,-39,-67,-77,16825
1091,Naclstack,-25,-50,-6,-39,-37,-67,10540
1092,Garganacl,15,-10,24,-29,-12,-67,6375
1093,Charcadet,-45,-60,-66,-24,-62,-67,18890
1094,Armarouge,0,-50,-6,51,-22,-27,6350
1095,Ceruledge,-10,15,-26,-14,-2,-17,1490
1096,Tadbulb,-24,-79,-65,-15,-67,-57,19005
1097,Bellibolt,24,-46,-15,29,-19,-57,7368
1098,Wattrel,-45,-70,-71,-19,-62,-32,17195
1099,Kilowattrel,-15,-40,-46,31,-42,23,7195
1100,Maschiff,-25,-32,-46,-34,-51,-51,10123
1101,Mabosstiff,-5,10,-16,-14,-32,-17,1890
1102,Shroodle,-45,-45,-71,-34,-67,-27,15465
1103,Grafaiai,-22,-15,-41,6,-30,8,3390
1104,Bramblin,-45,-45,-76,-29,-67,-42,16920
1105,Brambleghast,-30,5,-36,6,-32,-12,3425
1106,Toedscool,-45,-70,-71,-24,-2,-32,13570
1107,Toedscruel,-5,-40,-41,6,18,-2,3670
1108,Klawf,-15,-10,9,-39,-47,-27,4865
1109,Capsakid,-35,-48,-66,-12,-62,-52,14577
1110,Scovillain,-20,-2,-41,34,-37,-27,5339
1111,Rellor,-44,-60,-46,-43,-44,-72,16621
1112,Rabsca,-10,-60,-21,41,-2,-57,9075
1113,Flittle,-55,-75,-76,-19,-72,-27,20700
1114,Espathra,10,-50,-46,27,-42,3,7218
1115,Tinkatink,-35,-65,-61,-39,-38,-44,14072
1116,Tinkatuff,-20,-55,-51,-29,-20,-24,7843
1117,Tinkaton,0,-35,-29,-4,3,-8,2155
1118,Wiglett,-75,-55,-81,-39,-77,-7,22710
1119,Wugtrio,-50,-10,-56,-24,-32,18,7660
1120,Bombirdier,-15,-7,-21,-14,-17,-20,1600
1121,Finizen,-15,-65,-66,-29,-62,-27,14220
1122,Palafin,15,-40,-34,-21,-40,-2,5026
1123,Palafin,15,50,-9,32,-15,-2,4059
1124,Varoom,-40,-40,-43,-44,-57,-55,13259
1125,Revavroom,-5,9,-16,-20,-35,-12,2131
1126,Cyclizar,-15,-15,-41,11,-37,19,3982
1127,Orthworm,-15,-25,39,-14,-47,-37,6145
1128,Glimmet,-37,-75,-64,31,-42,-42,15579
1129,Glimmora,-2,-55,-16,56,-21,-16,7118
1130,Greavard,-35,-49,-46,-44,-47,-68,14511
1131,Houndstone,-13,-9,-6,-24,-5,-34,2043
1132,Flamigo,-3,5,-32,1,-38,-12,2647
1133,Cetoddle,23,-42,-61,-44,-62,-59,15275
1134,Cetitan,85,3,-41,-29,-47,-29,12806
1135,Veluza,5,-8,-33,4,-37,-32,3587
1136,Dondozo,65,-10,9,-9,-37,-67,10345
1137,Tatsugiri,-17,-60,-46,46,-7,-20,8570
1138,Annihilape,25,5,-26,-24,-12,-12,2190
1139,Clodsire,45,-35,-46,-29,-2,-82,12935
1140,Farigiraf,35,-20,-36,36,-32,-42,7005
1141,Dudunsparce,40,-10,-26,11,-27,-47,5435
1142,Kingambit,15,25,14,-14,-17,-52,4235
1143,Great Tusk,30,21,25,-21,-49,-15,5033
1144,Scream Tail,30,-45,-7,-9,13,9,3305
1145,Brute Bonnet,26,17,-7,5,-3,-47,3257
1146,Flutter Mane,-30,-55,-51,61,33,33,12425
1147,Slither Wing,0,25,-27,11,3,-21,1925
1148,Sandy Shocks,0,-29,-9,47,-17,-1,3421
1149,Iron Treads,5,2,14,-2,-32,4,1269
1150,Iron Bundle,-29,-30,8,50,-42,34,7225
1151,Iron Hands,69,30,2,-24,-34,-52,10101
1152,Iron Jugulis,9,-30,-20,48,-22,6,4205
1153,Iron Moth,-5,-40,-46,66,8,8,8225
1154,Iron Thorns,15,24,4,-4,-18,-30,2057
1155,Frigibax,-20,-35,-61,-39,-57,-47,12325
1156,Arctibax,5,-15,-40,-29,-37,-40,5660
1157,Baxcalibur,30,35,-14,1,-16,-15,2803
1158,Gimmighoul (Chest Form),-40,-80,-36,1,-32,-92,18785
1159,Gimmighoul (Roaming Form),-40,-80,-81,1,-57,-22,18295
1160,Gholdengo,2,-50,-11,59,-11,-18,6551
1161,Wo-Chien,0,-25,-6,21,33,-32,3215
1162,Chien-Pao,-5,10,-26,16,-37,33,3515
1163,Ting-Lu,70,0,19,-19,-22,-57,9355
1164,Chi-Yu,-30,-30,-26,61,18,-2,6525
1165,Roaring Moon,20,29,-35,-19,-1,17,3117
1166,Iron Valiant,-11,20,-16,46,-42,14,4853
1167,Koraidon,15,25,9,11,-2,33,2145
1168,Miraidon,15,-25,-6,61,13,33,5865
