Milen Satish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
958,Grookey,-31,-44,-62,-34,-61,-35,12843
959,Thwackey,-11,-24,-42,-19,-41,-20,4903
960,Rillaboom,19,16,-22,-14,-31,-15,2483
961,Scorbunny,-31,-38,-72,-34,-61,-31,13427
962,Raboot,-16,-23,-52,-19,-41,-6,5567
963,Cinderace,-1,7,-37,-9,-26,19,2537
964,Sobble,-31,-69,-72,-4,-61,-30,15543
965,Drizzile,-16,-49,-57,21,-46,-10,8563
966,Inteleon,-11,-24,-47,51,-36,20,7203
967,Skwovet,-11,-54,-57,-39,-66,-75,17788
968,Greedent,39,-14,-17,-19,-26,-80,9443
969,Rookidee,-43,-62,-77,-41,-66,-43,19508
970,Corvisquire,-13,-42,-57,-31,-46,-23,8788
971,Corviknight,17,-22,-7,-21,-16,-33,2608
972,Blipbug,-56,-89,-92,-49,-56,-55,28083
973,Dottler,-31,-74,-32,-24,-11,-70,13058
974,Orbeetle,-21,-64,-2,6,19,-10,5038
975,Nickit,-41,-81,-84,-27,-49,-50,20928
976,Thievul,-11,-51,-54,13,-9,-10,5988
977,Gossifleur,-41,-69,-52,-34,-41,-90,20083
978,Eldegoss,-21,-59,-22,6,19,-40,6403
979,Wooloo,-39,-69,-57,-34,-56,-52,16527
980,Dubwool,-9,-29,-12,-14,-11,-12,1527
981,Chewtle,-31,-45,-62,-36,-63,-56,15231
982,Drednaw,9,6,-22,-26,-33,-26,3042
983,Yamper,-22,-64,-62,-34,-51,-74,17657
984,Boltund,-12,-19,-52,16,-41,21,5587
985,Rolycoly,-51,-69,-62,-34,-51,-70,19863
986,Carkol,-1,-49,-22,-14,-31,-50,6543
987,Coalossal,29,-29,8,6,-11,-70,6803
988,Applin,-41,-69,-32,-34,-61,-80,18743
989,Flapple,-11,1,-32,21,-41,-30,4168
990,Appletun,29,-24,-32,26,-21,-70,8458
991,Silicobra,-29,-52,-37,-39,-51,-54,11952
992,Sandaconda,-9,-2,13,-9,-31,-29,2137
993,Cramorant,-11,-24,-57,11,-6,-15,4328
994,Arrokuda,-40,-46,-72,-34,-71,-34,16253
995,Barraskewda,-20,14,-52,-14,-51,36,7393
996,Toxel,-41,-71,-77,-20,-66,-60,21007
997,Toxtricity,-6,-11,-42,40,-31,-25,5107
998,Sizzlipede,-31,-44,-67,-24,-51,-55,13588
999,Centiskorch,19,6,-47,16,-11,-35,4208
1000,Clobbopus,-31,-41,-52,-24,-51,-68,13147
1001,Grapploct,-1,9,-22,-4,-21,-58,4387
1002,Sinistea,-41,-64,-67,0,-47,-50,14975
1003,Polteageist,-21,-44,-47,60,13,-30,9255
1004,Hatenna,-39,-79,-67,-18,-48,-61,18600
1005,Hattrem,-24,-69,-47,12,-28,-51,11075
1006,Hatterene,-24,-19,-17,62,2,-71,10115
1007,Impidimp,-36,-64,-82,-19,-61,-50,18698
1008,Morgrem,-16,-49,-67,1,-46,-30,10163
1009,Grimmsnarl,14,11,-47,21,-26,-40,5243
1010,Obstagoon,12,-19,-11,-14,-20,-5,1247
1011,Perrserker,-11,1,-12,-24,-41,-50,5023
1012,Cursola,-21,-14,-62,71,29,-70,15263
1013,Sirfetch'd,-19,26,-17,-6,-19,-35,2948
1014,Mr. Rime,-1,-24,-37,36,-1,-30,4143
1015,Runerigus,-23,-14,33,-24,4,-70,7306
1016,Milcery,-36,-69,-72,-24,-40,-66,17773
1017,Alcremie,-16,-49,-37,36,20,-36,7018
1018,Falinks,-16,-9,-12,-4,-41,-25,2803
1019,Pincurchin,-33,-8,-17,17,-16,-85,9212
1020,Snom,-51,-84,-77,-29,-71,-80,27868
1021,Frosmoth,-11,-44,-52,51,-11,-35,8708
1022,Stonjourner,19,16,23,-54,-81,-30,11523
1023,Eiscue (Ice Face),-6,-29,-2,-9,-11,-50,3583
1024,Eiscue (Noice Face),-6,-29,-42,-9,-51,30,6223
1025,Indeedee (Male),-21,-44,-57,31,-6,-5,6648
1026,Indeedee (Female),-11,-54,-47,21,4,-15,5928
1027,Morpeko,-23,-14,-54,-4,-43,-3,5515
1028,Cufant,-9,-29,-63,-34,-52,-60,12351
1029,Copperajah,41,21,-43,6,-32,-70,9931
1030,Dracozolt,9,-9,-22,6,-31,-25,2268
1031,Arctozolt,9,-9,-22,16,-21,-45,3368
1032,Dracovish,9,-19,-12,-4,-21,-25,1668
1033,Arctovish,9,-19,-12,6,-11,-45,2768
1034,Duraludon,-11,-14,3,46,-51,-15,5268
1035,Dreepy,-53,-49,-82,-34,-71,-18,18455
1036,Drakloak,-13,-29,-62,-14,-51,2,7655
1037,Dragapult,7,11,-37,26,-26,42,4655
1038,Zacian (Hero of Many Battles),11,11,3,6,14,38,1927
1039,Zacian (Crowned Sword),11,41,3,6,14,48,4347
1040,Zamazenta (Hero of Many Battles),11,11,3,6,14,38,1927
1041,Zamazenta (Crowned Shield),11,11,28,6,39,28,3367
1042,Eternatus,59,-24,-17,71,-6,30,10323
1043,Eternatus (Eternamax Eternatus),174,6,138,51,149,30,75058
1044,Kubfu,-21,-19,-52,-21,-51,-28,7332
1045,Urshifu,19,21,-12,-11,-41,-3,2757
1046,Zarude,24,11,-7,-4,-6,5,823
1047,Regieleki,-1,-9,-62,26,-51,100,17203
1048,Regidrago,119,-9,-62,26,-51,-20,21763
1049,Glastrier,19,36,18,-9,9,-70,7043
1050,Spectrier,19,-44,-52,71,-21,30,11383
1051,Calyrex,19,-29,-32,6,-21,-20,3103
1052,Calyrex (Ice Rider Calyrex),19,56,38,11,29,-50,8403
1053,Calyrex (Shadow Rider Calyrex),19,-24,-32,91,-1,50,12743
1054,Wyrdeer,22,-4,-40,31,-26,-35,4962
1055,Kleavor,-11,26,-17,-29,-31,-15,3113
1056,Ursaluna,49,31,-7,-29,-21,-50,7193
1057,Basculegion (Male),39,3,-47,6,-26,-22,4935
1058,Basculegion (Female),39,-17,-47,26,-26,-22,5855
1059,Sneasler,-1,21,-52,-34,-21,20,5143
1060,Overqwil,4,6,-17,-9,-36,-15,1943
1061,Enamorus (Incarnate Forme),-7,6,-42,61,-21,6,6047
1062,Enamorus (Therian Forme),-7,6,-2,61,-1,-54,6727
1063,Sprigatito,-41,-48,-58,-29,-56,-35,12551
1064,Floragato,-20,-29,-49,-14,-38,-17,5571
1065,Meowscarada,-5,1,-42,7,-31,23,3329
1066,Fuecoco,-14,-64,-53,-11,-61,-64,15039
1067,Crocalor,0,-54,-34,16,-43,-51,8778
1068,Skeledirge,23,-34,-12,36,-26,-34,4957
1069,Quaxly,-26,-44,-67,-24,-56,-50,13313
1070,Quaxwell,-11,-24,-47,-9,-41,-35,5893
1071,Quaquaval,4,11,-32,11,-26,-15,2183
1072,Lechonk,-27,-64,-72,-39,-56,-65,18891
1073,Oinkologne (Male),29,-9,-37,-15,-21,-35,4182
1074,Oinkologne (Female),34,-19,-42,-15,-11,-35,4852
1075,Tarountula,-46,-68,-67,-45,-61,-80,23375
1076,Spidops,-21,-30,-20,-22,-15,-65,6675
1077,Nymble,-48,-63,-72,-53,-76,-55,23067
1078,Lokix,-10,-7,-34,-22,-46,-8,3969
1079,Pawmi,-36,-59,-92,-34,-76,-40,21773
1080,Pawmo,-21,-34,-72,-24,-61,-15,11303
1081,Pawmot,-11,6,-42,-4,-41,5,3643
1082,Tandemaus,-31,-59,-67,-34,-56,-25,13848
1083,Maushold,-7,-34,-42,-9,-26,11,3847
1084,Fidough,-44,-54,-42,-44,-46,-35,11893
1085,Dachsbun,-24,-29,3,-24,-21,-5,2468
1086,Smoliv,-40,-74,-67,-16,-50,-70,19221
1087,Dolliv,-29,-56,-52,4,-23,-67,11715
1088,Arboliva,-3,-40,-22,51,8,-61,8479
1089,Squawkabilly,1,-13,-61,-29,-50,-8,7296
1090,Nacli,-26,-54,-37,-39,-66,-75,16463
1091,Naclstack,-21,-49,-12,-39,-36,-65,10028
1092,Garganacl,19,-9,18,-29,-11,-65,5953
1093,Charcadet,-41,-59,-72,-24,-61,-65,18868
1094,Armarouge,4,-49,-12,51,-21,-25,6228
1095,Ceruledge,-6,16,-32,-14,-1,-15,1738
1096,Tadbulb,-20,-78,-71,-15,-66,-55,19131
1097,Bellibolt,28,-45,-21,29,-18,-55,7440
1098,Wattrel,-41,-69,-77,-19,-61,-30,17353
1099,Kilowattrel,-11,-39,-52,31,-41,25,7613
1100,Maschiff,-21,-31,-52,-34,-50,-49,10163
1101,Mabosstiff,-1,11,-22,-14,-31,-15,1988
1102,Shroodle,-41,-44,-77,-34,-66,-25,15683
1103,Grafaiai,-18,-14,-47,6,-29,10,3706
1104,Bramblin,-41,-44,-82,-29,-66,-40,17138
1105,Brambleghast,-26,6,-42,6,-31,-10,3573
1106,Toedscool,-41,-69,-77,-24,-1,-30,13848
1107,Toedscruel,-1,-39,-47,6,19,0,4128
1108,Klawf,-11,-9,3,-39,-46,-25,4473
1109,Capsakid,-31,-47,-72,-12,-61,-50,14719
1110,Scovillain,-16,-1,-47,34,-36,-25,5543
1111,Rellor,-40,-59,-52,-43,-43,-70,16383
1112,Rabsca,-6,-59,-27,41,-1,-55,8953
1113,Flittle,-51,-74,-82,-19,-71,-25,20828
1114,Espathra,14,-49,-52,27,-41,5,7736
1115,Tinkatink,-31,-64,-67,-39,-37,-42,14200
1116,Tinkatuff,-16,-54,-57,-29,-19,-22,8107
1117,Tinkaton,4,-34,-35,-4,4,-6,2465
1118,Wiglett,-71,-54,-87,-39,-76,-5,22848
1119,Wugtrio,-46,-9,-62,-24,-31,20,7978
1120,Bombirdier,-11,-6,-27,-14,-16,-18,1662
1121,Finizen,-11,-64,-72,-29,-61,-25,14588
1122,Palafin,19,-39,-40,-21,-39,0,5444
1123,Palafin,19,51,-15,32,-14,0,4407
1124,Varoom,-36,-39,-49,-44,-56,-53,13099
1125,Revavroom,-1,10,-22,-20,-34,-10,2241
1126,Cyclizar,-11,-14,-47,11,-36,21,4384
1127,Orthworm,-11,-24,33,-14,-46,-35,5323
1128,Glimmet,-33,-74,-70,31,-41,-40,15707
1129,Glimmora,2,-54,-22,56,-20,-14,7136
1130,Greavard,-31,-48,-52,-44,-46,-66,14377
1131,Houndstone,-9,-8,-12,-24,-4,-32,1905
1132,Flamigo,1,6,-38,1,-37,-10,2951
1133,Cetoddle,27,-41,-67,-44,-61,-57,15805
1134,Cetitan,89,4,-47,-29,-46,-27,13832
1135,Veluza,9,-7,-39,4,-36,-30,3863
1136,Dondozo,69,-9,3,-9,-36,-65,10453
1137,Tatsugiri,-13,-59,-52,46,-6,-18,8830
1138,Annihilape,29,6,-32,-24,-11,-10,2698
1139,Clodsire,49,-34,-52,-29,-1,-80,13503
1140,Farigiraf,39,-19,-42,36,-31,-40,7503
1141,Dudunsparce,44,-9,-32,11,-26,-45,5863
1142,Kingambit,19,26,8,-14,-16,-50,4053
1143,Great Tusk,34,22,19,-21,-48,-13,4915
1144,Scream Tail,34,-44,-13,-9,14,11,3659
1145,Brute Bonnet,30,18,-13,5,-2,-45,3447
1146,Flutter Mane,-26,-54,-57,61,34,35,12943
1147,Slither Wing,4,26,-33,11,4,-19,2279
1148,Sandy Shocks,4,-28,-15,47,-16,1,3491
1149,Iron Treads,9,3,8,-2,-31,6,1155
1150,Iron Bundle,-25,-29,2,50,-41,36,6947
1151,Iron Hands,73,31,-4,-24,-33,-50,10471
1152,Iron Jugulis,13,-29,-26,48,-21,8,4495
1153,Iron Moth,-1,-39,-52,66,9,10,8763
1154,Iron Thorns,19,25,-2,-4,-17,-28,2079
1155,Frigibax,-16,-34,-67,-39,-56,-45,12583
1156,Arctibax,9,-14,-46,-29,-36,-38,5974
1157,Baxcalibur,34,36,-20,1,-15,-13,3247
1158,Gimmighoul (Chest Form),-36,-79,-42,1,-31,-90,18363
1159,Gimmighoul (Roaming Form),-36,-79,-87,1,-56,-20,18643
1160,Gholdengo,6,-49,-17,59,-10,-16,6563
1161,Wo-Chien,4,-24,-12,21,34,-30,3233
1162,Chien-Pao,-1,11,-32,16,-36,35,3923
1163,Ting-Lu,74,1,13,-19,-21,-55,9473
1164,Chi-Yu,-26,-29,-32,61,19,0,6623
1165,Roaring Moon,24,30,-41,-19,0,19,3879
1166,Iron Valiant,-7,21,-22,46,-41,16,5027
1167,Koraidon,19,26,3,11,-1,35,2393
1168,Miraidon,19,-24,-12,61,14,35,6223
