Kristian Banlaoi vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
1015,Runerigus,18,-16,85,-10,4,-48,10225
1016,Milcery,5,-71,-20,-10,-40,-44,9102
1017,Alcremie,25,-51,15,50,20,-14,6547
1018,Falinks,25,-11,40,10,-41,-3,4136
1019,Pincurchin,8,-10,35,31,-16,-63,6575
1020,Snom,-10,-86,-25,-15,-71,-58,16751
1021,Frosmoth,30,-46,0,65,-11,-13,7531
1022,Stonjourner,60,14,75,-40,-81,-8,17646
1023,Eiscue (Ice Face),35,-31,50,5,-11,-28,5616
1024,Eiscue (Noice Face),35,-31,10,5,-51,52,7616
1025,Indeedee (Male),20,-46,-5,45,-6,17,4891
1026,Indeedee (Female),30,-56,5,35,4,7,5351
1027,Morpeko,18,-16,-2,10,-43,19,2894
1028,Cufant,32,-31,-11,-20,-52,-38,6654
1029,Copperajah,82,19,9,20,-32,-48,10894
1030,Dracozolt,50,-11,30,20,-31,-3,4891
1031,Arctozolt,50,-11,30,30,-21,-23,5391
1032,Dracovish,50,-21,40,10,-21,-3,5091
1033,Arctovish,50,-21,40,20,-11,-23,5591
1034,Duraludon,30,-16,55,60,-51,7,10431
1035,Dreepy,-12,-51,-30,-20,-71,4,9102
1036,Drakloak,28,-31,-10,0,-51,24,5022
1037,Dragapult,48,9,15,40,-26,64,8982
1038,Zacian (Hero of Many Battles),52,9,55,20,14,60,10006
1039,Zacian (Crowned Sword),52,39,55,20,14,70,12746
1040,Zamazenta (Hero of Many Battles),52,9,55,20,14,60,10006
1041,Zamazenta (Crowned Shield),52,9,80,20,39,50,13606
1042,Eternatus,100,-26,35,85,-6,52,21866
1043,Eternatus (Eternamax Eternatus),215,4,190,65,149,52,111471
1044,Kubfu,20,-21,0,-7,-51,-6,3527
1045,Urshifu,60,19,40,3,-41,19,7612
1046,Zarude,65,9,45,10,-6,27,7196
1047,Regieleki,40,-11,-10,40,-51,122,20906
1048,Regidrago,160,-11,-10,40,-51,2,30026
1049,Glastrier,60,34,70,5,9,-48,12066
1050,Spectrier,60,-46,0,85,-21,52,16086
1051,Calyrex,60,-31,20,20,-21,2,5806
1052,Calyrex (Ice Rider Calyrex),60,54,90,25,29,-28,16866
1053,Calyrex (Shadow Rider Calyrex),60,-26,20,105,-1,72,20886
1054,Wyrdeer,63,-6,12,45,-26,-13,7019
1055,Kleavor,30,24,35,-15,-31,7,3936
1056,Ursaluna,90,29,45,-15,-21,-28,12416
1057,Basculegion (Male),80,1,5,20,-26,0,7502
1058,Basculegion (Female),80,-19,5,40,-26,0,9062
1059,Sneasler,40,19,0,-20,-21,42,4566
1060,Overqwil,45,4,35,5,-36,7,4636
1061,Enamorus (Incarnate Forme),34,4,10,75,-21,28,8122
1062,Enamorus (Therian Forme),34,4,50,75,-1,-32,10322
1063,Sprigatito,0,-50,-6,-15,-56,-13,6066
1064,Floragato,21,-31,3,0,-38,5,2880
1065,Meowscarada,36,-1,10,21,-31,45,4824
1066,Fuecoco,27,-66,-1,3,-61,-42,10580
1067,Crocalor,41,-56,18,30,-43,-29,8731
1068,Skeledirge,64,-36,40,50,-26,-12,10312
1069,Quaxly,15,-46,-15,-10,-56,-28,6586
1070,Quaxwell,30,-26,5,5,-41,-13,3476
1071,Quaquaval,45,9,20,25,-26,7,3856
1072,Lechonk,14,-66,-20,-25,-56,-43,10562
1073,Oinkologne (Male),70,-11,15,-1,-21,-13,5857
1074,Oinkologne (Female),75,-21,10,-1,-11,-13,6457
1075,Tarountula,-5,-70,-15,-31,-61,-58,13196
1076,Spidops,20,-32,32,-8,-15,-43,4586
1077,Nymble,-7,-65,-20,-39,-76,-33,13060
1078,Lokix,31,-9,18,-8,-46,14,3742
1079,Pawmi,5,-61,-40,-20,-76,-18,11846
1080,Pawmo,20,-36,-20,-10,-61,7,5966
1081,Pawmot,30,4,10,10,-41,27,3526
1082,Tandemaus,10,-61,-15,-20,-56,-3,7591
1083,Maushold,34,-36,10,5,-26,33,4342
1084,Fidough,-3,-56,10,-30,-46,-13,6430
1085,Dachsbun,17,-31,55,-10,-21,17,5105
1086,Smoliv,1,-76,-15,-2,-50,-48,10810
1087,Dolliv,12,-58,0,18,-23,-45,6386
1088,Arboliva,38,-42,30,65,8,-39,9918
1089,Squawkabilly,42,-15,-9,-15,-50,14,4991
1090,Nacli,15,-56,15,-25,-66,-53,11376
1091,Naclstack,20,-51,40,-25,-36,-43,8371
1092,Garganacl,60,-11,70,-15,-11,-43,10816
1093,Charcadet,0,-61,-20,-10,-61,-43,9791
1094,Armarouge,45,-51,40,65,-21,-3,10901
1095,Ceruledge,35,14,20,0,-1,7,1871
1096,Tadbulb,21,-80,-19,-1,-66,-33,12648
1097,Bellibolt,69,-47,31,43,-18,-33,11193
1098,Wattrel,0,-71,-25,-5,-61,-8,9476
1099,Kilowattrel,30,-41,0,45,-41,47,8496
1100,Maschiff,20,-33,0,-20,-50,-27,5118
1101,Mabosstiff,40,9,30,0,-31,7,3591
1102,Shroodle,0,-46,-25,-20,-66,-3,7506
1103,Grafaiai,23,-16,5,20,-29,32,3075
1104,Bramblin,0,-46,-30,-15,-66,-18,7921
1105,Brambleghast,15,4,10,20,-31,12,1846
1106,Toedscool,0,-71,-25,-10,-1,-8,5831
1107,Toedscruel,40,-41,5,20,19,22,4551
1108,Klawf,30,-11,55,-25,-46,-3,6796
1109,Capsakid,10,-49,-20,2,-61,-28,7410
1110,Scovillain,25,-3,5,48,-36,-3,4268
1111,Rellor,1,-61,0,-29,-43,-48,8716
1112,Rabsca,35,-61,25,55,-1,-33,9686
1113,Flittle,-10,-76,-30,-5,-71,-3,11851
1114,Espathra,55,-51,0,41,-41,27,9717
1115,Tinkatink,10,-66,-15,-25,-37,-20,7075
1116,Tinkatuff,25,-56,-5,-15,-19,0,4372
1117,Tinkaton,45,-36,17,10,4,16,3982
1118,Wiglett,-30,-56,-35,-25,-76,17,11951
1119,Wugtrio,-5,-11,-10,-10,-31,42,3071
1120,Bombirdier,30,-8,25,0,-16,4,1861
1121,Finizen,30,-66,-20,-15,-61,-3,9611
1122,Palafin,60,-41,12,-7,-39,22,7479
1123,Palafin,60,49,37,46,-14,22,10166
1124,Varoom,5,-41,3,-30,-56,-31,6712
1125,Revavroom,40,8,30,-6,-34,12,3900
1126,Cyclizar,30,-16,5,25,-36,43,4951
1127,Orthworm,30,-26,85,0,-46,-13,11086
1128,Glimmet,8,-76,-18,45,-41,-18,10194
1129,Glimmora,43,-56,30,70,-20,8,11249
1130,Greavard,10,-50,0,-30,-46,-44,7552
1131,Houndstone,32,-10,40,-10,-4,-10,2940
1132,Flamigo,42,4,14,15,-37,12,3714
1133,Cetoddle,68,-43,-15,-30,-61,-35,12544
1134,Cetitan,130,2,5,-15,-46,-5,19295
1135,Veluza,50,-9,13,18,-36,-8,4434
1136,Dondozo,110,-11,55,5,-36,-43,18416
1137,Tatsugiri,28,-61,0,60,-6,4,8157
1138,Annihilape,70,4,20,-10,-11,12,5681
1139,Clodsire,90,-36,0,-15,-1,-58,12986
1140,Farigiraf,80,-21,10,50,-31,-18,10726
1141,Dudunsparce,85,-11,20,25,-26,-23,9576
1142,Kingambit,60,24,60,0,-16,-28,8816
1143,Great Tusk,75,20,71,-7,-48,9,13500
1144,Scream Tail,75,-46,39,5,14,33,10572
1145,Brute Bonnet,71,16,39,19,-2,-23,7712
1146,Flutter Mane,15,-56,-5,75,34,57,13416
1147,Slither Wing,45,24,19,25,4,3,3612
1148,Sandy Shocks,45,-30,37,61,-16,23,8800
1149,Iron Treads,50,1,60,12,-31,28,7990
1150,Iron Bundle,16,-31,54,64,-41,58,13274
1151,Iron Hands,114,29,48,-10,-33,-28,18114
1152,Iron Jugulis,54,-31,26,62,-21,30,9738
1153,Iron Moth,40,-41,0,80,9,32,10786
1154,Iron Thorns,60,23,50,10,-17,-6,7054
1155,Frigibax,25,-36,-15,-25,-56,-23,6436
1156,Arctibax,50,-16,6,-15,-36,-16,4569
1157,Baxcalibur,75,34,32,15,-15,9,8336
1158,Gimmighoul (Chest Form),5,-81,10,15,-31,-68,12496
1159,Gimmighoul (Roaming Form),5,-81,-35,15,-56,2,11176
1160,Gholdengo,47,-51,35,73,-10,6,11500
1161,Wo-Chien,45,-26,40,35,34,-8,6746
1162,Chien-Pao,40,9,20,30,-36,57,7526
1163,Ting-Lu,115,-1,65,-5,-21,-33,19006
1164,Chi-Yu,15,-31,20,75,19,22,8056
1165,Roaring Moon,65,28,11,-5,0,41,6836
1166,Iron Valiant,34,19,30,60,-41,38,9142
1167,Koraidon,60,24,55,25,-1,57,11076
1168,Miraidon,60,-26,40,75,14,57,14946
