Eric Edwards vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
965,Drizzile,-8,-48,-48,21,-45,-14,7334
966,Inteleon,-3,-23,-38,51,-35,16,6064
967,Skwovet,-3,-53,-48,-39,-65,-79,17109
968,Greedent,47,-13,-8,-19,-25,-84,10484
969,Rookidee,-35,-61,-68,-41,-65,-47,17685
970,Corvisquire,-5,-41,-48,-31,-45,-27,7725
971,Corviknight,25,-21,2,-21,-15,-37,3105
972,Blipbug,-48,-88,-83,-49,-55,-59,25844
973,Dottler,-23,-73,-23,-24,-10,-74,12539
974,Orbeetle,-13,-63,7,6,20,-14,4819
975,Nickit,-33,-80,-75,-27,-48,-54,19063
976,Thievul,-3,-50,-45,13,-8,-14,4963
977,Gossifleur,-33,-68,-43,-34,-40,-94,19154
978,Eldegoss,-13,-58,-13,6,20,-44,6074
979,Wooloo,-31,-68,-48,-34,-55,-56,15206
980,Dubwool,-1,-28,-3,-14,-10,-16,1346
981,Chewtle,-23,-44,-53,-36,-62,-60,14014
982,Drednaw,17,7,-13,-26,-32,-30,3107
983,Yamper,-14,-63,-53,-34,-50,-78,16714
984,Boltund,-4,-18,-43,16,-40,17,4334
985,Rolycoly,-43,-68,-53,-34,-50,-74,18414
986,Carkol,7,-48,-13,-14,-30,-54,6534
987,Coalossal,37,-28,17,6,-10,-74,8054
988,Applin,-33,-68,-23,-34,-60,-84,18054
989,Flapple,-3,2,-23,21,-40,-34,3739
990,Appletun,37,-23,-23,26,-20,-74,8979
991,Silicobra,-21,-51,-28,-39,-50,-58,11211
992,Sandaconda,-1,-1,22,-9,-30,-33,2556
993,Cramorant,-3,-23,-48,11,-5,-19,3349
994,Arrokuda,-32,-45,-63,-34,-70,-38,14518
995,Barraskewda,-12,15,-43,-14,-50,32,5938
996,Toxel,-33,-70,-68,-20,-65,-64,19334
997,Toxtricity,2,-10,-33,40,-30,-29,4534
998,Sizzlipede,-23,-43,-58,-24,-50,-59,12299
999,Centiskorch,27,7,-38,16,-10,-39,4099
1000,Clobbopus,-23,-40,-43,-24,-50,-72,12238
1001,Grapploct,7,10,-13,-4,-20,-62,4578
1002,Sinistea,-33,-63,-58,0,-46,-54,13454
1003,Polteageist,-13,-43,-38,60,14,-34,8414
1004,Hatenna,-31,-78,-58,-18,-47,-65,17167
1005,Hattrem,-16,-68,-38,12,-27,-55,10222
1006,Hatterene,-16,-18,-8,62,3,-75,10122
1007,Impidimp,-28,-63,-73,-19,-60,-54,16959
1008,Morgrem,-8,-48,-58,1,-45,-34,8914
1009,Grimmsnarl,22,12,-38,21,-25,-44,5074
1010,Obstagoon,20,-18,-2,-14,-19,-9,1366
1011,Perrserker,-3,2,-3,-24,-40,-54,5114
1012,Cursola,-13,-13,-53,71,30,-74,14564
1013,Sirfetch'd,-11,27,-8,-6,-18,-39,2795
1014,Mr. Rime,7,-23,-28,36,0,-34,3814
1015,Runerigus,-15,-13,42,-24,5,-74,8235
1016,Milcery,-28,-68,-63,-24,-39,-70,16374
1017,Alcremie,-8,-48,-28,36,21,-40,6489
1018,Falinks,-8,-8,-3,-4,-40,-29,2594
1019,Pincurchin,-25,-7,-8,17,-15,-89,9173
1020,Snom,-43,-83,-68,-29,-70,-84,26159
1021,Frosmoth,-3,-43,-43,51,-10,-39,7929
1022,Stonjourner,27,17,32,-54,-80,-34,12514
1023,Eiscue (Ice Face),2,-28,7,-9,-10,-54,3934
1024,Eiscue (Noice Face),2,-28,-33,-9,-50,26,5134
1025,Indeedee (Male),-13,-43,-48,31,-5,-9,5389
1026,Indeedee (Female),-3,-53,-38,21,5,-19,5089
1027,Morpeko,-15,-13,-45,-4,-42,-7,4248
1028,Cufant,-1,-28,-54,-34,-51,-64,11554
1029,Copperajah,49,22,-34,6,-31,-74,10514
1030,Dracozolt,17,-8,-13,6,-30,-29,2299
1031,Arctozolt,17,-8,-13,16,-20,-49,3579
1032,Dracovish,17,-18,-3,-4,-20,-29,1879
1033,Arctovish,17,-18,-3,6,-10,-49,3159
1034,Duraludon,-3,-13,12,46,-50,-19,5299
1035,Dreepy,-45,-48,-73,-34,-70,-22,16198
1036,Drakloak,-5,-28,-53,-14,-50,-2,6318
1037,Dragapult,15,12,-28,26,-25,38,3898
1038,Zacian (Hero of Many Battles),19,12,12,6,15,34,2066
1039,Zacian (Crowned Sword),19,42,12,6,15,44,4466
1040,Zamazenta (Hero of Many Battles),19,12,12,6,15,34,2066
1041,Zamazenta (Crowned Shield),19,12,37,6,40,24,4086
1042,Eternatus,67,-23,-8,71,-5,26,10824
1043,Eternatus (Eternamax Eternatus),182,7,147,51,150,26,80559
1044,Kubfu,-13,-18,-43,-21,-50,-32,6307
1045,Urshifu,27,22,-3,-11,-40,-7,2992
1046,Zarude,32,12,2,-4,-5,1,1214
1047,Regieleki,7,-8,-53,26,-50,96,15314
1048,Regidrago,127,-8,-53,26,-50,-24,22754
1049,Glastrier,27,37,27,-9,10,-74,8484
1050,Spectrier,27,-43,-43,71,-20,26,10544
1051,Calyrex,27,-28,-23,6,-20,-24,3054
1052,Calyrex (Ice Rider Calyrex),27,57,47,11,30,-54,10124
1053,Calyrex (Shadow Rider Calyrex),27,-23,-23,91,0,46,12184
1054,Wyrdeer,30,-3,-31,31,-25,-39,4977
1055,Kleavor,-3,27,-8,-29,-30,-19,2904
1056,Ursaluna,57,32,2,-29,-20,-54,8434
1057,Basculegion (Male),47,4,-38,6,-25,-26,5006
1058,Basculegion (Female),47,-16,-38,26,-25,-26,5886
1059,Sneasler,7,22,-43,-34,-20,16,4194
1060,Overqwil,12,7,-8,-9,-35,-19,1924
1061,Enamorus (Incarnate Forme),1,7,-33,61,-20,2,5264
1062,Enamorus (Therian Forme),1,7,7,61,0,-58,7184
1063,Sprigatito,-33,-47,-49,-29,-55,-39,11086
1064,Floragato,-12,-28,-40,-14,-37,-21,4534
1065,Meowscarada,3,2,-33,7,-30,19,2412
1066,Fuecoco,-6,-63,-44,-11,-60,-68,14286
1067,Crocalor,8,-53,-25,16,-42,-55,8543
1068,Skeledirge,31,-33,-3,36,-25,-38,5424
1069,Quaxly,-18,-43,-58,-24,-55,-54,12054
1070,Quaxwell,-3,-23,-38,-9,-40,-39,5184
1071,Quaquaval,12,12,-23,11,-25,-19,1924
1072,Lechonk,-19,-63,-63,-39,-55,-69,17606
1073,Oinkologne (Male),37,-8,-28,-15,-20,-39,4363
1074,Oinkologne (Female),42,-18,-33,-15,-10,-39,5023
1075,Tarountula,-38,-67,-58,-45,-60,-84,21978
1076,Spidops,-13,-29,-11,-22,-14,-69,6572
1077,Nymble,-40,-62,-63,-53,-75,-59,21328
1078,Lokix,-2,-6,-25,-22,-45,-12,3318
1079,Pawmi,-28,-58,-83,-34,-75,-44,19754
1080,Pawmo,-13,-33,-63,-24,-60,-19,9764
1081,Pawmot,-3,7,-33,-4,-40,1,2764
1082,Tandemaus,-23,-58,-58,-34,-55,-29,12279
1083,Maushold,1,-33,-33,-9,-25,7,2934
1084,Fidough,-36,-53,-33,-44,-45,-39,10676
1085,Dachsbun,-16,-28,12,-24,-20,-9,2241
1086,Smoliv,-32,-73,-58,-16,-49,-74,17850
1087,Dolliv,-21,-55,-43,4,-22,-71,10856
1088,Arboliva,5,-39,-13,51,9,-65,8622
1089,Squawkabilly,9,-12,-52,-29,-49,-12,6315
1090,Nacli,-18,-53,-28,-39,-65,-79,15904
1091,Naclstack,-13,-48,-3,-39,-35,-69,9989
1092,Garganacl,27,-8,27,-29,-10,-69,7224
1093,Charcadet,-33,-58,-63,-24,-60,-69,17359
1094,Armarouge,12,-48,-3,51,-20,-29,6299
1095,Ceruledge,2,17,-23,-14,0,-19,1379
1096,Tadbulb,-12,-77,-62,-15,-65,-59,17848
1097,Bellibolt,36,-44,-12,29,-17,-59,7987
1098,Wattrel,-33,-68,-68,-19,-60,-34,15454
1099,Kilowattrel,-3,-38,-43,31,-40,21,6304
1100,Maschiff,-13,-30,-43,-34,-49,-53,9284
1101,Mabosstiff,7,12,-13,-14,-30,-19,1819
1102,Shroodle,-33,-43,-68,-34,-65,-29,13784
1103,Grafaiai,-10,-13,-38,6,-28,6,2569
1104,Bramblin,-33,-43,-73,-29,-65,-44,15269
1105,Brambleghast,-18,7,-33,6,-30,-14,2594
1106,Toedscool,-33,-68,-68,-24,0,-34,12069
1107,Toedscruel,7,-38,-38,6,20,-4,3389
1108,Klawf,-3,-8,12,-39,-45,-29,4604
1109,Capsakid,-23,-46,-63,-12,-60,-54,13274
1110,Scovillain,-8,0,-38,34,-35,-29,4730
1111,Rellor,-32,-58,-43,-43,-42,-74,15326
1112,Rabsca,2,-58,-18,41,0,-59,8854
1113,Flittle,-43,-73,-73,-19,-70,-29,18609
1114,Espathra,22,-48,-43,27,-40,1,6967
1115,Tinkatink,-23,-63,-58,-39,-36,-46,12795
1116,Tinkatuff,-8,-53,-48,-29,-18,-26,7018
1117,Tinkaton,12,-33,-26,-4,5,-10,2050
1118,Wiglett,-63,-53,-78,-39,-75,-9,20089
1119,Wugtrio,-38,-8,-53,-24,-30,16,6049
1120,Bombirdier,-3,-5,-18,-14,-15,-22,1263
1121,Finizen,-3,-63,-63,-29,-60,-29,13229
1122,Palafin,27,-38,-31,-21,-38,-4,5035
1123,Palafin,27,52,-6,32,-13,-4,4678
1124,Varoom,-28,-38,-40,-44,-55,-57,12038
1125,Revavroom,7,11,-13,-20,-33,-14,2024
1126,Cyclizar,-3,-13,-38,11,-35,17,3257
1127,Orthworm,-3,-23,42,-14,-45,-39,6044
1128,Glimmet,-25,-73,-61,31,-40,-44,14172
1129,Glimmora,10,-53,-13,56,-19,-18,6899
1130,Greavard,-23,-47,-43,-44,-45,-70,13448
1131,Houndstone,-1,-7,-3,-24,-3,-36,1940
1132,Flamigo,9,7,-29,1,-36,-14,2464
1133,Cetoddle,35,-40,-58,-44,-60,-61,15446
1134,Cetitan,97,5,-38,-29,-45,-31,14705
1135,Veluza,17,-6,-30,4,-35,-34,3622
1136,Dondozo,77,-8,12,-9,-35,-69,12204
1137,Tatsugiri,-5,-58,-43,46,-5,-22,7863
1138,Annihilape,37,7,-23,-24,-10,-14,2819
1139,Clodsire,57,-33,-43,-29,0,-84,14084
1140,Farigiraf,47,-18,-33,36,-30,-44,7754
1141,Dudunsparce,52,-8,-23,11,-25,-49,6444
1142,Kingambit,27,27,17,-14,-15,-54,5084
1143,Great Tusk,42,23,28,-21,-47,-17,6016
1144,Scream Tail,42,-43,-4,-9,15,7,3984
1145,Brute Bonnet,38,19,-4,5,-1,-49,4248
1146,Flutter Mane,-18,-53,-48,61,35,31,11344
1147,Slither Wing,12,27,-24,11,5,-23,2124
1148,Sandy Shocks,12,-27,-6,47,-15,-3,3352
1149,Iron Treads,17,4,17,-2,-30,2,1502
1150,Iron Bundle,-17,-28,11,50,-40,32,6318
1151,Iron Hands,81,32,5,-24,-32,-54,12126
1152,Iron Jugulis,21,-28,-17,48,-20,4,4234
1153,Iron Moth,7,-38,-43,66,10,6,7834
1154,Iron Thorns,27,26,7,-4,-16,-32,2750
1155,Frigibax,-8,-33,-58,-39,-55,-49,11464
1156,Arctibax,17,-13,-37,-29,-35,-42,5657
1157,Baxcalibur,42,37,-11,1,-14,-17,3740
1158,Gimmighoul (Chest Form),-28,-78,-33,1,-30,-94,17694
1159,Gimmighoul (Roaming Form),-28,-78,-78,1,-55,-24,16554
1160,Gholdengo,14,-48,-8,59,-9,-20,6526
1161,Wo-Chien,12,-23,-3,21,35,-34,3504
1162,Chien-Pao,7,12,-23,16,-35,31,3164
1163,Ting-Lu,82,2,22,-19,-20,-59,11454
1164,Chi-Yu,-18,-28,-23,61,20,-4,5774
1165,Roaring Moon,32,31,-32,-19,1,15,3596
1166,Iron Valiant,1,22,-13,46,-40,12,4514
1167,Koraidon,27,27,12,11,0,31,2684
1168,Miraidon,27,-23,-3,61,15,31,6174
