Sam Tellis vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
1030,Dracozolt,29,40,30,20,-4,-19,4118
1031,Arctozolt,29,40,30,30,6,-39,5798
1032,Dracovish,29,30,40,10,6,-19,3838
1033,Arctovish,29,30,40,20,16,-39,5518
1034,Duraludon,9,35,55,60,-24,-9,8588
1035,Dreepy,-33,0,-30,-20,-44,-12,4469
1036,Drakloak,7,20,-10,0,-24,8,1189
1037,Dragapult,27,60,15,40,1,48,8459
1038,Zacian (Hero of Many Battles),31,60,55,20,41,44,11603
1039,Zacian (Crowned Sword),31,90,55,20,41,54,17083
1040,Zamazenta (Hero of Many Battles),31,60,55,20,41,44,11603
1041,Zamazenta (Crowned Shield),31,60,80,20,66,34,16873
1042,Eternatus,79,25,35,85,21,36,17053
1043,Eternatus (Eternamax Eternatus),194,55,190,65,176,36,113258
1044,Kubfu,-1,30,0,-7,-24,-22,2010
1045,Urshifu,39,70,40,3,-14,3,8235
1046,Zarude,44,60,45,10,21,11,8223
1047,Regieleki,19,40,-10,40,-24,106,15473
1048,Regidrago,139,40,-10,40,-24,-14,23393
1049,Glastrier,39,85,70,5,36,-64,19063
1050,Spectrier,39,5,0,85,6,36,10103
1051,Calyrex,39,20,20,20,6,-14,2953
1052,Calyrex (Ice Rider Calyrex),39,105,90,25,56,-44,26343
1053,Calyrex (Shadow Rider Calyrex),39,25,20,105,26,56,17383
1054,Wyrdeer,42,45,12,45,1,-29,6800
1055,Kleavor,9,75,35,-15,-4,-9,7253
1056,Ursaluna,69,80,45,-15,6,-44,15383
1057,Basculegion (Male),59,52,5,20,1,-16,6867
1058,Basculegion (Female),59,32,5,40,1,-16,6387
1059,Sneasler,19,70,0,-20,6,26,6373
1060,Overqwil,24,55,35,5,-9,-9,5013
1061,Enamorus (Incarnate Forme),13,55,10,75,6,12,9099
1062,Enamorus (Therian Forme),13,55,50,75,26,-48,14299
1063,Sprigatito,-21,1,-6,-15,-29,-29,2385
1064,Floragato,0,20,3,0,-11,-11,651
1065,Meowscarada,15,50,10,21,-4,29,4123
1066,Fuecoco,6,-15,-1,3,-34,-58,4791
1067,Crocalor,20,-5,18,30,-16,-45,3930
1068,Skeledirge,43,15,40,50,1,-28,6959
1069,Quaxly,-6,5,-15,-10,-29,-44,3163
1070,Quaxwell,9,25,5,5,-14,-29,1793
1071,Quaquaval,24,60,20,25,1,-9,5283
1072,Lechonk,-7,-15,-20,-25,-29,-59,5621
1073,Oinkologne (Male),49,40,15,-1,6,-29,5104
1074,Oinkologne (Female),54,30,10,-1,16,-29,5014
1075,Tarountula,-26,-19,-15,-31,-34,-74,8855
1076,Spidops,-1,19,32,-8,12,-59,5075
1077,Nymble,-28,-14,-20,-39,-49,-49,7703
1078,Lokix,10,42,18,-8,-19,-2,2617
1079,Pawmi,-16,-10,-40,-20,-49,-34,5913
1080,Pawmo,-1,15,-20,-10,-34,-9,1963
1081,Pawmot,9,55,10,10,-14,11,3623
1082,Tandemaus,-11,-10,-15,-20,-29,-19,2048
1083,Maushold,13,15,10,5,1,17,809
1084,Fidough,-24,-5,10,-30,-19,-29,2803
1085,Dachsbun,-4,20,55,-10,6,1,3578
1086,Smoliv,-20,-25,-15,-2,-23,-64,5879
1087,Dolliv,-9,-7,0,18,4,-61,4191
1088,Arboliva,17,9,30,65,35,-55,9745
1089,Squawkabilly,21,36,-9,-15,-23,-2,2576
1090,Nacli,-6,-5,15,-25,-39,-69,7193
1091,Naclstack,-1,0,40,-25,-9,-59,5788
1092,Garganacl,39,40,70,-15,16,-59,11983
1093,Charcadet,-21,-10,-20,-10,-34,-59,5678
1094,Armarouge,24,0,40,65,6,-19,6798
1095,Ceruledge,14,65,20,0,26,-9,5578
1096,Tadbulb,0,-29,-19,-1,-39,-49,5125
1097,Bellibolt,48,4,31,43,9,-49,7612
1098,Wattrel,-21,-20,-25,-5,-34,-24,3223
1099,Kilowattrel,9,10,0,45,-14,31,3363
1100,Maschiff,-1,18,0,-20,-23,-43,3103
1101,Mabosstiff,19,60,30,0,-4,-9,4958
1102,Shroodle,-21,5,-25,-20,-39,-19,3373
1103,Grafaiai,2,35,5,20,-2,16,1914
1104,Bramblin,-21,5,-30,-15,-39,-34,4268
1105,Brambleghast,-6,55,10,20,-4,-4,3593
1106,Toedscool,-21,-20,-25,-10,26,-24,2818
1107,Toedscruel,19,10,5,20,46,6,3038
1108,Klawf,9,40,55,-25,-19,-19,6053
1109,Capsakid,-11,2,-20,2,-34,-44,3621
1110,Scovillain,4,48,5,48,-9,-19,5091
1111,Rellor,-20,-10,0,-29,-16,-64,5693
1112,Rabsca,14,-10,25,55,26,-49,7023
1113,Flittle,-31,-25,-30,-5,-44,-19,4808
1114,Espathra,34,0,0,41,-14,11,3154
1115,Tinkatink,-11,-15,-15,-25,-10,-36,2592
1116,Tinkatuff,4,-5,-5,-15,8,-16,611
1117,Tinkaton,24,15,17,10,31,0,2151
1118,Wiglett,-51,-5,-35,-25,-49,1,6878
1119,Wugtrio,-26,40,-10,-10,-4,26,3168
1120,Bombirdier,9,43,25,0,11,-12,2820
1121,Finizen,9,-15,-20,-15,-34,-19,2448
1122,Palafin,39,10,12,-7,-12,6,1994
1123,Palafin,39,100,37,46,13,6,15211
1124,Varoom,-16,10,3,-30,-29,-47,4315
1125,Revavroom,19,59,30,-6,-7,-4,4843
1126,Cyclizar,9,35,5,25,-9,27,2766
1127,Orthworm,9,25,85,0,-19,-29,9133
1128,Glimmet,-13,-25,-18,45,-14,-34,4495
1129,Glimmora,22,-5,30,70,7,-8,6422
1130,Greavard,-11,1,0,-30,-19,-60,4983
1131,Houndstone,11,41,40,-10,23,-26,4707
1132,Flamigo,21,55,14,15,-10,-4,4003
1133,Cetoddle,47,8,-15,-30,-34,-51,7155
1134,Cetitan,109,53,5,-15,-19,-21,15742
1135,Veluza,29,42,13,18,-9,-24,3755
1136,Dondozo,89,40,55,5,-9,-59,16133
1137,Tatsugiri,7,-10,0,60,21,-12,4334
1138,Annihilape,49,55,20,-10,16,-4,6198
1139,Clodsire,69,15,0,-15,26,-74,11363
1140,Farigiraf,59,30,10,50,-4,-34,8153
1141,Dudunsparce,64,40,20,25,1,-39,8243
1142,Kingambit,39,75,60,0,11,-44,12803
1143,Great Tusk,54,71,71,-7,-21,-7,13537
1144,Scream Tail,54,5,39,5,41,17,6457
1145,Brute Bonnet,50,67,39,19,25,-39,11017
1146,Flutter Mane,-6,-5,-5,75,61,41,11113
1147,Slither Wing,24,75,19,25,31,-13,8317
1148,Sandy Shocks,24,21,37,61,11,7,6277
1149,Iron Treads,29,52,60,12,-4,12,7449
1150,Iron Bundle,-5,20,54,64,-14,42,9397
1151,Iron Hands,93,80,48,-10,-6,-44,19425
1152,Iron Jugulis,33,20,26,62,6,14,6241
1153,Iron Moth,19,10,0,80,36,16,8413
1154,Iron Thorns,39,74,50,10,10,-22,10181
1155,Frigibax,4,15,-15,-25,-29,-39,3453
1156,Arctibax,29,35,6,-15,-9,-32,3432
1157,Baxcalibur,54,85,32,15,12,-7,11583
1158,Gimmighoul (Chest Form),-16,-30,10,15,-4,-84,8553
1159,Gimmighoul (Roaming Form),-16,-30,-35,15,-29,-14,3643
1160,Gholdengo,26,0,35,73,17,-10,7619
1161,Wo-Chien,24,25,40,35,61,-24,8323
1162,Chien-Pao,19,60,20,30,-9,41,7023
1163,Ting-Lu,94,50,65,-5,6,-49,18023
1164,Chi-Yu,-6,20,20,75,46,6,8613
1165,Roaring Moon,44,79,11,-5,27,25,9677
1166,Iron Valiant,13,70,30,60,-14,22,10249
1167,Koraidon,39,75,55,25,26,41,13153
1168,Miraidon,39,25,40,75,41,41,12733
