Evan Sooklal vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
998,Sizzlipede,-37,-23,-15,-15,-31,-46,5425
999,Centiskorch,13,27,5,25,9,-26,2305
1000,Clobbopus,-37,-20,0,-15,-31,-59,6436
1001,Grapploct,-7,30,30,5,-1,-49,4276
1002,Sinistea,-47,-43,-15,9,-27,-41,6774
1003,Polteageist,-27,-23,5,69,33,-21,7574
1004,Hatenna,-45,-58,-15,-9,-28,-52,9183
1005,Hattrem,-30,-48,5,21,-8,-42,5498
1006,Hatterene,-30,2,35,71,22,-62,11498
1007,Impidimp,-42,-43,-30,-10,-41,-41,7975
1008,Morgrem,-22,-28,-15,10,-26,-21,2710
1009,Grimmsnarl,8,32,5,30,-6,-31,3010
1010,Obstagoon,6,2,41,-5,0,4,1762
1011,Perrserker,-17,22,40,-15,-21,-41,4720
1012,Cursola,-27,7,-10,80,49,-61,13400
1013,Sirfetch'd,-25,47,35,3,1,-26,4745
1014,Mr. Rime,-7,-3,15,45,19,-21,3110
1015,Runerigus,-29,7,85,-15,24,-61,12637
1016,Milcery,-42,-48,-20,-15,-20,-57,8342
1017,Alcremie,-22,-28,15,45,40,-27,5847
1018,Falinks,-22,12,40,5,-21,-16,2950
1019,Pincurchin,-39,13,35,26,4,-76,9383
1020,Snom,-57,-63,-25,-20,-51,-71,15885
1021,Frosmoth,-17,-23,0,60,9,-26,5175
1022,Stonjourner,13,37,75,-45,-61,-21,13350
1023,Eiscue (Ice Face),-12,-8,50,0,9,-41,4470
1024,Eiscue (Noice Face),-12,-8,10,0,-31,39,2790
1025,Indeedee (Male),-27,-23,-5,40,14,4,3095
1026,Indeedee (Female),-17,-33,5,30,24,-6,2915
1027,Morpeko,-29,7,-2,5,-23,6,1484
1028,Cufant,-15,-8,-11,-25,-32,-51,4660
1029,Copperajah,35,42,9,15,-12,-61,7160
1030,Dracozolt,3,12,30,15,-11,-16,1655
1031,Arctozolt,3,12,30,25,-1,-36,2975
1032,Dracovish,3,2,40,5,-1,-16,1895
1033,Arctovish,3,2,40,15,9,-36,3215
1034,Duraludon,-17,7,55,55,-31,-6,7385
1035,Dreepy,-59,-28,-30,-25,-51,-9,8472
1036,Drakloak,-19,-8,-10,-5,-31,11,1632
1037,Dragapult,1,32,15,35,-6,51,5112
1038,Zacian (Hero of Many Battles),5,32,55,15,34,47,7664
1039,Zacian (Crowned Sword),5,62,55,15,34,57,11524
1040,Zamazenta (Hero of Many Battles),5,32,55,15,34,47,7664
1041,Zamazenta (Crowned Shield),5,32,80,15,59,37,12524
1042,Eternatus,53,-3,35,80,14,39,12160
1043,Eternatus (Eternamax Eternatus),168,27,190,60,169,39,98735
1044,Kubfu,-27,2,0,-12,-31,-19,2199
1045,Urshifu,13,42,40,-2,-21,6,4014
1046,Zarude,18,32,45,5,14,14,3790
1047,Regieleki,-7,12,-10,35,-31,109,14360
1048,Regidrago,113,12,-10,35,-31,-11,15320
1049,Glastrier,13,57,70,0,29,-61,12880
1050,Spectrier,13,-23,0,80,-1,39,8620
1051,Calyrex,13,-8,20,15,-1,-11,980
1052,Calyrex (Ice Rider Calyrex),13,77,90,20,49,-41,18680
1053,Calyrex (Shadow Rider Calyrex),13,-3,20,100,19,59,14420
1054,Wyrdeer,16,17,12,40,-6,-26,3001
1055,Kleavor,-17,47,35,-20,-11,-6,4280
1056,Ursaluna,43,52,45,-20,-1,-41,8660
1057,Basculegion (Male),33,24,5,15,-6,-13,2120
1058,Basculegion (Female),33,4,5,35,-6,-13,2560
1059,Sneasler,-7,42,0,-25,-1,29,3280
1060,Overqwil,-2,27,35,0,-16,-6,2250
1061,Enamorus (Incarnate Forme),-13,27,10,70,-1,15,6124
1062,Enamorus (Therian Forme),-13,27,50,70,19,-45,10684
1063,Sprigatito,-47,-27,-6,-20,-36,-26,5346
1064,Floragato,-26,-8,3,-5,-18,-8,1162
1065,Meowscarada,-11,22,10,16,-11,32,2106
1066,Fuecoco,-20,-43,-1,-2,-41,-55,6960
1067,Crocalor,-6,-33,18,25,-23,-42,4367
1068,Skeledirge,17,-13,40,45,-6,-25,4744
1069,Quaxly,-32,-23,-15,-15,-36,-41,4980
1070,Quaxwell,-17,-3,5,0,-21,-26,1440
1071,Quaquaval,-2,32,20,20,-6,-6,1900
1072,Lechonk,-33,-43,-20,-30,-36,-56,8670
1073,Oinkologne (Male),23,12,15,-6,-1,-26,1611
1074,Oinkologne (Female),28,2,10,-6,9,-26,1681
1075,Tarountula,-52,-47,-15,-36,-41,-71,13156
1076,Spidops,-27,-9,32,-13,5,-56,5164
1077,Nymble,-54,-42,-20,-44,-56,-46,12268
1078,Lokix,-16,14,18,-13,-26,1,1622
1079,Pawmi,-42,-38,-40,-25,-56,-31,9530
1080,Pawmo,-27,-13,-20,-15,-41,-6,3240
1081,Pawmot,-17,27,10,5,-21,14,1780
1082,Tandemaus,-37,-38,-15,-25,-36,-16,5215
1083,Maushold,-13,-13,10,0,-6,20,874
1084,Fidough,-50,-33,10,-35,-26,-26,6266
1085,Dachsbun,-30,-8,55,-15,-1,4,4231
1086,Smoliv,-46,-53,-15,-7,-30,-61,9820
1087,Dolliv,-35,-35,0,13,-3,-58,5992
1088,Arboliva,-9,-19,30,60,28,-52,8430
1089,Squawkabilly,-5,8,-9,-20,-30,1,1471
1090,Nacli,-32,-33,15,-30,-46,-66,9710
1091,Naclstack,-27,-28,40,-30,-16,-56,7405
1092,Garganacl,13,12,70,-20,9,-56,8830
1093,Charcadet,-47,-38,-20,-15,-41,-56,9095
1094,Armarouge,-2,-28,40,60,-1,-16,6245
1095,Ceruledge,-12,37,20,-5,19,-6,2335
1096,Tadbulb,-26,-57,-19,-6,-46,-46,8554
1097,Bellibolt,22,-24,31,38,2,-46,5585
1098,Wattrel,-47,-48,-25,-10,-41,-21,7360
1099,Kilowattrel,-17,-18,0,40,-21,34,3810
1100,Maschiff,-27,-10,0,-25,-30,-40,3954
1101,Mabosstiff,-7,32,30,-5,-11,-6,2155
1102,Shroodle,-47,-23,-25,-25,-46,-16,6360
1103,Grafaiai,-24,7,5,15,-9,19,1317
1104,Bramblin,-47,-23,-30,-20,-46,-31,7115
1105,Brambleghast,-32,27,10,15,-11,-1,2200
1106,Toedscool,-47,-48,-25,-15,19,-21,6165
1107,Toedscruel,-7,-18,5,15,39,9,2225
1108,Klawf,-17,12,55,-30,-26,-16,5290
1109,Capsakid,-37,-26,-20,-3,-41,-41,5816
1110,Scovillain,-22,20,5,43,-16,-16,3270
1111,Rellor,-46,-38,0,-34,-23,-61,8966
1112,Rabsca,-12,-38,25,50,19,-46,7190
1113,Flittle,-57,-53,-30,-10,-51,-16,9915
1114,Espathra,8,-28,0,36,-21,14,2781
1115,Tinkatink,-37,-43,-15,-30,-17,-33,5721
1116,Tinkatuff,-22,-33,-5,-20,1,-13,2168
1117,Tinkaton,-2,-13,17,5,24,3,1072
1118,Wiglett,-77,-33,-35,-30,-56,4,12295
1119,Wugtrio,-52,12,-10,-15,-11,29,4135
1120,Bombirdier,-17,15,25,-5,4,-9,1261
1121,Finizen,-17,-43,-20,-20,-41,-16,4875
1122,Palafin,13,-18,12,-12,-19,9,1223
1123,Palafin,13,72,37,41,6,9,8520
1124,Varoom,-42,-18,3,-35,-36,-44,6554
1125,Revavroom,-7,31,30,-11,-14,-1,2228
1126,Cyclizar,-17,7,5,20,-16,30,1919
1127,Orthworm,-17,-3,85,-5,-26,-26,8900
1128,Glimmet,-39,-53,-18,40,-21,-31,7656
1129,Glimmora,-4,-33,30,65,0,-5,6255
1130,Greavard,-37,-27,0,-35,-26,-57,7248
1131,Houndstone,-15,13,40,-15,16,-23,3004
1132,Flamigo,-5,27,14,10,-17,-1,1340
1133,Cetoddle,21,-20,-15,-35,-41,-48,6276
1134,Cetitan,83,25,5,-20,-26,-18,8939
1135,Veluza,3,14,13,13,-16,-21,1240
1136,Dondozo,63,12,55,0,-16,-56,10530
1137,Tatsugiri,-19,-38,0,55,14,-9,5107
1138,Annihilape,23,27,20,-15,9,-1,1965
1139,Clodsire,43,-13,0,-20,19,-71,7820
1140,Farigiraf,33,2,10,45,-11,-31,4300
1141,Dudunsparce,38,12,20,20,-6,-36,3720
1142,Kingambit,13,47,60,-5,4,-41,7700
1143,Great Tusk,28,43,71,-12,-28,-4,8618
1144,Scream Tail,28,-23,39,0,34,20,4390
1145,Brute Bonnet,24,39,39,14,18,-36,5434
1146,Flutter Mane,-32,-33,-5,70,54,44,11890
1147,Slither Wing,-2,47,19,20,24,-10,3650
1148,Sandy Shocks,-2,-7,37,56,4,10,4674
1149,Iron Treads,3,24,60,7,-11,15,4580
1150,Iron Bundle,-31,-8,54,59,-21,45,9888
1151,Iron Hands,67,52,48,-15,-13,-41,11572
1152,Iron Jugulis,7,-8,26,57,-1,17,4328
1153,Iron Moth,-7,-18,0,75,29,19,7200
1154,Iron Thorns,13,46,50,5,3,-19,5180
1155,Frigibax,-22,-13,-15,-30,-36,-36,4370
1156,Arctibax,3,7,6,-20,-16,-29,1591
1157,Baxcalibur,28,57,32,10,5,-4,5198
1158,Gimmighoul (Chest Form),-42,-58,10,10,-11,-81,12010
1159,Gimmighoul (Roaming Form),-42,-58,-35,10,-36,-11,7870
1160,Gholdengo,0,-28,35,68,10,-7,6782
1161,Wo-Chien,-2,-3,40,30,54,-21,5870
1162,Chien-Pao,-7,32,20,25,-16,44,4290
1163,Ting-Lu,68,22,65,-10,-1,-46,11550
1164,Chi-Yu,-32,-8,20,70,39,9,7990
1165,Roaring Moon,18,51,11,-10,20,28,4330
1166,Iron Valiant,-13,42,30,55,-21,25,6924
1167,Koraidon,13,47,55,20,19,44,8100
1168,Miraidon,13,-3,40,70,34,44,9770
