Matthew Rusten vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
1006,Hatterene,-18,-2,35,73,32,-71,12947
1007,Impidimp,-30,-47,-30,-8,-31,-50,7534
1008,Morgrem,-10,-32,-15,12,-16,-30,2649
1009,Grimmsnarl,20,28,5,32,4,-40,3849
1010,Obstagoon,18,-2,41,-3,10,-5,2143
1011,Perrserker,-5,18,40,-13,-11,-50,4739
1012,Cursola,-15,3,-10,82,59,-70,15439
1013,Sirfetch'd,-13,43,35,5,11,-35,4614
1014,Mr. Rime,5,-7,15,47,29,-30,4249
1015,Runerigus,-17,3,85,-13,34,-70,13748
1016,Milcery,-30,-52,-20,-13,-10,-66,8629
1017,Alcremie,-10,-32,15,47,50,-36,7354
1018,Falinks,-10,8,40,7,-11,-25,2559
1019,Pincurchin,-27,9,35,28,14,-85,10240
1020,Snom,-45,-67,-25,-18,-41,-80,15544
1021,Frosmoth,-5,-27,0,62,19,-35,6184
1022,Stonjourner,25,33,75,-43,-51,-30,12689
1023,Eiscue (Ice Face),0,-12,50,2,19,-50,5509
1024,Eiscue (Noice Face),0,-12,10,2,-21,30,1589
1025,Indeedee (Male),-15,-27,-5,42,24,-5,3344
1026,Indeedee (Female),-5,-37,5,32,34,-15,3824
1027,Morpeko,-17,3,-2,7,-13,-3,529
1028,Cufant,-3,-12,-11,-23,-22,-60,4887
1029,Copperajah,47,38,9,17,-2,-70,8927
1030,Dracozolt,15,8,30,17,-1,-25,2104
1031,Arctozolt,15,8,30,27,9,-45,4024
1032,Dracovish,15,-2,40,7,9,-25,2584
1033,Arctovish,15,-2,40,17,19,-45,4504
1034,Duraludon,-5,3,55,57,-21,-15,6974
1035,Dreepy,-47,-32,-30,-23,-41,-18,6667
1036,Drakloak,-7,-12,-10,-3,-21,2,747
1037,Dragapult,13,28,15,37,4,42,4327
1038,Zacian (Hero of Many Battles),17,28,55,17,44,38,7767
1039,Zacian (Crowned Sword),17,58,55,17,44,48,11207
1040,Zamazenta (Hero of Many Battles),17,28,55,17,44,38,7767
1041,Zamazenta (Crowned Shield),17,28,80,17,69,28,13307
1042,Eternatus,65,-7,35,82,24,30,13699
1043,Eternatus (Eternamax Eternatus),180,23,190,62,179,30,105814
1044,Kubfu,-15,-2,0,-10,-21,-28,1554
1045,Urshifu,25,38,40,0,-11,-3,3799
1046,Zarude,30,28,45,7,24,5,4359
1047,Regieleki,5,8,-10,37,-21,100,11999
1048,Regidrago,125,8,-10,37,-21,-20,17999
1049,Glastrier,25,53,70,2,39,-70,14759
1050,Spectrier,25,-27,0,82,9,30,9059
1051,Calyrex,25,-12,20,17,9,-20,1939
1052,Calyrex (Ice Rider Calyrex),25,73,90,22,59,-50,20519
1053,Calyrex (Shadow Rider Calyrex),25,-7,20,102,29,50,14819
1054,Wyrdeer,28,13,12,42,4,-35,4102
1055,Kleavor,-5,43,35,-18,-1,-15,3649
1056,Ursaluna,55,48,45,-18,9,-50,10259
1057,Basculegion (Male),45,20,5,17,4,-22,3239
1058,Basculegion (Female),45,0,5,37,4,-22,3919
1059,Sneasler,5,38,0,-23,9,20,2479
1060,Overqwil,10,23,35,2,-6,-15,2119
1061,Enamorus (Incarnate Forme),-1,23,10,72,9,6,5931
1062,Enamorus (Therian Forme),-1,23,50,72,29,-54,11971
1063,Sprigatito,-35,-31,-6,-18,-26,-35,4447
1064,Floragato,-14,-12,3,-3,-8,-17,711
1065,Meowscarada,1,18,10,18,-1,23,1279
1066,Fuecoco,-8,-47,-1,0,-31,-64,7331
1067,Crocalor,6,-37,18,27,-13,-51,5228
1068,Skeledirge,29,-17,40,47,4,-34,6111
1069,Quaxly,-20,-27,-15,-13,-26,-50,4699
1070,Quaxwell,-5,-7,5,2,-11,-35,1449
1071,Quaquaval,10,28,20,22,4,-15,2009
1072,Lechonk,-21,-47,-20,-28,-26,-65,8735
1073,Oinkologne (Male),35,8,15,-4,9,-35,2836
1074,Oinkologne (Female),40,-2,10,-4,19,-35,3306
1075,Tarountula,-40,-51,-15,-34,-31,-80,12943
1076,Spidops,-15,-13,32,-11,15,-65,5989
1077,Nymble,-42,-46,-20,-42,-46,-55,11185
1078,Lokix,-4,10,18,-11,-16,-8,881
1079,Pawmi,-30,-42,-40,-23,-46,-40,8509
1080,Pawmo,-15,-17,-20,-13,-31,-15,2269
1081,Pawmot,-5,23,10,7,-11,5,849
1082,Tandemaus,-25,-42,-15,-23,-26,-25,4444
1083,Maushold,-1,-17,10,2,4,11,531
1084,Fidough,-38,-37,10,-33,-16,-35,5483
1085,Dachsbun,-18,-12,55,-13,9,-5,3768
1086,Smoliv,-34,-57,-15,-5,-20,-70,9955
1087,Dolliv,-23,-39,0,15,7,-67,6813
1088,Arboliva,3,-23,30,62,38,-61,10447
1089,Squawkabilly,7,4,-9,-18,-20,-8,934
1090,Nacli,-20,-37,15,-28,-36,-75,9699
1091,Naclstack,-15,-32,40,-28,-6,-65,7894
1092,Garganacl,25,8,70,-18,19,-65,10499
1093,Charcadet,-35,-42,-20,-13,-31,-65,8744
1094,Armarouge,10,-32,40,62,9,-25,7274
1095,Ceruledge,0,33,20,-3,29,-15,2564
1096,Tadbulb,-14,-61,-19,-4,-36,-55,8615
1097,Bellibolt,34,-28,31,40,12,-55,7670
1098,Wattrel,-35,-52,-25,-8,-31,-30,6479
1099,Kilowattrel,-5,-22,0,42,-11,25,3019
1100,Maschiff,-15,-14,0,-23,-20,-49,3751
1101,Mabosstiff,5,28,30,-3,-1,-15,1944
1102,Shroodle,-35,-27,-25,-23,-36,-25,5029
1103,Grafaiai,-12,3,5,17,1,10,568
1104,Bramblin,-35,-27,-30,-18,-36,-40,6074
1105,Brambleghast,-20,23,10,17,-1,-10,1419
1106,Toedscool,-35,-52,-25,-13,29,-30,6464
1107,Toedscruel,5,-22,5,17,49,0,3224
1108,Klawf,-5,8,55,-28,-16,-25,4779
1109,Capsakid,-25,-30,-20,-1,-31,-50,5387
1110,Scovillain,-10,16,5,45,-6,-25,3067
1111,Rellor,-34,-42,0,-32,-13,-70,9013
1112,Rabsca,0,-42,25,52,29,-55,8959
1113,Flittle,-45,-57,-30,-8,-41,-25,8544
1114,Espathra,20,-32,0,38,-11,5,3014
1115,Tinkatink,-25,-47,-15,-28,-7,-42,5656
1116,Tinkatuff,-10,-37,-5,-18,11,-22,2423
1117,Tinkaton,10,-17,17,7,34,-6,1919
1118,Wiglett,-65,-37,-35,-28,-46,-5,9744
1119,Wugtrio,-40,8,-10,-13,-1,20,2334
1120,Bombirdier,-5,11,25,-3,14,-18,1300
1121,Finizen,-5,-47,-20,-18,-31,-25,4544
1122,Palafin,25,-22,12,-10,-9,0,1434
1123,Palafin,25,68,37,43,16,0,8723
1124,Varoom,-30,-22,3,-33,-26,-53,5967
1125,Revavroom,5,27,30,-9,-4,-10,1851
1126,Cyclizar,-5,3,5,22,-6,21,1020
1127,Orthworm,-5,-7,85,-3,-16,-35,8789
1128,Glimmet,-27,-57,-18,42,-11,-40,7787
1129,Glimmora,8,-37,30,67,10,-14,7118
1130,Greavard,-25,-31,0,-33,-16,-66,7287
1131,Houndstone,-3,9,40,-13,26,-32,3559
1132,Flamigo,7,23,14,12,-7,-10,1067
1133,Cetoddle,33,-24,-15,-33,-31,-57,7189
1134,Cetitan,95,21,5,-18,-16,-27,10800
1135,Veluza,15,10,13,15,-6,-30,1655
1136,Dondozo,75,8,55,2,-6,-65,12979
1137,Tatsugiri,-7,-42,0,57,24,-18,5962
1138,Annihilape,35,23,20,-13,19,-10,2784
1139,Clodsire,55,-17,0,-18,29,-80,10879
1140,Farigiraf,45,-2,10,47,-1,-40,5939
1141,Dudunsparce,50,8,20,22,4,-45,5489
1142,Kingambit,25,43,60,-3,14,-50,8779
1143,Great Tusk,40,39,71,-10,-18,-13,8755
1144,Scream Tail,40,-27,39,2,44,11,5911
1145,Brute Bonnet,36,35,39,16,28,-45,7107
1146,Flutter Mane,-20,-37,-5,72,64,35,12299
1147,Slither Wing,10,43,19,22,34,-19,4311
1148,Sandy Shocks,10,-11,37,58,14,1,5151
1149,Iron Treads,15,20,60,9,-1,6,4343
1150,Iron Bundle,-19,-12,54,61,-11,36,8559
1151,Iron Hands,79,48,48,-13,-3,-50,13527
1152,Iron Jugulis,19,-12,26,59,9,8,4807
1153,Iron Moth,5,-22,0,77,39,10,8059
1154,Iron Thorns,25,42,50,7,13,-28,5891
1155,Frigibax,-10,-17,-15,-28,-26,-45,4099
1156,Arctibax,15,3,6,-18,-6,-38,2074
1157,Baxcalibur,40,53,32,12,15,-13,5971
1158,Gimmighoul (Chest Form),-30,-62,10,12,-1,-90,13089
1159,Gimmighoul (Roaming Form),-30,-62,-35,12,-26,-20,7189
1160,Gholdengo,12,-32,35,70,20,-16,7949
1161,Wo-Chien,10,-7,40,32,64,-30,7769
1162,Chien-Pao,5,28,20,27,-6,35,3199
1163,Ting-Lu,80,18,65,-8,9,-55,14119
1164,Chi-Yu,-20,-12,20,72,49,0,8529
1165,Roaring Moon,30,47,11,-8,30,19,4555
1166,Iron Valiant,-1,38,30,57,-11,16,5971
1167,Koraidon,25,43,55,22,29,35,8049
1168,Miraidon,25,-7,40,72,44,35,10619
